0 0.5 C 180 000.00 100.00 100.00 140.00	1 0.5 A 100 000.00 100.00 100.00 100.00	2 0.5 B 000 000.00 100.00 050.00 100.00	3 0.5 A 100 000.00 100.00 100.00 100.00	4 0.5 B 220 000.00 100.00 160.00 100.00	5 0.5 B 000 000.00 100.00 050.00 100.00	6 0.5 B 220 000.00 100.00 160.00 100.00	7 0.5 B 000 000.00 100.00 050.00 100.00	8 0.5 B 220 000.00 100.00 160.00 100.00	9 0.5 C 000 000.00 100.00 100.00 050.00	10 0.5 A 100 000.00 100.00 100.00 100.00	11 0.5 A 100 000.00 100.00 100.00 100.00	12 0.5 C 000 000.00 100.00 100.00 050.00	13 0.5 B 000 000.00 100.00 050.00 100.00	14 0.5 B 000 000.00 100.00 050.00 100.00	15 0.5 C 000 000.00 100.00 100.00 050.00	16 0.5 B 000 000.00 100.00 050.00 100.00	17 0.5 B 220 000.00 100.00 160.00 100.00	18 0.5 B 220 000.00 100.00 160.00 100.00	19 0.5 C 180 000.00 100.00 100.00 140.00	20 0.5 A 100 000.00 100.00 100.00 100.00	21 0.5 C 180 000.00 100.00 100.00 140.00	22 0.5 A 100 000.00 100.00 100.00 100.00	23 0.5 B 000 000.00 100.00 050.00 100.00	24 0.5 A 100 000.00 100.00 100.00 100.00	25 0.5 A 100 000.00 100.00 100.00 100.00	26 0.5 B 000 000.00 100.00 050.00 100.00	27 0.5 B 000 000.00 100.00 050.00 100.00	28 0.5 C 180 000.00 100.00 100.00 140.00	29 0.5 B 000 000.00 100.00 050.00 100.00	30 0.5 C 000 000.00 100.00 100.00 050.00	31 0.5 A 100 000.00 100.00 100.00 100.00	32 0.5 C 000 000.00 100.00 100.00 050.00	33 0.5 A 100 000.00 100.00 100.00 100.00	34 0.5 B 220 000.00 100.00 160.00 100.00	35 0.5 C 180 000.00 100.00 100.00 140.00	36 0.5 B 220 000.00 100.00 160.00 100.00	37 0.5 B 220 000.00 100.00 160.00 100.00	38 0.5 A 100 000.00 100.00 100.00 100.00	39 0.5 C 000 000.00 100.00 100.00 050.00	40 0.5 A 100 000.00 100.00 100.00 100.00	41 0.5 C 180 000.00 100.00 100.00 140.00	42 0.5 A 100 000.00 100.00 100.00 100.00	43 0.5 C 180 000.00 100.00 100.00 140.00	44 0.5 B 000 000.00 100.00 050.00 100.00	45 0.5 A 100 000.00 100.00 100.00 100.00	46 0.5 A 100 000.00 100.00 100.00 100.00	47 0.5 C 000 000.00 100.00 100.00 050.00	48 0.5 A 100 000.00 100.00 100.00 100.00	49 0.5 B 000 000.00 100.00 050.00 100.00	
0 0.5 C 180 000.00 100.00 100.00 160.00	1 0.5 C 000 000.00 100.00 100.00 050.00	2 0.5 A 100 000.00 100.00 050.00 100.00	3 0.5 C 180 000.00 100.00 100.00 140.00	4 0.5 B 220 000.00 100.00 190.00 100.00	5 0.5 A 100 000.00 100.00 050.00 100.00	6 0.5 A 100 000.00 100.00 160.00 100.00	7 0.5 A 100 000.00 100.00 050.00 100.00	8 0.5 B 220 000.00 100.00 190.00 100.00	9 0.5 A 100 000.00 100.00 100.00 050.00	10 0.5 C 000 000.00 100.00 100.00 050.00	11 0.5 C 180 000.00 100.00 100.00 140.00	12 0.5 A 100 000.00 100.00 100.00 050.00	13 0.5 A 100 000.00 100.00 050.00 100.00	14 0.5 C 000 000.00 100.00 050.00 050.00	15 0.5 C 000 000.00 100.00 100.00 025.00	16 0.5 A 100 000.00 100.00 050.00 100.00	17 0.5 B 000 000.00 100.00 080.00 100.00	18 0.5 C 000 000.00 100.00 160.00 050.00	19 0.5 C 000 000.00 100.00 100.00 070.00	20 0.5 A 100 000.00 100.00 100.00 100.00	21 0.5 C 180 000.00 100.00 100.00 160.00	22 0.5 B 000 000.00 100.00 050.00 100.00	23 0.5 A 100 000.00 100.00 050.00 100.00	24 0.5 B 220 000.00 100.00 160.00 100.00	25 0.5 A 100 000.00 100.00 100.00 100.00	26 0.5 B 220 000.00 100.00 135.00 100.00	27 0.5 C 000 000.00 100.00 050.00 050.00	28 0.5 A 100 000.00 100.00 100.00 140.00	29 0.5 C 000 000.00 100.00 050.00 050.00	30 0.5 A 100 000.00 100.00 100.00 050.00	31 0.5 B 220 000.00 100.00 160.00 100.00	32 0.5 A 100 000.00 100.00 100.00 050.00	33 0.5 C 000 000.00 100.00 100.00 050.00	34 0.5 B 000 000.00 100.00 080.00 100.00	35 0.5 C 180 000.00 100.00 100.00 160.00	36 0.5 B 000 000.00 100.00 080.00 100.00	37 0.5 B 220 000.00 100.00 190.00 100.00	38 0.5 A 100 000.00 100.00 100.00 100.00	39 0.5 A 100 000.00 100.00 100.00 050.00	40 0.5 A 100 000.00 100.00 100.00 100.00	41 0.5 C 180 000.00 100.00 100.00 160.00	42 0.5 B 000 000.00 100.00 050.00 100.00	43 0.5 C 180 000.00 100.00 100.00 160.00	44 0.5 A 100 000.00 100.00 050.00 100.00	45 0.5 A 100 000.00 100.00 100.00 100.00	46 0.5 A 100 000.00 100.00 100.00 100.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 C 180 000.00 100.00 100.00 140.00	49 0.5 A 100 000.00 100.00 050.00 100.00	
0 0.5 A 100 000.00 100.00 100.00 160.00	1 0.5 B 220 000.00 100.00 160.00 050.00	2 0.5 A 100 000.00 100.00 050.00 100.00	3 0.5 C 180 000.00 100.00 100.00 160.00	4 0.5 B 000 000.00 100.00 095.00 100.00	5 0.5 C 180 000.00 100.00 050.00 140.00	6 0.5 B 000 000.00 100.00 080.00 100.00	7 0.5 C 180 000.00 100.00 050.00 140.00	8 0.5 B 000 000.00 100.00 095.00 100.00	9 0.5 B 000 000.00 100.00 050.00 050.00	10 0.5 A 100 000.00 100.00 100.00 050.00	11 0.5 C 000 000.00 100.00 100.00 070.00	12 0.5 B 220 000.00 100.00 160.00 050.00	13 0.5 C 180 000.00 100.00 050.00 140.00	14 0.5 A 100 000.00 100.00 050.00 050.00	15 0.5 B 220 000.00 100.00 160.00 025.00	16 0.5 C 180 000.00 100.00 050.00 140.00	17 0.5 A 100 000.00 100.00 080.00 100.00	18 0.5 B 000 000.00 100.00 080.00 050.00	19 0.5 A 100 000.00 100.00 100.00 070.00	20 0.5 A 100 000.00 100.00 100.00 100.00	21 0.5 C 180 000.00 100.00 100.00 170.00	22 0.5 A 100 000.00 100.00 050.00 100.00	23 0.5 A 100 000.00 100.00 050.00 100.00	24 0.5 B 000 000.00 100.00 080.00 100.00	25 0.5 C 000 000.00 100.00 100.00 050.00	26 0.5 B 220 000.00 100.00 177.50 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 C 000 000.00 100.00 100.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 000 000.00 100.00 050.00 050.00	31 0.5 B 000 000.00 100.00 080.00 100.00	32 0.5 A 100 000.00 100.00 100.00 050.00	33 0.5 A 100 000.00 100.00 100.00 050.00	34 0.5 C 180 000.00 100.00 080.00 140.00	35 0.5 C 000 000.00 100.00 100.00 080.00	36 0.5 A 100 000.00 100.00 080.00 100.00	37 0.5 B 000 000.00 100.00 095.00 100.00	38 0.5 C 000 000.00 100.00 100.00 050.00	39 0.5 A 100 000.00 100.00 100.00 050.00	40 0.5 C 000 000.00 100.00 100.00 050.00	41 0.5 C 000 000.00 100.00 100.00 080.00	42 0.5 C 180 000.00 100.00 050.00 140.00	43 0.5 C 180 000.00 100.00 100.00 170.00	44 0.5 A 100 000.00 100.00 050.00 100.00	45 0.5 B 220 000.00 100.00 160.00 100.00	46 0.5 C 180 000.00 100.00 100.00 140.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 C 000 000.00 100.00 100.00 070.00	49 0.5 A 100 000.00 100.00 050.00 100.00	
0 0.5 C 180 000.00 100.00 100.00 170.00	1 0.5 B 220 000.00 100.00 190.00 050.00	2 0.5 C 180 000.00 100.00 050.00 140.00	3 0.5 C 000 000.00 100.00 100.00 080.00	4 0.5 A 100 000.00 100.00 095.00 100.00	5 0.5 C 000 000.00 100.00 050.00 070.00	6 0.5 C 180 000.00 100.00 080.00 140.00	7 0.5 C 180 000.00 100.00 050.00 160.00	8 0.5 A 100 000.00 100.00 095.00 100.00	9 0.5 A 100 000.00 100.00 050.00 050.00	10 0.5 A 100 000.00 100.00 100.00 050.00	11 0.5 B 220 000.00 100.00 160.00 070.00	12 0.5 B 000 000.00 100.00 080.00 050.00	13 0.5 C 000 000.00 100.00 050.00 070.00	14 0.5 A 100 000.00 100.00 050.00 050.00	15 0.5 B 220 000.00 100.00 190.00 025.00	16 0.5 C 000 000.00 100.00 050.00 070.00	17 0.5 A 100 000.00 100.00 080.00 100.00	18 0.5 A 100 000.00 100.00 080.00 050.00	19 0.5 C 180 000.00 100.00 100.00 125.00	20 0.5 A 100 000.00 100.00 100.00 100.00	21 0.5 C 000 000.00 100.00 100.00 085.00	22 0.5 A 100 000.00 100.00 050.00 100.00	23 0.5 C 180 000.00 100.00 050.00 140.00	24 0.5 A 100 000.00 100.00 080.00 100.00	25 0.5 B 000 000.00 100.00 050.00 050.00	26 0.5 B 000 000.00 100.00 088.75 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 A 100 000.00 100.00 100.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 A 100 000.00 100.00 050.00 050.00	31 0.5 C 000 000.00 100.00 080.00 050.00	32 0.5 B 000 000.00 100.00 050.00 050.00	33 0.5 A 100 000.00 100.00 100.00 050.00	34 0.5 C 180 000.00 100.00 080.00 160.00	35 0.5 B 000 000.00 100.00 050.00 080.00	36 0.5 C 000 000.00 100.00 080.00 050.00	37 0.5 A 100 000.00 100.00 095.00 100.00	38 0.5 B 220 000.00 100.00 160.00 050.00	39 0.5 B 000 000.00 100.00 050.00 050.00	40 0.5 B 000 000.00 100.00 050.00 050.00	41 0.5 B 220 000.00 100.00 160.00 080.00	42 0.5 C 000 000.00 100.00 050.00 070.00	43 0.5 C 000 000.00 100.00 100.00 085.00	44 0.5 C 000 000.00 100.00 050.00 050.00	45 0.5 B 220 000.00 100.00 190.00 100.00	46 0.5 C 000 000.00 100.00 100.00 070.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 A 100 000.00 100.00 100.00 070.00	49 0.5 C 000 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 175.00	1 0.5 B 000 000.00 100.00 095.00 050.00	2 0.5 C 000 000.00 100.00 050.00 070.00	3 0.5 C 000 000.00 100.00 100.00 040.00	4 0.5 A 100 000.00 100.00 095.00 100.00	5 0.5 A 100 000.00 100.00 050.00 070.00	6 0.5 C 180 000.00 100.00 080.00 160.00	7 0.5 C 180 000.00 100.00 050.00 170.00	8 0.5 C 180 000.00 100.00 095.00 140.00	9 0.5 A 100 000.00 100.00 050.00 050.00	10 0.5 B 220 000.00 100.00 160.00 050.00	11 0.5 B 000 000.00 100.00 080.00 070.00	12 0.5 B 220 000.00 100.00 150.00 050.00	13 0.5 A 100 000.00 100.00 050.00 070.00	14 0.5 A 100 000.00 100.00 050.00 050.00	15 0.5 B 000 000.00 100.00 095.00 025.00	16 0.5 C 000 000.00 100.00 050.00 035.00	17 0.5 A 100 000.00 100.00 080.00 100.00	18 0.5 B 220 000.00 100.00 150.00 050.00	19 0.5 C 000 000.00 100.00 100.00 062.50	20 0.5 A 100 000.00 100.00 100.00 100.00	21 0.5 A 100 000.00 100.00 100.00 085.00	22 0.5 C 180 000.00 100.00 050.00 140.00	23 0.5 C 000 000.00 100.00 050.00 070.00	24 0.5 A 100 000.00 100.00 080.00 100.00	25 0.5 C 180 000.00 100.00 050.00 115.00	26 0.5 A 100 000.00 100.00 088.75 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 A 100 000.00 100.00 100.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 220 000.00 100.00 135.00 050.00	31 0.5 A 100 000.00 100.00 080.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 B 220 000.00 100.00 160.00 050.00	34 0.5 C 180 000.00 100.00 080.00 170.00	35 0.5 A 100 000.00 100.00 050.00 080.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 B 220 000.00 100.00 157.50 100.00	38 0.5 A 100 000.00 100.00 160.00 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 B 220 000.00 100.00 190.00 080.00	42 0.5 C 000 000.00 100.00 050.00 035.00	43 0.5 A 100 000.00 100.00 100.00 085.00	44 0.5 B 000 000.00 100.00 025.00 050.00	45 0.5 B 000 000.00 100.00 095.00 100.00	46 0.5 A 100 000.00 100.00 100.00 070.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 A 100 000.00 100.00 100.00 070.00	49 0.5 A 100 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 177.50	1 0.5 B 000 000.00 100.00 047.50 050.00	2 0.5 A 100 000.00 100.00 050.00 070.00	3 0.5 A 100 000.00 100.00 100.00 040.00	4 0.5 A 100 000.00 100.00 095.00 100.00	5 0.5 B 000 000.00 100.00 025.00 070.00	6 0.5 A 100 000.00 100.00 080.00 160.00	7 0.5 C 180 000.00 100.00 050.00 175.00	8 0.5 C 000 000.00 100.00 095.00 070.00	9 0.5 A 100 000.00 100.00 050.00 050.00	10 0.5 B 000 000.00 100.00 080.00 050.00	11 0.5 A 100 000.00 100.00 080.00 070.00	12 0.5 B 220 000.00 100.00 185.00 050.00	13 0.5 A 100 000.00 100.00 050.00 070.00	14 0.5 A 100 000.00 100.00 050.00 050.00	15 0.5 B 000 000.00 100.00 047.50 025.00	16 0.5 A 100 000.00 100.00 050.00 035.00	17 0.5 A 100 000.00 100.00 080.00 100.00	18 0.5 B 000 000.00 100.00 075.00 050.00	19 0.5 B 000 000.00 100.00 050.00 062.50	20 0.5 C 180 000.00 100.00 100.00 140.00	21 0.5 A 100 000.00 100.00 100.00 085.00	22 0.5 C 000 000.00 100.00 050.00 070.00	23 0.5 C 180 000.00 100.00 050.00 125.00	24 0.5 B 000 000.00 100.00 040.00 100.00	25 0.5 C 180 000.00 100.00 050.00 147.50	26 0.5 B 220 000.00 100.00 154.38 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 B 220 000.00 100.00 160.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 220 000.00 100.00 177.50 050.00	31 0.5 A 100 000.00 100.00 080.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 B 000 000.00 100.00 080.00 050.00	34 0.5 C 180 000.00 100.00 080.00 175.00	35 0.5 A 100 000.00 100.00 050.00 080.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 B 220 000.00 100.00 188.75 100.00	38 0.5 B 220 000.00 100.00 190.00 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 B 000 000.00 100.00 095.00 080.00	42 0.5 A 100 000.00 100.00 050.00 035.00	43 0.5 B 220 000.00 100.00 160.00 085.00	44 0.5 A 100 000.00 100.00 025.00 050.00	45 0.5 A 100 000.00 100.00 095.00 100.00	46 0.5 B 000 000.00 100.00 050.00 070.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 B 000 000.00 100.00 050.00 070.00	49 0.5 A 100 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 178.75	1 0.5 A 100 000.00 100.00 047.50 050.00	2 0.5 A 100 000.00 100.00 050.00 070.00	3 0.5 B 220 000.00 100.00 160.00 040.00	4 0.5 A 100 000.00 100.00 095.00 100.00	5 0.5 A 100 000.00 100.00 025.00 070.00	6 0.5 C 000 000.00 100.00 080.00 080.00	7 0.5 C 000 000.00 100.00 050.00 087.50	8 0.5 C 000 000.00 100.00 095.00 035.00	9 0.5 C 180 000.00 100.00 050.00 115.00	10 0.5 A 100 000.00 100.00 080.00 050.00	11 0.5 A 100 000.00 100.00 080.00 070.00	12 0.5 B 220 000.00 100.00 202.50 050.00	13 0.5 A 100 000.00 100.00 050.00 070.00	14 0.5 B 220 000.00 100.00 135.00 050.00	15 0.5 B 000 000.00 100.00 023.75 025.00	16 0.5 A 100 000.00 100.00 050.00 035.00	17 0.5 B 000 000.00 100.00 040.00 100.00	18 0.5 B 000 000.00 100.00 037.50 050.00	19 0.5 A 100 000.00 100.00 050.00 062.50	20 0.5 C 180 000.00 100.00 100.00 160.00	21 0.5 B 220 000.00 100.00 160.00 085.00	22 0.5 A 100 000.00 100.00 050.00 070.00	23 0.5 A 100 000.00 100.00 050.00 125.00	24 0.5 A 100 000.00 100.00 040.00 100.00	25 0.5 C 000 000.00 100.00 050.00 073.75	26 0.5 B 220 000.00 100.00 187.19 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 B 220 000.00 100.00 190.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 220 000.00 100.00 198.75 050.00	31 0.5 A 100 000.00 100.00 080.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 A 100 000.00 100.00 080.00 050.00	34 0.5 B 000 000.00 100.00 040.00 175.00	35 0.5 C 180 000.00 100.00 050.00 130.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 B 000 000.00 100.00 094.38 100.00	38 0.5 B 220 000.00 100.00 205.00 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 B 000 000.00 100.00 047.50 080.00	42 0.5 A 100 000.00 100.00 050.00 035.00	43 0.5 B 220 000.00 100.00 190.00 085.00	44 0.5 C 000 000.00 100.00 025.00 025.00	45 0.5 B 220 000.00 100.00 157.50 100.00	46 0.5 A 100 000.00 100.00 050.00 070.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 C 180 000.00 100.00 050.00 125.00	49 0.5 A 100 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 179.38	1 0.5 B 220 000.00 100.00 133.75 050.00	2 0.5 A 100 000.00 100.00 050.00 070.00	3 0.5 B 000 000.00 100.00 080.00 040.00	4 0.5 A 100 000.00 100.00 095.00 100.00	5 0.5 A 100 000.00 100.00 025.00 070.00	6 0.5 A 100 000.00 100.00 080.00 080.00	7 0.5 A 100 000.00 100.00 050.00 087.50	8 0.5 B 000 000.00 100.00 047.50 035.00	9 0.5 C 000 000.00 100.00 050.00 057.50	10 0.5 A 100 000.00 100.00 080.00 050.00	11 0.5 A 100 000.00 100.00 080.00 070.00	12 0.5 B 000 000.00 100.00 101.25 050.00	13 0.5 B 220 000.00 100.00 135.00 070.00	14 0.5 B 000 000.00 100.00 067.50 050.00	15 0.5 A 100 000.00 100.00 023.75 025.00	16 0.5 B 220 000.00 100.00 135.00 035.00	17 0.5 C 180 000.00 100.00 040.00 140.00	18 0.5 B 000 000.00 100.00 018.75 050.00	19 0.5 A 100 000.00 100.00 050.00 062.50	20 0.5 C 000 000.00 100.00 100.00 080.00	21 0.5 B 220 000.00 100.00 190.00 085.00	22 0.5 A 100 000.00 100.00 050.00 070.00	23 0.5 A 100 000.00 100.00 050.00 125.00	24 0.5 A 100 000.00 100.00 040.00 100.00	25 0.5 A 100 000.00 100.00 050.00 073.75	26 0.5 B 220 000.00 100.00 203.59 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 B 220 000.00 100.00 205.00 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 000 000.00 100.00 099.38 050.00	31 0.5 B 220 000.00 100.00 150.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 A 100 000.00 100.00 080.00 050.00	34 0.5 C 000 000.00 100.00 040.00 087.50	35 0.5 C 000 000.00 100.00 050.00 065.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 C 180 000.00 100.00 094.38 140.00	38 0.5 B 000 000.00 100.00 102.50 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 A 100 000.00 100.00 047.50 080.00	42 0.5 B 000 000.00 100.00 025.00 035.00	43 0.5 B 220 000.00 100.00 205.00 085.00	44 0.5 A 100 000.00 100.00 025.00 025.00	45 0.5 B 000 000.00 100.00 078.75 100.00	46 0.5 A 100 000.00 100.00 050.00 070.00	47 0.5 A 100 000.00 100.00 100.00 050.00	48 0.5 C 000 000.00 100.00 050.00 062.50	49 0.5 A 100 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 179.69	1 0.5 B 220 000.00 100.00 176.88 050.00	2 0.5 A 100 000.00 100.00 050.00 070.00	3 0.5 A 100 000.00 100.00 080.00 040.00	4 0.5 B 220 000.00 100.00 157.50 100.00	5 0.5 A 100 000.00 100.00 025.00 070.00	6 0.5 C 000 000.00 100.00 080.00 040.00	7 0.5 A 100 000.00 100.00 050.00 087.50	8 0.5 A 100 000.00 100.00 047.50 035.00	9 0.5 A 100 000.00 100.00 050.00 057.50	10 0.5 A 100 000.00 100.00 080.00 050.00	11 0.5 A 100 000.00 100.00 080.00 070.00	12 0.5 A 100 000.00 100.00 101.25 050.00	13 0.5 A 100 000.00 100.00 135.00 070.00	14 0.5 A 100 000.00 100.00 067.50 050.00	15 0.5 A 100 000.00 100.00 023.75 025.00	16 0.5 B 220 000.00 100.00 177.50 035.00	17 0.5 C 180 000.00 100.00 040.00 160.00	18 0.5 A 100 000.00 100.00 018.75 050.00	19 0.5 A 100 000.00 100.00 050.00 062.50	20 0.5 A 100 000.00 100.00 100.00 080.00	21 0.5 B 220 000.00 100.00 205.00 085.00	22 0.5 A 100 000.00 100.00 050.00 070.00	23 0.5 A 100 000.00 100.00 050.00 125.00	24 0.5 A 100 000.00 100.00 040.00 100.00	25 0.5 A 100 000.00 100.00 050.00 073.75	26 0.5 B 220 000.00 100.00 211.80 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 B 220 000.00 100.00 212.50 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 A 100 000.00 100.00 099.38 050.00	31 0.5 B 000 000.00 100.00 075.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 A 100 000.00 100.00 080.00 050.00	34 0.5 A 100 000.00 100.00 040.00 087.50	35 0.5 B 220 000.00 100.00 135.00 065.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 A 100 000.00 100.00 094.38 140.00	38 0.5 B 220 000.00 100.00 161.25 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 A 100 000.00 100.00 047.50 080.00	42 0.5 A 100 000.00 100.00 025.00 035.00	43 0.5 B 220 000.00 100.00 212.50 085.00	44 0.5 A 100 000.00 100.00 025.00 025.00	45 0.5 A 100 000.00 100.00 078.75 100.00	46 0.5 A 100 000.00 100.00 050.00 070.00	47 0.5 B 220 000.00 100.00 160.00 050.00	48 0.5 A 100 000.00 100.00 050.00 062.50	49 0.5 A 100 000.00 100.00 050.00 050.00	
0 0.5 C 180 000.00 100.00 100.00 179.84	1 0.5 B 000 000.00 100.00 088.44 050.00	2 0.5 A 100 000.00 100.00 050.00 070.00	3 0.5 A 100 000.00 100.00 080.00 040.00	4 0.5 B 000 000.00 100.00 078.75 100.00	5 0.5 A 100 000.00 100.00 025.00 070.00	6 0.5 A 100 000.00 100.00 080.00 040.00	7 0.5 A 100 000.00 100.00 050.00 087.50	8 0.5 A 100 000.00 100.00 047.50 035.00	9 0.5 A 100 000.00 100.00 050.00 057.50	10 0.5 B 220 000.00 100.00 150.00 050.00	11 0.5 B 000 000.00 100.00 040.00 070.00	12 0.5 A 100 000.00 100.00 101.25 050.00	13 0.5 B 000 000.00 100.00 067.50 070.00	14 0.5 A 100 000.00 100.00 067.50 050.00	15 0.5 A 100 000.00 100.00 023.75 025.00	16 0.5 B 000 000.00 100.00 088.75 035.00	17 0.5 C 180 000.00 100.00 040.00 170.00	18 0.5 A 100 000.00 100.00 018.75 050.00	19 0.5 A 100 000.00 100.00 050.00 062.50	20 0.5 B 000 000.00 100.00 050.00 080.00	21 0.5 B 220 000.00 100.00 212.50 085.00	22 0.5 C 000 000.00 100.00 050.00 035.00	23 0.5 C 180 000.00 100.00 050.00 152.50	24 0.5 A 100 000.00 100.00 040.00 100.00	25 0.5 A 100 000.00 100.00 050.00 073.75	26 0.5 B 000 000.00 100.00 105.90 100.00	27 0.5 A 100 000.00 100.00 050.00 050.00	28 0.5 B 220 000.00 100.00 216.25 070.00	29 0.5 A 100 000.00 100.00 050.00 050.00	30 0.5 B 220 000.00 100.00 159.69 050.00	31 0.5 A 100 000.00 100.00 075.00 050.00	32 0.5 A 100 000.00 100.00 050.00 050.00	33 0.5 B 000 000.00 100.00 040.00 050.00	34 0.5 C 000 000.00 100.00 040.00 043.75	35 0.5 B 000 000.00 100.00 067.50 065.00	36 0.5 A 100 000.00 100.00 080.00 050.00	37 0.5 C 000 000.00 100.00 094.38 070.00	38 0.5 B 220 000.00 100.00 190.63 050.00	39 0.5 A 100 000.00 100.00 050.00 050.00	40 0.5 A 100 000.00 100.00 050.00 050.00	41 0.5 A 100 000.00 100.00 047.50 080.00	42 0.5 A 100 000.00 100.00 025.00 035.00	43 0.5 B 000 000.00 100.00 106.25 085.00	44 0.5 A 100 000.00 100.00 025.00 025.00	45 0.5 C 180 000.00 100.00 078.75 140.00	46 0.5 A 100 000.00 100.00 050.00 070.00	47 0.5 B 000 000.00 100.00 080.00 050.00	48 0.5 A 100 000.00 100.00 050.00 062.50	49 0.5 A 100 000.00 100.00 050.00 050.00	
