each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,169.49,033.49]	15(0.7077438594693404):B220,000.00,[100.00,171.50,029.23]	20(0.7549875835166742):C000,000.00,[100.00,046.70,010.25]	25(0.6136255502310676):A100,000.00,[100.00,032.69,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,053.69]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,203.08,033.49]	15(0.7077438594693404):B000,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.25]	25(0.6136255502310676):A100,000.00,[100.00,032.69,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):C000,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,214.33,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.25]	25(0.6136255502310676):A100,000.00,[100.00,032.69,064.93]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.73,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B000,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.25]	25(0.6136255502310676):C180,000.00,[100.00,032.69,135.54]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):B220,000.00,[100.00,192.09,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.25]	25(0.6136255502310676):C180,000.00,[100.00,032.69,162.82]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):B220,000.00,[100.00,215.84,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):C180,000.00,[100.00,046.70,138.41]	25(0.6136255502310676):A100,000.00,[100.00,032.69,162.82]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):B000,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):C000,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):C180,000.00,[100.00,032.69,173.36]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):C000,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,029.23]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,039.86,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):C180,000.00,[100.00,050.12,135.94]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):B220,000.00,[100.00,187.26,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
