each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0(0.9757411692371509):B000,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):C180,000.00,[100.00,044.27,170.17]	10(0.7418463673798982):B000,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,015.62]	45(0.949792281974926):C000,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):C180,000.00,[100.00,044.27,175.65]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,015.62]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):C000,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,015.62]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,015.62]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,015.62]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):C180,000.00,[100.00,030.62,102.77]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):C180,000.00,[100.00,030.62,143.72]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):C000,000.00,[100.00,030.62,067.52]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):C000,000.00,[100.00,030.62,031.72]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,031.72]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
0(0.9757411692371509):A100,000.00,[100.00,000.13,004.37]	5(0.5572757900992285):A100,000.00,[100.00,044.27,077.76]	10(0.7418463673798982):A100,000.00,[100.00,013.94,025.82]	15(0.9532464735462983):A100,000.00,[100.00,004.68,008.42]	20(0.8278766041239687):A100,000.00,[100.00,017.21,002.96]	25(0.8710570453279252):A100,000.00,[100.00,028.33,012.89]	30(0.8683100773997333):A100,000.00,[100.00,025.65,020.99]	35(0.7940969962967598):A100,000.00,[100.00,036.84,006.93]	40(0.5301969421807858):A100,000.00,[100.00,030.62,031.72]	45(0.949792281974926):A100,000.00,[100.00,005.02,009.04]	
