each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:A100,09.10,[100.00,47.50,89.38]	5:B220,12.00,[100.00,218.20,100.00]	10:C180,09.40,[100.00,80.00,134.69]	15:A100,08.50,[100.00,54.06,50.00]	20:A100,06.80,[100.00,87.50,50.00]	25:A100,06.60,[100.00,50.00,41.56]	30:C180,07.10,[100.00,75.00,115.00]	35:A100,06.00,[100.00,50.00,50.00]	40:A100,06.80,[100.00,39.38,50.00]	45:A100,07.10,[100.00,50.00,66.25]	
0:C180,10.00,[100.00,47.50,134.69]	5:B220,13.10,[100.00,219.10,100.00]	10:C000,09.40,[100.00,80.00,67.34]	15:A100,09.00,[100.00,54.06,50.00]	20:A100,07.30,[100.00,87.50,50.00]	25:A100,07.10,[100.00,50.00,41.56]	30:C000,07.10,[100.00,75.00,57.50]	35:B220,07.10,[100.00,135.00,50.00]	40:A100,07.30,[100.00,39.38,50.00]	45:A100,07.60,[100.00,50.00,66.25]	
0:C180,10.90,[100.00,47.50,157.34]	5:B000,13.10,[100.00,109.55,100.00]	10:A100,09.90,[100.00,80.00,67.34]	15:A100,09.50,[100.00,54.06,50.00]	20:A100,07.80,[100.00,87.50,50.00]	25:B220,08.20,[100.00,135.00,41.56]	30:A100,07.60,[100.00,75.00,57.50]	35:B220,08.20,[100.00,177.50,50.00]	40:A100,07.80,[100.00,39.38,50.00]	45:A100,08.10,[100.00,50.00,66.25]	
0:C000,10.90,[100.00,47.50,78.67]	5:A100,13.60,[100.00,109.55,100.00]	10:A100,10.40,[100.00,80.00,67.34]	15:A100,10.00,[100.00,54.06,50.00]	20:A100,08.30,[100.00,87.50,50.00]	25:A100,08.70,[100.00,135.00,41.56]	30:A100,08.10,[100.00,75.00,57.50]	35:B220,09.30,[100.00,198.75,50.00]	40:A100,08.30,[100.00,39.38,50.00]	45:A100,08.60,[100.00,50.00,66.25]	
0:C000,10.90,[100.00,47.50,39.34]	5:B220,14.70,[100.00,164.77,100.00]	10:A100,10.90,[100.00,80.00,67.34]	15:A100,10.50,[100.00,54.06,50.00]	20:A100,08.80,[100.00,87.50,50.00]	25:B000,08.70,[100.00,67.50,41.56]	30:A100,08.60,[100.00,75.00,57.50]	35:B000,09.30,[100.00,99.38,50.00]	40:A100,08.80,[100.00,39.38,50.00]	45:A100,09.10,[100.00,50.00,66.25]	
0:B220,12.00,[100.00,133.75,39.34]	5:B220,15.80,[100.00,192.39,100.00]	10:A100,11.40,[100.00,80.00,67.34]	15:A100,11.00,[100.00,54.06,50.00]	20:A100,09.30,[100.00,87.50,50.00]	25:A100,09.20,[100.00,67.50,41.56]	30:A100,09.10,[100.00,75.00,57.50]	35:A100,09.80,[100.00,99.38,50.00]	40:A100,09.30,[100.00,39.38,50.00]	45:A100,09.60,[100.00,50.00,66.25]	
0:B220,13.10,[100.00,176.88,39.34]	5:B000,15.80,[100.00,96.19,100.00]	10:A100,11.90,[100.00,80.00,67.34]	15:A100,11.50,[100.00,54.06,50.00]	20:A100,09.80,[100.00,87.50,50.00]	25:A100,09.70,[100.00,67.50,41.56]	30:C180,10.00,[100.00,75.00,118.75]	35:C180,10.70,[100.00,99.38,115.00]	40:A100,09.80,[100.00,39.38,50.00]	45:C180,10.50,[100.00,50.00,123.13]	
0:B220,14.20,[100.00,198.44,39.34]	5:B000,15.80,[100.00,48.10,100.00]	10:A100,12.40,[100.00,80.00,67.34]	15:A100,12.00,[100.00,54.06,50.00]	20:A100,10.30,[100.00,87.50,50.00]	25:A100,10.20,[100.00,67.50,41.56]	30:C000,10.00,[100.00,75.00,59.38]	35:C180,11.60,[100.00,99.38,147.50]	40:A100,10.30,[100.00,39.38,50.00]	45:C180,11.40,[100.00,50.00,151.56]	
0:B000,14.20,[100.00,99.22,39.34]	5:A100,16.30,[100.00,48.10,100.00]	10:C000,12.40,[100.00,80.00,33.67]	15:A100,12.50,[100.00,54.06,50.00]	20:A100,10.80,[100.00,87.50,50.00]	25:A100,10.70,[100.00,67.50,41.56]	30:A100,10.50,[100.00,75.00,59.38]	35:C180,12.50,[100.00,99.38,163.75]	40:A100,10.80,[100.00,39.38,50.00]	45:C000,11.40,[100.00,50.00,75.78]	
0:B000,14.20,[100.00,49.61,39.34]	5:C180,17.20,[100.00,48.10,140.00]	10:C180,13.30,[100.00,80.00,106.84]	15:A100,13.00,[100.00,54.06,50.00]	20:A100,11.30,[100.00,87.50,50.00]	25:A100,11.20,[100.00,67.50,41.56]	30:A100,11.00,[100.00,75.00,59.38]	35:C180,13.40,[100.00,99.38,171.88]	40:A100,11.30,[100.00,39.38,50.00]	45:C180,12.30,[100.00,50.00,127.89]	
