each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 150

0:A100,07.80,[100.00,01.14,00.93]	5:A100,06.80,[100.00,07.95,14.28]	10:A100,06.40,[100.00,10.47,17.97]	15:B220,07.20,[100.00,219.32,00.31]	20:A100,09.90,[100.00,31.28,25.82]	25:C000,05.90,[100.00,15.63,24.11]	30:A100,06.60,[100.00,22.48,10.86]	35:A100,08.40,[100.00,18.46,08.39]	40:A100,06.30,[100.00,02.87,05.03]	45:A100,06.40,[100.00,04.17,07.36]	
0:A100,08.30,[100.00,01.14,00.93]	5:A100,07.30,[100.00,07.95,14.28]	10:A100,06.90,[100.00,10.47,17.97]	15:B000,07.20,[100.00,00.68,00.31]	20:A100,10.40,[100.00,31.28,25.82]	25:A100,06.40,[100.00,15.63,24.11]	30:C000,06.60,[100.00,22.48,01.18]	35:A100,08.90,[100.00,18.46,08.39]	40:A100,06.80,[100.00,02.87,05.03]	45:A100,06.90,[100.00,04.17,07.36]	
0:A100,08.80,[100.00,01.14,00.93]	5:A100,07.80,[100.00,07.95,14.28]	10:A100,07.40,[100.00,10.47,17.97]	15:A100,07.70,[100.00,00.68,00.31]	20:A100,10.90,[100.00,31.28,25.82]	25:A100,06.90,[100.00,15.63,24.11]	30:A100,07.10,[100.00,22.48,01.18]	35:A100,09.40,[100.00,18.46,08.39]	40:A100,07.30,[100.00,02.87,05.03]	45:A100,07.40,[100.00,04.17,07.36]	
0:A100,09.30,[100.00,01.14,00.93]	5:A100,08.30,[100.00,07.95,14.28]	10:A100,07.90,[100.00,10.47,17.97]	15:A100,08.20,[100.00,00.68,00.31]	20:A100,11.40,[100.00,31.28,25.82]	25:A100,07.40,[100.00,15.63,24.11]	30:A100,07.60,[100.00,22.48,01.18]	35:A100,09.90,[100.00,18.46,08.39]	40:A100,07.80,[100.00,02.87,05.03]	45:A100,07.90,[100.00,04.17,07.36]	
0:A100,09.80,[100.00,01.14,00.93]	5:A100,08.80,[100.00,07.95,14.28]	10:A100,08.40,[100.00,10.47,17.97]	15:A100,08.70,[100.00,00.68,00.31]	20:B000,11.40,[100.00,04.53,25.82]	25:A100,07.90,[100.00,15.63,24.11]	30:A100,08.10,[100.00,22.48,01.18]	35:A100,10.40,[100.00,18.46,08.39]	40:B220,08.90,[100.00,213.76,05.03]	45:A100,08.40,[100.00,04.17,07.36]	
0:A100,10.30,[100.00,01.14,00.93]	5:A100,09.30,[100.00,07.95,14.28]	10:A100,08.90,[100.00,10.47,17.97]	15:A100,09.20,[100.00,00.68,00.31]	20:A100,11.90,[100.00,04.53,25.82]	25:A100,08.40,[100.00,15.63,24.11]	30:A100,08.60,[100.00,22.48,01.18]	35:A100,10.90,[100.00,18.46,08.39]	40:B000,08.90,[100.00,06.14,05.03]	45:A100,08.90,[100.00,04.17,07.36]	
0:A100,10.80,[100.00,01.14,00.93]	5:A100,09.80,[100.00,07.95,14.28]	10:A100,09.40,[100.00,10.47,17.97]	15:A100,09.70,[100.00,00.68,00.31]	20:A100,12.40,[100.00,04.53,25.82]	25:A100,08.90,[100.00,15.63,24.11]	30:A100,09.10,[100.00,22.48,01.18]	35:A100,11.40,[100.00,18.46,08.39]	40:A100,09.40,[100.00,06.14,05.03]	45:C000,08.90,[100.00,04.17,00.31]	
0:A100,11.30,[100.00,01.14,00.93]	5:A100,10.30,[100.00,07.95,14.28]	10:A100,09.90,[100.00,10.47,17.97]	15:A100,10.20,[100.00,00.68,00.31]	20:A100,12.90,[100.00,04.53,25.82]	25:A100,09.40,[100.00,15.63,24.11]	30:A100,09.60,[100.00,22.48,01.18]	35:A100,11.90,[100.00,18.46,08.39]	40:A100,09.90,[100.00,06.14,05.03]	45:A100,09.40,[100.00,04.17,00.31]	
0:A100,11.80,[100.00,01.14,00.93]	5:A100,10.80,[100.00,07.95,14.28]	10:A100,10.40,[100.00,10.47,17.97]	15:A100,10.70,[100.00,00.68,00.31]	20:A100,13.40,[100.00,04.53,25.82]	25:A100,09.90,[100.00,15.63,24.11]	30:A100,10.10,[100.00,22.48,01.18]	35:A100,12.40,[100.00,18.46,08.39]	40:A100,10.40,[100.00,06.14,05.03]	45:A100,09.90,[100.00,04.17,00.31]	
0:A100,12.30,[100.00,01.14,00.93]	5:A100,11.30,[100.00,07.95,14.28]	10:A100,10.90,[100.00,10.47,17.97]	15:A100,11.20,[100.00,00.68,00.31]	20:A100,13.90,[100.00,04.53,25.82]	25:A100,10.40,[100.00,15.63,24.11]	30:A100,10.60,[100.00,22.48,01.18]	35:A100,12.90,[100.00,18.46,08.39]	40:A100,10.90,[100.00,06.14,05.03]	45:A100,10.40,[100.00,04.17,00.31]	
