each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:C000, 0.00,100.00,100.00,50.00	5:B220, 1.10,100.00,160.00,100.00	10:C180, 0.90,100.00,100.00,140.00	15:C180, 0.90,100.00,100.00,140.00	20:C180, 0.90,100.00,100.00,140.00	25:B000, 0.00,100.00,50.00,100.00	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:C180, 0.90,100.00,100.00,140.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,28.50,100.00,38.40,25.00	5:A100,28.70,100.00,19.31,37.46	10:A100,26.20,100.00,12.99,40.00	15:A100,28.50,100.00,74.40,27.99	20:A100,25.50,100.00,40.00,17.50	25:C000,26.50,100.00,36.44,82.72	30:A100,29.50,100.00,37.80,30.43	35:A100,25.40,100.00,32.50,19.06	40:A100,28.70,100.00,32.63,30.78	45:A100,24.40,100.00,17.97,15.86	
0:A100,29.00,100.00,38.40,25.00	5:A100,29.20,100.00,19.31,37.46	10:A100,26.70,100.00,12.99,40.00	15:A100,29.00,100.00,74.40,27.99	20:A100,26.00,100.00,40.00,17.50	25:A100,27.00,100.00,36.44,82.72	30:B000,29.50,100.00,18.90,30.43	35:A100,25.90,100.00,32.50,19.06	40:A100,29.20,100.00,32.63,30.78	45:A100,24.90,100.00,17.97,15.86	
0:B220,30.10,100.00,129.20,25.00	5:A100,29.70,100.00,19.31,37.46	10:A100,27.20,100.00,12.99,40.00	15:A100,29.50,100.00,74.40,27.99	20:A100,26.50,100.00,40.00,17.50	25:A100,27.50,100.00,36.44,82.72	30:A100,30.00,100.00,18.90,30.43	35:B220,27.00,100.00,126.25,19.06	40:A100,29.70,100.00,32.63,30.78	45:A100,25.40,100.00,17.97,15.86	
0:B000,30.10,100.00,64.60,25.00	5:A100,30.20,100.00,19.31,37.46	10:A100,27.70,100.00,12.99,40.00	15:A100,30.00,100.00,74.40,27.99	20:A100,27.00,100.00,40.00,17.50	25:A100,28.00,100.00,36.44,82.72	30:A100,30.50,100.00,18.90,30.43	35:A100,27.50,100.00,126.25,19.06	40:A100,30.20,100.00,32.63,30.78	45:A100,25.90,100.00,17.97,15.86	
0:A100,30.60,100.00,64.60,25.00	5:A100,30.70,100.00,19.31,37.46	10:A100,28.20,100.00,12.99,40.00	15:B220,31.10,100.00,147.20,27.99	20:A100,27.50,100.00,40.00,17.50	25:A100,28.50,100.00,36.44,82.72	30:A100,31.00,100.00,18.90,30.43	35:B220,28.60,100.00,173.13,19.06	40:A100,30.70,100.00,32.63,30.78	45:A100,26.40,100.00,17.97,15.86	
0:A100,31.10,100.00,64.60,25.00	5:A100,31.20,100.00,19.31,37.46	10:A100,28.70,100.00,12.99,40.00	15:B000,31.10,100.00,73.60,27.99	20:A100,28.00,100.00,40.00,17.50	25:A100,29.00,100.00,36.44,82.72	30:A100,31.50,100.00,18.90,30.43	35:B000,28.60,100.00,86.56,19.06	40:A100,31.20,100.00,32.63,30.78	45:A100,26.90,100.00,17.97,15.86	
0:B220,32.20,100.00,142.30,25.00	5:A100,31.70,100.00,19.31,37.46	10:A100,29.20,100.00,12.99,40.00	15:A100,31.60,100.00,73.60,27.99	20:A100,28.50,100.00,40.00,17.50	25:A100,29.50,100.00,36.44,82.72	30:A100,32.00,100.00,18.90,30.43	35:B000,28.60,100.00,43.28,19.06	40:A100,31.70,100.00,32.63,30.78	45:A100,27.40,100.00,17.97,15.86	
0:B220,33.30,100.00,181.15,25.00	5:A100,32.20,100.00,19.31,37.46	10:A100,29.70,100.00,12.99,40.00	15:B220,32.70,100.00,146.80,27.99	20:A100,29.00,100.00,40.00,17.50	25:A100,30.00,100.00,36.44,82.72	30:A100,32.50,100.00,18.90,30.43	35:A100,29.10,100.00,43.28,19.06	40:A100,32.20,100.00,32.63,30.78	45:A100,27.90,100.00,17.97,15.86	
0:B000,33.30,100.00,90.58,25.00	5:A100,32.70,100.00,19.31,37.46	10:A100,30.20,100.00,12.99,40.00	15:B220,33.80,100.00,183.40,27.99	20:A100,29.50,100.00,40.00,17.50	25:A100,30.50,100.00,36.44,82.72	30:A100,33.00,100.00,18.90,30.43	35:A100,29.60,100.00,43.28,19.06	40:A100,32.70,100.00,32.63,30.78	45:A100,28.40,100.00,17.97,15.86	
0:A100,33.80,100.00,90.58,25.00	5:B000,32.70,100.00, 9.65,37.46	10:A100,30.70,100.00,12.99,40.00	15:B000,33.80,100.00,91.70,27.99	20:A100,30.00,100.00,40.00,17.50	25:C180,31.40,100.00,36.44,131.36	30:A100,33.50,100.00,18.90,30.43	35:A100,30.10,100.00,43.28,19.06	40:A100,33.20,100.00,32.63,30.78	45:A100,28.90,100.00,17.97,15.86	
0:B220,34.90,100.00,155.29,25.00	5:A100,33.20,100.00, 9.65,37.46	10:A100,31.20,100.00,12.99,40.00	15:A100,34.30,100.00,91.70,27.99	20:A100,30.50,100.00,40.00,17.50	25:C180,32.30,100.00,36.44,155.68	30:A100,34.00,100.00,18.90,30.43	35:A100,30.60,100.00,43.28,19.06	40:A100,33.70,100.00,32.63,30.78	45:A100,29.40,100.00,17.97,15.86	
0:B000,34.90,100.00,77.64,25.00	5:A100,33.70,100.00, 9.65,37.46	10:C180,32.10,100.00,12.99,110.00	15:A100,34.80,100.00,91.70,27.99	20:B000,30.50,100.00,20.00,17.50	25:C000,32.30,100.00,36.44,77.84	30:A100,34.50,100.00,18.90,30.43	35:A100,31.10,100.00,43.28,19.06	40:A100,34.20,100.00,32.63,30.78	45:A100,29.90,100.00,17.97,15.86	
0:B220,36.00,100.00,148.82,25.00	5:A100,34.20,100.00, 9.65,37.46	10:C000,32.10,100.00,12.99,55.00	15:A100,35.30,100.00,91.70,27.99	20:A100,31.00,100.00,20.00,17.50	25:C000,32.30,100.00,36.44,38.92	30:A100,35.00,100.00,18.90,30.43	35:A100,31.60,100.00,43.28,19.06	40:A100,34.70,100.00,32.63,30.78	45:A100,30.40,100.00,17.97,15.86	
0:B220,37.10,100.00,184.41,25.00	5:A100,34.70,100.00, 9.65,37.46	10:A100,32.60,100.00,12.99,55.00	15:A100,35.80,100.00,91.70,27.99	20:A100,31.50,100.00,20.00,17.50	25:A100,32.80,100.00,36.44,38.92	30:A100,35.50,100.00,18.90,30.43	35:A100,32.10,100.00,43.28,19.06	40:A100,35.20,100.00,32.63,30.78	45:A100,30.90,100.00,17.97,15.86	
0:A100,37.60,100.00,184.41,25.00	5:A100,35.20,100.00, 9.65,37.46	10:A100,33.10,100.00,12.99,55.00	15:B000,35.80,100.00,45.85,27.99	20:A100,32.00,100.00,20.00,17.50	25:A100,33.30,100.00,36.44,38.92	30:A100,36.00,100.00,18.90,30.43	35:A100,32.60,100.00,43.28,19.06	40:A100,35.70,100.00,32.63,30.78	45:A100,31.40,100.00,17.97,15.86	
0:B000,37.60,100.00,92.21,25.00	5:A100,35.70,100.00, 9.65,37.46	10:A100,33.60,100.00,12.99,55.00	15:C000,35.80,100.00,45.85,14.00	20:A100,32.50,100.00,20.00,17.50	25:A100,33.80,100.00,36.44,38.92	30:A100,36.50,100.00,18.90,30.43	35:A100,33.10,100.00,43.28,19.06	40:B000,35.70,100.00,16.31,30.78	45:A100,31.90,100.00,17.97,15.86	
0:B000,37.60,100.00,46.10,25.00	5:A100,36.20,100.00, 9.65,37.46	10:A100,34.10,100.00,12.99,55.00	15:C000,35.80,100.00,45.85, 7.00	20:A100,33.00,100.00,20.00,17.50	25:A100,34.30,100.00,36.44,38.92	30:A100,37.00,100.00,18.90,30.43	35:A100,33.60,100.00,43.28,19.06	40:A100,36.20,100.00,16.31,30.78	45:A100,32.40,100.00,17.97,15.86	
0:A100,38.10,100.00,46.10,25.00	5:A100,36.70,100.00, 9.65,37.46	10:A100,34.60,100.00,12.99,55.00	15:A100,36.30,100.00,45.85, 7.00	20:A100,33.50,100.00,20.00,17.50	25:A100,34.80,100.00,36.44,38.92	30:A100,37.50,100.00,18.90,30.43	35:A100,34.10,100.00,43.28,19.06	40:A100,36.70,100.00,16.31,30.78	45:A100,32.90,100.00,17.97,15.86	
0:A100,38.60,100.00,46.10,25.00	5:A100,37.20,100.00, 9.65,37.46	10:A100,35.10,100.00,12.99,55.00	15:A100,36.80,100.00,45.85, 7.00	20:A100,34.00,100.00,20.00,17.50	25:A100,35.30,100.00,36.44,38.92	30:A100,38.00,100.00,18.90,30.43	35:A100,34.60,100.00,43.28,19.06	40:A100,37.20,100.00,16.31,30.78	45:A100,33.40,100.00,17.97,15.86	
0:A100,39.10,100.00,46.10,25.00	5:A100,37.70,100.00, 9.65,37.46	10:A100,35.60,100.00,12.99,55.00	15:A100,37.30,100.00,45.85, 7.00	20:A100,34.50,100.00,20.00,17.50	25:A100,35.80,100.00,36.44,38.92	30:A100,38.50,100.00,18.90,30.43	35:A100,35.10,100.00,43.28,19.06	40:A100,37.70,100.00,16.31,30.78	45:A100,33.90,100.00,17.97,15.86	
0:A100,39.60,100.00,46.10,25.00	5:A100,38.20,100.00, 9.65,37.46	10:A100,36.10,100.00,12.99,55.00	15:A100,37.80,100.00,45.85, 7.00	20:A100,35.00,100.00,20.00,17.50	25:C180,36.70,100.00,36.44,109.46	30:A100,39.00,100.00,18.90,30.43	35:A100,35.60,100.00,43.28,19.06	40:A100,38.20,100.00,16.31,30.78	45:A100,34.40,100.00,17.97,15.86	
0:A100,40.10,100.00,46.10,25.00	5:A100,38.70,100.00, 9.65,37.46	10:A100,36.60,100.00,12.99,55.00	15:A100,38.30,100.00,45.85, 7.00	20:A100,35.50,100.00,20.00,17.50	25:C180,37.60,100.00,36.44,144.73	30:B220,40.10,100.00,119.45,30.43	35:A100,36.10,100.00,43.28,19.06	40:A100,38.70,100.00,16.31,30.78	45:B220,35.50,100.00,118.98,15.86	
0:A100,40.60,100.00,46.10,25.00	5:A100,39.20,100.00, 9.65,37.46	10:A100,37.10,100.00,12.99,55.00	15:A100,38.80,100.00,45.85, 7.00	20:A100,36.00,100.00,20.00,17.50	25:C000,37.60,100.00,36.44,72.37	30:A100,40.60,100.00,119.45,30.43	35:A100,36.60,100.00,43.28,19.06	40:A100,39.20,100.00,16.31,30.78	45:B220,36.60,100.00,169.49,15.86	
0:A100,41.10,100.00,46.10,25.00	5:A100,39.70,100.00, 9.65,37.46	10:A100,37.60,100.00,12.99,55.00	15:A100,39.30,100.00,45.85, 7.00	20:A100,36.50,100.00,20.00,17.50	25:A100,38.10,100.00,36.44,72.37	30:B000,40.60,100.00,59.72,30.43	35:A100,37.10,100.00,43.28,19.06	40:A100,39.70,100.00,16.31,30.78	45:B220,37.70,100.00,194.75,15.86	
0:A100,41.60,100.00,46.10,25.00	5:A100,40.20,100.00, 9.65,37.46	10:A100,38.10,100.00,12.99,55.00	15:A100,39.80,100.00,45.85, 7.00	20:A100,37.00,100.00,20.00,17.50	25:A100,38.60,100.00,36.44,72.37	30:C180,41.50,100.00,59.72,105.21	35:A100,37.60,100.00,43.28,19.06	40:A100,40.20,100.00,16.31,30.78	45:B000,37.70,100.00,97.37,15.86	
0:A100,42.10,100.00,46.10,25.00	5:A100,40.70,100.00, 9.65,37.46	10:A100,38.60,100.00,12.99,55.00	15:A100,40.30,100.00,45.85, 7.00	20:A100,37.50,100.00,20.00,17.50	25:C180,39.50,100.00,36.44,126.18	30:C000,41.50,100.00,59.72,52.61	35:A100,38.10,100.00,43.28,19.06	40:A100,40.70,100.00,16.31,30.78	45:C180,38.60,100.00,97.37,97.93	
0:A100,42.60,100.00,46.10,25.00	5:A100,41.20,100.00, 9.65,37.46	10:A100,39.10,100.00,12.99,55.00	15:A100,40.80,100.00,45.85, 7.00	20:A100,38.00,100.00,20.00,17.50	25:C000,39.50,100.00,36.44,63.09	30:C180,42.40,100.00,59.72,116.30	35:A100,38.60,100.00,43.28,19.06	40:A100,41.20,100.00,16.31,30.78	45:A100,39.10,100.00,97.37,97.93	
0:A100,43.10,100.00,46.10,25.00	5:A100,41.70,100.00, 9.65,37.46	10:A100,39.60,100.00,12.99,55.00	15:A100,41.30,100.00,45.85, 7.00	20:A100,38.50,100.00,20.00,17.50	25:A100,40.00,100.00,36.44,63.09	30:C180,43.30,100.00,59.72,148.15	35:A100,39.10,100.00,43.28,19.06	40:A100,41.70,100.00,16.31,30.78	45:B000,39.10,100.00,48.69,97.93	
0:A100,43.60,100.00,46.10,25.00	5:A100,42.20,100.00, 9.65,37.46	10:A100,40.10,100.00,12.99,55.00	15:A100,41.80,100.00,45.85, 7.00	20:A100,39.00,100.00,20.00,17.50	25:A100,40.50,100.00,36.44,63.09	30:C180,44.20,100.00,59.72,164.08	35:A100,39.60,100.00,43.28,19.06	40:A100,42.20,100.00,16.31,30.78	45:A100,39.60,100.00,48.69,97.93	
0:A100,44.10,100.00,46.10,25.00	5:A100,42.70,100.00, 9.65,37.46	10:A100,40.60,100.00,12.99,55.00	15:A100,42.30,100.00,45.85, 7.00	20:A100,39.50,100.00,20.00,17.50	25:A100,41.00,100.00,36.44,63.09	30:C000,44.20,100.00,59.72,82.04	35:A100,40.10,100.00,43.28,19.06	40:A100,42.70,100.00,16.31,30.78	45:A100,40.10,100.00,48.69,97.93	
0:A100,44.60,100.00,46.10,25.00	5:A100,43.20,100.00, 9.65,37.46	10:A100,41.10,100.00,12.99,55.00	15:B000,42.30,100.00,22.93, 7.00	20:A100,40.00,100.00,20.00,17.50	25:C180,41.90,100.00,36.44,121.55	30:A100,44.70,100.00,59.72,82.04	35:A100,40.60,100.00,43.28,19.06	40:A100,43.20,100.00,16.31,30.78	45:A100,40.60,100.00,48.69,97.93	
0:A100,45.10,100.00,46.10,25.00	5:A100,43.70,100.00, 9.65,37.46	10:A100,41.60,100.00,12.99,55.00	15:A100,42.80,100.00,22.93, 7.00	20:A100,40.50,100.00,20.00,17.50	25:C000,41.90,100.00,36.44,60.77	30:A100,45.20,100.00,59.72,82.04	35:A100,41.10,100.00,43.28,19.06	40:A100,43.70,100.00,16.31,30.78	45:A100,41.10,100.00,48.69,97.93	
0:A100,45.60,100.00,46.10,25.00	5:A100,44.20,100.00, 9.65,37.46	10:A100,42.10,100.00,12.99,55.00	15:A100,43.30,100.00,22.93, 7.00	20:A100,41.00,100.00,20.00,17.50	25:A100,42.40,100.00,36.44,60.77	30:A100,45.70,100.00,59.72,82.04	35:A100,41.60,100.00,43.28,19.06	40:A100,44.20,100.00,16.31,30.78	45:A100,41.60,100.00,48.69,97.93	
0:A100,46.10,100.00,46.10,25.00	5:A100,44.70,100.00, 9.65,37.46	10:A100,42.60,100.00,12.99,55.00	15:A100,43.80,100.00,22.93, 7.00	20:A100,41.50,100.00,20.00,17.50	25:A100,42.90,100.00,36.44,60.77	30:A100,46.20,100.00,59.72,82.04	35:A100,42.10,100.00,43.28,19.06	40:A100,44.70,100.00,16.31,30.78	45:A100,42.10,100.00,48.69,97.93	
0:A100,46.60,100.00,46.10,25.00	5:A100,45.20,100.00, 9.65,37.46	10:A100,43.10,100.00,12.99,55.00	15:A100,44.30,100.00,22.93, 7.00	20:A100,42.00,100.00,20.00,17.50	25:A100,43.40,100.00,36.44,60.77	30:A100,46.70,100.00,59.72,82.04	35:A100,42.60,100.00,43.28,19.06	40:A100,45.20,100.00,16.31,30.78	45:C180,43.00,100.00,48.69,138.96	
0:B000,46.60,100.00,23.05,25.00	5:A100,45.70,100.00, 9.65,37.46	10:A100,43.60,100.00,12.99,55.00	15:A100,44.80,100.00,22.93, 7.00	20:B220,43.10,100.00,120.00,17.50	25:A100,43.90,100.00,36.44,60.77	30:C180,47.60,100.00,59.72,131.02	35:A100,43.10,100.00,43.28,19.06	40:A100,45.70,100.00,16.31,30.78	45:C000,43.00,100.00,48.69,69.48	
0:A100,47.10,100.00,23.05,25.00	5:C000,45.70,100.00, 9.65,18.73	10:A100,44.10,100.00,12.99,55.00	15:A100,45.30,100.00,22.93, 7.00	20:B000,43.10,100.00,60.00,17.50	25:A100,44.40,100.00,36.44,60.77	30:C000,47.60,100.00,59.72,65.51	35:B220,44.20,100.00,131.64,19.06	40:A100,46.20,100.00,16.31,30.78	45:A100,43.50,100.00,48.69,69.48	
0:A100,47.60,100.00,23.05,25.00	5:A100,46.20,100.00, 9.65,18.73	10:A100,44.60,100.00,12.99,55.00	15:A100,45.80,100.00,22.93, 7.00	20:A100,43.60,100.00,60.00,17.50	25:A100,44.90,100.00,36.44,60.77	30:A100,48.10,100.00,59.72,65.51	35:B220,45.30,100.00,175.82,19.06	40:A100,46.70,100.00,16.31,30.78	45:A100,44.00,100.00,48.69,69.48	
0:A100,48.10,100.00,23.05,25.00	5:A100,46.70,100.00, 9.65,18.73	10:A100,45.10,100.00,12.99,55.00	15:A100,46.30,100.00,22.93, 7.00	20:A100,44.10,100.00,60.00,17.50	25:A100,45.40,100.00,36.44,60.77	30:B220,49.20,100.00,139.86,65.51	35:B220,46.40,100.00,197.91,19.06	40:A100,47.20,100.00,16.31,30.78	45:C180,44.90,100.00,48.69,124.74	
0:A100,48.60,100.00,23.05,25.00	5:A100,47.20,100.00, 9.65,18.73	10:A100,45.60,100.00,12.99,55.00	15:A100,46.80,100.00,22.93, 7.00	20:A100,44.60,100.00,60.00,17.50	25:A100,45.90,100.00,36.44,60.77	30:A100,49.70,100.00,139.86,65.51	35:B000,46.40,100.00,98.96,19.06	40:A100,47.70,100.00,16.31,30.78	45:C180,45.80,100.00,48.69,152.37	
0:A100,49.10,100.00,23.05,25.00	5:A100,47.70,100.00, 9.65,18.73	10:A100,46.10,100.00,12.99,55.00	15:A100,47.30,100.00,22.93, 7.00	20:A100,45.10,100.00,60.00,17.50	25:C000,45.90,100.00,36.44,30.39	30:B000,49.70,100.00,69.93,65.51	35:A100,46.90,100.00,98.96,19.06	40:A100,48.20,100.00,16.31,30.78	45:C180,46.70,100.00,48.69,166.19	
0:A100,49.60,100.00,23.05,25.00	5:A100,48.20,100.00, 9.65,18.73	10:A100,46.60,100.00,12.99,55.00	15:A100,47.80,100.00,22.93, 7.00	20:A100,45.60,100.00,60.00,17.50	25:A100,46.40,100.00,36.44,30.39	30:A100,50.20,100.00,69.93,65.51	35:B220,48.00,100.00,159.48,19.06	40:A100,48.70,100.00,16.31,30.78	45:C000,46.70,100.00,48.69,83.09	
0:A100,50.10,100.00,23.05,25.00	5:A100,48.70,100.00, 9.65,18.73	10:A100,47.10,100.00,12.99,55.00	15:A100,48.30,100.00,22.93, 7.00	20:A100,46.10,100.00,60.00,17.50	25:A100,46.90,100.00,36.44,30.39	30:A100,50.70,100.00,69.93,65.51	35:B000,48.00,100.00,79.74,19.06	40:A100,49.20,100.00,16.31,30.78	45:C180,47.60,100.00,48.69,131.55	
0:A100,50.60,100.00,23.05,25.00	5:B000,48.70,100.00, 4.83,18.73	10:A100,47.60,100.00,12.99,55.00	15:A100,48.80,100.00,22.93, 7.00	20:A100,46.60,100.00,60.00,17.50	25:A100,47.40,100.00,36.44,30.39	30:A100,51.20,100.00,69.93,65.51	35:A100,48.50,100.00,79.74,19.06	40:A100,49.70,100.00,16.31,30.78	45:A100,48.10,100.00,48.69,131.55	
0:A100,51.10,100.00,23.05,25.00	5:A100,49.20,100.00, 4.83,18.73	10:A100,48.10,100.00,12.99,55.00	15:A100,49.30,100.00,22.93, 7.00	20:A100,47.10,100.00,60.00,17.50	25:A100,47.90,100.00,36.44,30.39	30:B000,51.20,100.00,34.97,65.51	35:A100,49.00,100.00,79.74,19.06	40:A100,50.20,100.00,16.31,30.78	45:A100,48.60,100.00,48.69,131.55	
0:A100,51.60,100.00,23.05,25.00	5:A100,49.70,100.00, 4.83,18.73	10:A100,48.60,100.00,12.99,55.00	15:A100,49.80,100.00,22.93, 7.00	20:A100,47.60,100.00,60.00,17.50	25:A100,48.40,100.00,36.44,30.39	30:A100,51.70,100.00,34.97,65.51	35:A100,49.50,100.00,79.74,19.06	40:A100,50.70,100.00,16.31,30.78	45:C180,49.50,100.00,48.69,155.77	
0:A100,52.10,100.00,23.05,25.00	5:A100,50.20,100.00, 4.83,18.73	10:A100,49.10,100.00,12.99,55.00	15:A100,50.30,100.00,22.93, 7.00	20:A100,48.10,100.00,60.00,17.50	25:A100,48.90,100.00,36.44,30.39	30:C000,51.70,100.00,34.97,32.75	35:A100,50.00,100.00,79.74,19.06	40:A100,51.20,100.00,16.31,30.78	45:C000,49.50,100.00,48.69,77.89	
0:A100,52.60,100.00,23.05,25.00	5:A100,50.70,100.00, 4.83,18.73	10:A100,49.60,100.00,12.99,55.00	15:A100,50.80,100.00,22.93, 7.00	20:A100,48.60,100.00,60.00,17.50	25:A100,49.40,100.00,36.44,30.39	30:A100,52.20,100.00,34.97,32.75	35:B000,50.00,100.00,39.87,19.06	40:A100,51.70,100.00,16.31,30.78	45:A100,50.00,100.00,48.69,77.89	
0:A100,53.10,100.00,23.05,25.00	5:A100,51.20,100.00, 4.83,18.73	10:A100,50.10,100.00,12.99,55.00	15:A100,51.30,100.00,22.93, 7.00	20:A100,49.10,100.00,60.00,17.50	25:A100,49.90,100.00,36.44,30.39	30:A100,52.70,100.00,34.97,32.75	35:A100,50.50,100.00,39.87,19.06	40:A100,52.20,100.00,16.31,30.78	45:A100,50.50,100.00,48.69,77.89	
0:A100,53.60,100.00,23.05,25.00	5:A100,51.70,100.00, 4.83,18.73	10:C180,51.00,100.00,12.99,117.50	15:A100,51.80,100.00,22.93, 7.00	20:A100,49.60,100.00,60.00,17.50	25:A100,50.40,100.00,36.44,30.39	30:A100,53.20,100.00,34.97,32.75	35:A100,51.00,100.00,39.87,19.06	40:A100,52.70,100.00,16.31,30.78	45:A100,51.00,100.00,48.69,77.89	
0:A100,54.10,100.00,23.05,25.00	5:A100,52.20,100.00, 4.83,18.73	10:C180,51.90,100.00,12.99,148.75	15:A100,52.30,100.00,22.93, 7.00	20:A100,50.10,100.00,60.00,17.50	25:A100,50.90,100.00,36.44,30.39	30:A100,53.70,100.00,34.97,32.75	35:A100,51.50,100.00,39.87,19.06	40:A100,53.20,100.00,16.31,30.78	45:C000,51.00,100.00,48.69,38.94	
0:A100,54.60,100.00,23.05,25.00	5:A100,52.70,100.00, 4.83,18.73	10:C180,52.80,100.00,12.99,164.38	15:A100,52.80,100.00,22.93, 7.00	20:A100,50.60,100.00,60.00,17.50	25:A100,51.40,100.00,36.44,30.39	30:A100,54.20,100.00,34.97,32.75	35:A100,52.00,100.00,39.87,19.06	40:A100,53.70,100.00,16.31,30.78	45:A100,51.50,100.00,48.69,38.94	
0:A100,55.10,100.00,23.05,25.00	5:A100,53.20,100.00, 4.83,18.73	10:C000,52.80,100.00,12.99,82.19	15:A100,53.30,100.00,22.93, 7.00	20:A100,51.10,100.00,60.00,17.50	25:A100,51.90,100.00,36.44,30.39	30:A100,54.70,100.00,34.97,32.75	35:A100,52.50,100.00,39.87,19.06	40:A100,54.20,100.00,16.31,30.78	45:A100,52.00,100.00,48.69,38.94	
0:A100,55.60,100.00,23.05,25.00	5:A100,53.70,100.00, 4.83,18.73	10:A100,53.30,100.00,12.99,82.19	15:A100,53.80,100.00,22.93, 7.00	20:A100,51.60,100.00,60.00,17.50	25:A100,52.40,100.00,36.44,30.39	30:A100,55.20,100.00,34.97,32.75	35:A100,53.00,100.00,39.87,19.06	40:A100,54.70,100.00,16.31,30.78	45:A100,52.50,100.00,48.69,38.94	
0:C180,56.50,100.00,23.05,102.50	5:A100,54.20,100.00, 4.83,18.73	10:A100,53.80,100.00,12.99,82.19	15:A100,54.30,100.00,22.93, 7.00	20:A100,52.10,100.00,60.00,17.50	25:A100,52.90,100.00,36.44,30.39	30:B000,55.20,100.00,17.48,32.75	35:A100,53.50,100.00,39.87,19.06	40:A100,55.20,100.00,16.31,30.78	45:A100,53.00,100.00,48.69,38.94	
0:A100,57.00,100.00,23.05,102.50	5:A100,54.70,100.00, 4.83,18.73	10:A100,54.30,100.00,12.99,82.19	15:A100,54.80,100.00,22.93, 7.00	20:A100,52.60,100.00,60.00,17.50	25:A100,53.40,100.00,36.44,30.39	30:C180,56.10,100.00,17.48,106.38	35:A100,54.00,100.00,39.87,19.06	40:A100,55.70,100.00,16.31,30.78	45:A100,53.50,100.00,48.69,38.94	
0:C180,57.90,100.00,23.05,141.25	5:A100,55.20,100.00, 4.83,18.73	10:A100,54.80,100.00,12.99,82.19	15:A100,55.30,100.00,22.93, 7.00	20:A100,53.10,100.00,60.00,17.50	25:A100,53.90,100.00,36.44,30.39	30:C180,57.00,100.00,17.48,143.19	35:A100,54.50,100.00,39.87,19.06	40:A100,56.20,100.00,16.31,30.78	45:A100,54.00,100.00,48.69,38.94	
0:C000,57.90,100.00,23.05,70.63	5:A100,55.70,100.00, 4.83,18.73	10:A100,55.30,100.00,12.99,82.19	15:A100,55.80,100.00,22.93, 7.00	20:A100,53.60,100.00,60.00,17.50	25:A100,54.40,100.00,36.44,30.39	30:C000,57.00,100.00,17.48,71.59	35:A100,55.00,100.00,39.87,19.06	40:A100,56.70,100.00,16.31,30.78	45:A100,54.50,100.00,48.69,38.94	
0:A100,58.40,100.00,23.05,70.63	5:A100,56.20,100.00, 4.83,18.73	10:C000,55.30,100.00,12.99,41.09	15:A100,56.30,100.00,22.93, 7.00	20:A100,54.10,100.00,60.00,17.50	25:A100,54.90,100.00,36.44,30.39	30:A100,57.50,100.00,17.48,71.59	35:A100,55.50,100.00,39.87,19.06	40:B220,57.80,100.00,118.16,30.78	45:A100,55.00,100.00,48.69,38.94	
0:A100,58.90,100.00,23.05,70.63	5:A100,56.70,100.00, 4.83,18.73	10:A100,55.80,100.00,12.99,41.09	15:B220,57.40,100.00,121.46, 7.00	20:A100,54.60,100.00,60.00,17.50	25:A100,55.40,100.00,36.44,30.39	30:A100,58.00,100.00,17.48,71.59	35:A100,56.00,100.00,39.87,19.06	40:B000,57.80,100.00,59.08,30.78	45:A100,55.50,100.00,48.69,38.94	
0:A100,59.40,100.00,23.05,70.63	5:A100,57.20,100.00, 4.83,18.73	10:A100,56.30,100.00,12.99,41.09	15:B220,58.50,100.00,170.73, 7.00	20:A100,55.10,100.00,60.00,17.50	25:A100,55.90,100.00,36.44,30.39	30:A100,58.50,100.00,17.48,71.59	35:A100,56.50,100.00,39.87,19.06	40:A100,58.30,100.00,59.08,30.78	45:A100,56.00,100.00,48.69,38.94	
0:A100,59.90,100.00,23.05,70.63	5:A100,57.70,100.00, 4.83,18.73	10:A100,56.80,100.00,12.99,41.09	15:B000,58.50,100.00,85.37, 7.00	20:A100,55.60,100.00,60.00,17.50	25:A100,56.40,100.00,36.44,30.39	30:A100,59.00,100.00,17.48,71.59	35:A100,57.00,100.00,39.87,19.06	40:A100,58.80,100.00,59.08,30.78	45:A100,56.50,100.00,48.69,38.94	
0:A100,60.40,100.00,23.05,70.63	5:A100,58.20,100.00, 4.83,18.73	10:B000,56.80,100.00, 6.49,41.09	15:B000,58.50,100.00,42.68, 7.00	20:A100,56.10,100.00,60.00,17.50	25:A100,56.90,100.00,36.44,30.39	30:A100,59.50,100.00,17.48,71.59	35:A100,57.50,100.00,39.87,19.06	40:A100,59.30,100.00,59.08,30.78	45:A100,57.00,100.00,48.69,38.94	
0:A100,60.90,100.00,23.05,70.63	5:A100,58.70,100.00, 4.83,18.73	10:A100,57.30,100.00, 6.49,41.09	15:A100,59.00,100.00,42.68, 7.00	20:A100,56.60,100.00,60.00,17.50	25:A100,57.40,100.00,36.44,30.39	30:A100,60.00,100.00,17.48,71.59	35:A100,58.00,100.00,39.87,19.06	40:A100,59.80,100.00,59.08,30.78	45:A100,57.50,100.00,48.69,38.94	
