each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100,06.00,[100.00,28.98,28.98]	5:B220,07.90,[100.00,218.17,09.17]	10:A100,06.00,[100.00,24.01,24.01]	15:A100,07.60,[100.00,11.76,21.16]	20:A100,06.60,[100.00,15.18,07.18]	25:A100,06.10,[100.00,38.82,03.91]	30:A100,06.50,[100.00,27.32,24.17]	35:A100,07.40,[100.00,25.60,22.32]	40:A100,06.40,[100.00,04.05,07.15]	45:A100,07.00,[100.00,24.42,20.23]	
0:A100,06.50,[100.00,28.98,28.98]	5:B000,07.90,[100.00,20.00,09.17]	10:A100,06.50,[100.00,24.01,24.01]	15:A100,08.10,[100.00,11.76,21.16]	20:A100,07.10,[100.00,15.18,07.18]	25:A100,06.60,[100.00,38.82,03.91]	30:A100,07.00,[100.00,27.32,24.17]	35:A100,07.90,[100.00,25.60,22.32]	40:A100,06.90,[100.00,04.05,07.15]	45:A100,07.50,[100.00,24.42,20.23]	
0:A100,07.00,[100.00,28.98,28.98]	5:A100,08.40,[100.00,20.00,09.17]	10:A100,07.00,[100.00,24.01,24.01]	15:A100,08.60,[100.00,11.76,21.16]	20:A100,07.60,[100.00,15.18,07.18]	25:A100,07.10,[100.00,38.82,03.91]	30:A100,07.50,[100.00,27.32,24.17]	35:A100,08.40,[100.00,25.60,22.32]	40:A100,07.40,[100.00,04.05,07.15]	45:A100,08.00,[100.00,24.42,20.23]	
0:A100,07.50,[100.00,28.98,28.98]	5:A100,08.90,[100.00,20.00,09.17]	10:A100,07.50,[100.00,24.01,24.01]	15:A100,09.10,[100.00,11.76,21.16]	20:A100,08.10,[100.00,15.18,07.18]	25:A100,07.60,[100.00,38.82,03.91]	30:A100,08.00,[100.00,27.32,24.17]	35:B000,08.40,[100.00,03.20,22.32]	40:A100,07.90,[100.00,04.05,07.15]	45:A100,08.50,[100.00,24.42,20.23]	
0:A100,08.00,[100.00,28.98,28.98]	5:A100,09.40,[100.00,20.00,09.17]	10:A100,08.00,[100.00,24.01,24.01]	15:A100,09.60,[100.00,11.76,21.16]	20:A100,08.60,[100.00,15.18,07.18]	25:A100,08.10,[100.00,38.82,03.91]	30:A100,08.50,[100.00,27.32,24.17]	35:A100,08.90,[100.00,03.20,22.32]	40:A100,08.40,[100.00,04.05,07.15]	45:A100,09.00,[100.00,24.42,20.23]	
0:A100,08.50,[100.00,28.98,28.98]	5:A100,09.90,[100.00,20.00,09.17]	10:A100,08.50,[100.00,24.01,24.01]	15:A100,10.10,[100.00,11.76,21.16]	20:A100,09.10,[100.00,15.18,07.18]	25:A100,08.60,[100.00,38.82,03.91]	30:A100,09.00,[100.00,27.32,24.17]	35:A100,09.40,[100.00,03.20,22.32]	40:A100,08.90,[100.00,04.05,07.15]	45:A100,09.50,[100.00,24.42,20.23]	
0:A100,09.00,[100.00,28.98,28.98]	5:A100,10.40,[100.00,20.00,09.17]	10:A100,09.00,[100.00,24.01,24.01]	15:A100,10.60,[100.00,11.76,21.16]	20:A100,09.60,[100.00,15.18,07.18]	25:A100,09.10,[100.00,38.82,03.91]	30:A100,09.50,[100.00,27.32,24.17]	35:A100,09.90,[100.00,03.20,22.32]	40:A100,09.40,[100.00,04.05,07.15]	45:A100,10.00,[100.00,24.42,20.23]	
0:A100,09.50,[100.00,28.98,28.98]	5:A100,10.90,[100.00,20.00,09.17]	10:A100,09.50,[100.00,24.01,24.01]	15:C180,11.50,[100.00,11.76,161.33]	20:A100,10.10,[100.00,15.18,07.18]	25:A100,09.60,[100.00,38.82,03.91]	30:C180,10.40,[100.00,27.32,157.65]	35:A100,10.40,[100.00,03.20,22.32]	40:C000,09.40,[100.00,04.05,00.29]	45:A100,10.50,[100.00,24.42,20.23]	
0:B220,10.60,[100.00,164.64,28.98]	5:A100,11.40,[100.00,20.00,09.17]	10:A100,10.00,[100.00,24.01,24.01]	15:C180,12.40,[100.00,11.76,177.80]	20:A100,10.60,[100.00,15.18,07.18]	25:A100,10.10,[100.00,38.82,03.91]	30:C180,11.30,[100.00,27.32,176.79]	35:A100,10.90,[100.00,03.20,22.32]	40:A100,09.90,[100.00,04.05,00.29]	45:A100,11.00,[100.00,24.42,20.23]	
0:B220,11.70,[100.00,203.96,28.98]	5:A100,11.90,[100.00,20.00,09.17]	10:A100,10.50,[100.00,24.01,24.01]	15:C180,13.30,[100.00,11.76,179.74]	20:A100,11.10,[100.00,15.18,07.18]	25:A100,10.60,[100.00,38.82,03.91]	30:C000,11.30,[100.00,27.32,25.36]	35:A100,11.40,[100.00,03.20,22.32]	40:A100,10.40,[100.00,04.05,00.29]	45:A100,11.50,[100.00,24.42,20.23]	
