each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:A100,08.60,[100.00,58.02,57.40]	5:A100,07.80,[100.00,66.40,109.56]	10:B000,05.60,[100.00,80.67,72.24]	15:A100,06.20,[100.00,29.83,43.75]	20:B220,08.80,[100.00,207.27,43.76]	25:A100,07.40,[100.00,17.92,15.33]	30:A100,05.00,[100.00,00.08,00.08]	35:A100,08.70,[100.00,63.48,110.68]	40:A100,08.10,[100.00,33.93,27.21]	45:A100,07.60,[100.00,03.16,05.70]	
0:A100,09.10,[100.00,58.02,57.40]	5:A100,08.30,[100.00,66.40,109.56]	10:A100,06.10,[100.00,80.67,72.24]	15:A100,06.70,[100.00,29.83,43.75]	20:B000,08.80,[100.00,118.29,43.76]	25:A100,07.90,[100.00,17.92,15.33]	30:A100,05.50,[100.00,00.08,00.08]	35:C000,08.70,[100.00,63.48,70.26]	40:A100,08.60,[100.00,33.93,27.21]	45:A100,08.10,[100.00,03.16,05.70]	
0:C180,10.00,[100.00,58.02,140.84]	5:A100,08.80,[100.00,66.40,109.56]	10:A100,06.60,[100.00,80.67,72.24]	15:A100,07.20,[100.00,29.83,43.75]	20:B220,09.90,[100.00,161.95,43.76]	25:A100,08.40,[100.00,17.92,15.33]	30:A100,06.00,[100.00,00.08,00.08]	35:A100,09.20,[100.00,63.48,70.26]	40:A100,09.10,[100.00,33.93,27.21]	45:A100,08.60,[100.00,03.16,05.70]	
0:A100,10.50,[100.00,58.02,140.84]	5:C000,08.80,[100.00,66.40,72.74]	10:B000,06.60,[100.00,56.61,72.24]	15:A100,07.70,[100.00,29.83,43.75]	20:B000,09.90,[100.00,92.43,43.76]	25:A100,08.90,[100.00,17.92,15.33]	30:A100,06.50,[100.00,00.08,00.08]	35:B220,10.30,[100.00,120.64,70.26]	40:A100,09.60,[100.00,33.93,27.21]	45:A100,09.10,[100.00,03.16,05.70]	
0:A100,11.00,[100.00,58.02,140.84]	5:B000,08.80,[100.00,44.09,72.74]	10:A100,07.10,[100.00,56.61,72.24]	15:A100,08.20,[100.00,29.83,43.75]	20:A100,10.40,[100.00,92.43,43.76]	25:A100,09.40,[100.00,17.92,15.33]	30:A100,07.00,[100.00,00.08,00.08]	35:A100,10.80,[100.00,120.64,70.26]	40:A100,10.10,[100.00,33.93,27.21]	45:A100,09.60,[100.00,03.16,05.70]	
0:C180,11.90,[100.00,58.02,167.49]	5:A100,09.30,[100.00,44.09,72.74]	10:A100,07.60,[100.00,56.61,72.24]	15:A100,08.70,[100.00,29.83,43.75]	20:C180,11.30,[100.00,92.43,102.25]	25:A100,09.90,[100.00,17.92,15.33]	30:A100,07.50,[100.00,00.08,00.08]	35:B220,11.90,[100.00,156.93,70.26]	40:A100,10.60,[100.00,33.93,27.21]	45:A100,10.10,[100.00,03.16,05.70]	
0:C180,12.80,[100.00,58.02,176.01]	5:A100,09.80,[100.00,44.09,72.74]	10:A100,08.10,[100.00,56.61,72.24]	15:A100,09.20,[100.00,29.83,43.75]	20:C180,12.20,[100.00,92.43,135.63]	25:A100,10.40,[100.00,17.92,15.33]	30:A100,08.00,[100.00,00.08,00.08]	35:B000,11.90,[100.00,99.62,70.26]	40:A100,11.10,[100.00,33.93,27.21]	45:A100,10.60,[100.00,03.16,05.70]	
0:C000,12.80,[100.00,58.02,56.21]	5:C000,09.80,[100.00,44.09,48.30]	10:A100,08.60,[100.00,56.61,72.24]	15:A100,09.70,[100.00,29.83,43.75]	20:A100,12.70,[100.00,92.43,135.63]	25:A100,10.90,[100.00,17.92,15.33]	30:A100,08.50,[100.00,00.08,00.08]	35:B220,13.00,[100.00,143.58,70.26]	40:A100,11.60,[100.00,33.93,27.21]	45:A100,11.10,[100.00,03.16,05.70]	
0:A100,13.30,[100.00,58.02,56.21]	5:A100,10.30,[100.00,44.09,48.30]	10:C180,09.50,[100.00,56.61,104.37]	15:A100,10.20,[100.00,29.83,43.75]	20:C000,12.70,[100.00,92.43,77.40]	25:A100,11.40,[100.00,17.92,15.33]	30:A100,09.00,[100.00,00.08,00.08]	35:B000,13.00,[100.00,91.15,70.26]	40:A100,12.10,[100.00,33.93,27.21]	45:B220,12.20,[100.00,213.14,05.70]	
0:A100,13.80,[100.00,58.02,56.21]	5:A100,10.80,[100.00,44.09,48.30]	10:C000,09.50,[100.00,56.61,73.25]	15:C000,10.20,[100.00,29.83,19.14]	20:A100,13.20,[100.00,92.43,77.40]	25:A100,11.90,[100.00,17.92,15.33]	30:A100,09.50,[100.00,00.08,00.08]	35:A100,13.50,[100.00,91.15,70.26]	40:A100,12.60,[100.00,33.93,27.21]	45:B000,12.20,[100.00,06.74,05.70]	
0:A100,14.30,[100.00,58.02,56.21]	5:A100,11.30,[100.00,44.09,48.30]	10:A100,10.00,[100.00,56.61,73.25]	15:A100,10.70,[100.00,29.83,19.14]	20:A100,13.70,[100.00,92.43,77.40]	25:A100,12.40,[100.00,17.92,15.33]	30:A100,10.00,[100.00,00.08,00.08]	35:C180,14.40,[100.00,91.15,110.34]	40:A100,13.10,[100.00,33.93,27.21]	45:A100,12.70,[100.00,06.74,05.70]	
0:A100,14.80,[100.00,58.02,56.21]	5:A100,11.80,[100.00,44.09,48.30]	10:A100,10.50,[100.00,56.61,73.25]	15:A100,11.20,[100.00,29.83,19.14]	20:A100,14.20,[100.00,92.43,77.40]	25:A100,12.90,[100.00,17.92,15.33]	30:A100,10.50,[100.00,00.08,00.08]	35:C180,15.30,[100.00,91.15,135.78]	40:A100,13.60,[100.00,33.93,27.21]	45:A100,13.20,[100.00,06.74,05.70]	
0:C180,15.70,[100.00,58.02,140.46]	5:B220,12.90,[100.00,103.20,48.30]	10:A100,11.00,[100.00,56.61,73.25]	15:A100,11.70,[100.00,29.83,19.14]	20:B220,15.30,[100.00,147.19,77.40]	25:A100,13.40,[100.00,17.92,15.33]	30:A100,11.00,[100.00,00.08,00.08]	35:C000,15.30,[100.00,91.15,86.19]	40:A100,14.10,[100.00,33.93,27.21]	45:A100,13.70,[100.00,06.74,05.70]	
0:C000,15.70,[100.00,58.02,44.86]	5:B000,12.90,[100.00,68.52,48.30]	10:A100,11.50,[100.00,56.61,73.25]	15:A100,12.20,[100.00,29.83,19.14]	20:B220,16.40,[100.00,178.45,77.40]	25:A100,13.90,[100.00,17.92,15.33]	30:A100,11.50,[100.00,00.08,00.08]	35:A100,15.80,[100.00,91.15,86.19]	40:A100,14.60,[100.00,33.93,27.21]	45:A100,14.20,[100.00,06.74,05.70]	
0:A100,16.20,[100.00,58.02,44.86]	5:A100,13.40,[100.00,68.52,48.30]	10:C180,12.40,[100.00,56.61,105.08]	15:A100,12.70,[100.00,29.83,19.14]	20:B000,16.40,[100.00,101.84,77.40]	25:A100,14.40,[100.00,17.92,15.33]	30:A100,12.00,[100.00,00.08,00.08]	35:B000,15.80,[100.00,57.86,86.19]	40:A100,15.10,[100.00,33.93,27.21]	45:A100,14.70,[100.00,06.74,05.70]	
0:C180,17.10,[100.00,58.02,136.84]	5:A100,13.90,[100.00,68.52,48.30]	10:A100,12.90,[100.00,56.61,105.08]	15:A100,13.20,[100.00,29.83,19.14]	20:C180,17.30,[100.00,101.84,121.45]	25:A100,14.90,[100.00,17.92,15.33]	30:A100,12.50,[100.00,00.08,00.08]	35:A100,16.30,[100.00,57.86,86.19]	40:A100,15.60,[100.00,33.93,27.21]	45:A100,15.20,[100.00,06.74,05.70]	
0:C000,17.10,[100.00,58.02,43.70]	5:A100,14.40,[100.00,68.52,48.30]	10:A100,13.40,[100.00,56.61,105.08]	15:A100,13.70,[100.00,29.83,19.14]	20:C180,18.20,[100.00,101.84,146.58]	25:A100,15.40,[100.00,17.92,15.33]	30:A100,13.00,[100.00,00.08,00.08]	35:A100,16.80,[100.00,57.86,86.19]	40:A100,16.10,[100.00,33.93,27.21]	45:A100,15.70,[100.00,06.74,05.70]	
0:A100,17.60,[100.00,58.02,43.70]	5:B000,14.40,[100.00,45.50,48.30]	10:C180,14.30,[100.00,56.61,127.42]	15:A100,14.20,[100.00,29.83,19.14]	20:C180,19.10,[100.00,101.84,160.93]	25:A100,15.90,[100.00,17.92,15.33]	30:A100,13.50,[100.00,00.08,00.08]	35:C180,17.70,[100.00,57.86,120.45]	40:A100,16.60,[100.00,33.93,27.21]	45:A100,16.20,[100.00,06.74,05.70]	
0:A100,18.10,[100.00,58.02,43.70]	5:A100,14.90,[100.00,45.50,48.30]	10:C180,15.20,[100.00,56.61,143.10]	15:A100,14.70,[100.00,29.83,19.14]	20:C000,19.10,[100.00,101.84,91.84]	25:A100,16.40,[100.00,17.92,15.33]	30:A100,14.00,[100.00,00.08,00.08]	35:A100,18.20,[100.00,57.86,120.45]	40:A100,17.10,[100.00,33.93,27.21]	45:A100,16.70,[100.00,06.74,05.70]	
