each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 150

0(0.8493334933504274):A100,000.00,[100.00,002.27,015.07]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):C180,000.00,[100.00,002.27,155.15]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):C000,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,035.55,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):B000,000.00,[100.00,005.90,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,005.90,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,005.90,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
0(0.8493334933504274):A100,000.00,[100.00,002.27,023.38]	5(0.983764922782997):A100,000.00,[100.00,001.62,000.03]	10(0.8388034796705606):A100,000.00,[100.00,005.21,016.12]	15(0.9664544881356996):A100,000.00,[100.00,003.35,000.11]	20(0.8483400584192395):A100,000.00,[100.00,032.95,004.10]	25(0.8341739652855668):A100,000.00,[100.00,005.90,016.58]	30(0.9189414450697958):A100,000.00,[100.00,017.83,008.11]	35(0.8361202145146155):A100,000.00,[100.00,016.39,002.69]	40(0.9439003266372861):A100,000.00,[100.00,005.61,005.61]	45(0.9380973655811716):A100,000.00,[100.00,013.62,011.12]	
