each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):C000,000.00,[100.00,026.85,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,038.98,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):B220,000.00,[100.00,181.17,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):B220,000.00,[100.00,211.67,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,026.85,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,022.95]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):B000,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):B220,000.00,[100.00,196.42,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):C000,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):B000,000.00,[100.00,023.98,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):B000,000.00,[100.00,002.93,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):A100,000.00,[100.00,016.44,004.86]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,002.93,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,002.92,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):C180,000.00,[100.00,016.44,151.20]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,002.93,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):B000,000.00,[100.00,000.09,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):C180,000.00,[100.00,016.44,175.27]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,002.93,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
0(0.9707531378156651):A100,000.00,[100.00,000.09,005.20]	5(0.7705088670486384):A100,000.00,[100.00,022.95,005.27]	10(0.8355806542225742):C180,000.00,[100.00,016.44,179.22]	15(0.9822956760931559):A100,000.00,[100.00,003.89,003.19]	20(0.7855106713254913):A100,000.00,[100.00,045.40,021.45]	25(0.9425405465777279):A100,000.00,[100.00,000.70,009.78]	30(0.8779386337424437):A100,000.00,[100.00,002.93,001.49]	35(0.9699558941023613):A100,000.00,[100.00,003.00,003.00]	40(0.9574887449544895):A100,000.00,[100.00,004.25,007.65]	45(0.9073281649410789):A100,000.00,[100.00,009.27,016.55]	
