each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,13.00,100.00,49.16,100.00	5:A100, 6.90,100.00,16.60,27.67	10:A100, 6.40,100.00, 3.10,29.20	15:A100, 8.50,100.00,36.96,30.33	20:C000, 8.10,100.00,35.59,25.63	25:A100, 9.00,100.00, 2.38,10.39	30:A100, 7.70,100.00,12.35,22.21	35:A100, 6.00,100.00,13.52, 1.83	40:A100, 9.60,100.00,55.17,32.07	45:A100, 6.00,100.00,28.22, 7.96	
0:C000,13.00,100.00,49.16,22.35	5:A100, 7.40,100.00,16.60,27.67	10:A100, 6.90,100.00, 3.10,29.20	15:A100, 9.00,100.00,36.96,30.33	20:A100, 8.60,100.00,35.59,25.63	25:A100, 9.50,100.00, 2.38,10.39	30:A100, 8.20,100.00,12.35,22.21	35:A100, 6.50,100.00,13.52, 1.83	40:A100,10.10,100.00,55.17,32.07	45:A100, 6.50,100.00,28.22, 7.96	
0:B220,14.10,100.00,181.83,22.35	5:A100, 7.90,100.00,16.60,27.67	10:A100, 7.40,100.00, 3.10,29.20	15:A100, 9.50,100.00,36.96,30.33	20:A100, 9.10,100.00,35.59,25.63	25:A100,10.00,100.00, 2.38,10.39	30:A100, 8.70,100.00,12.35,22.21	35:A100, 7.00,100.00,13.52, 1.83	40:A100,10.60,100.00,55.17,32.07	45:A100, 7.00,100.00,28.22, 7.96	
0:B000,14.10,100.00,40.63,22.35	5:A100, 8.40,100.00,16.60,27.67	10:A100, 7.90,100.00, 3.10,29.20	15:A100,10.00,100.00,36.96,30.33	20:C000, 9.10,100.00,35.59, 4.24	25:A100,10.50,100.00, 2.38,10.39	30:A100, 9.20,100.00,12.35,22.21	35:A100, 7.50,100.00,13.52, 1.83	40:A100,11.10,100.00,55.17,32.07	45:A100, 7.50,100.00,28.22, 7.96	
0:B220,15.20,100.00,179.92,22.35	5:A100, 8.90,100.00,16.60,27.67	10:A100, 8.40,100.00, 3.10,29.20	15:A100,10.50,100.00,36.96,30.33	20:A100, 9.60,100.00,35.59, 4.24	25:A100,11.00,100.00, 2.38,10.39	30:A100, 9.70,100.00,12.35,22.21	35:B000, 7.50,100.00, 1.83, 1.83	40:A100,11.60,100.00,55.17,32.07	45:A100, 8.00,100.00,28.22, 7.96	
0:B220,16.30,100.00,211.04,22.35	5:A100, 9.40,100.00,16.60,27.67	10:A100, 8.90,100.00, 3.10,29.20	15:A100,11.00,100.00,36.96,30.33	20:A100,10.10,100.00,35.59, 4.24	25:A100,11.50,100.00, 2.38,10.39	30:A100,10.20,100.00,12.35,22.21	35:A100, 8.00,100.00, 1.83, 1.83	40:A100,12.10,100.00,55.17,32.07	45:A100, 8.50,100.00,28.22, 7.96	
0:B000,16.30,100.00,47.16,22.35	5:A100, 9.90,100.00,16.60,27.67	10:A100, 9.40,100.00, 3.10,29.20	15:A100,11.50,100.00,36.96,30.33	20:A100,10.60,100.00,35.59, 4.24	25:A100,12.00,100.00, 2.38,10.39	30:A100,10.70,100.00,12.35,22.21	35:A100, 8.50,100.00, 1.83, 1.83	40:A100,12.60,100.00,55.17,32.07	45:A100, 9.00,100.00,28.22, 7.96	
0:A100,16.80,100.00,47.16,22.35	5:A100,10.40,100.00,16.60,27.67	10:A100, 9.90,100.00, 3.10,29.20	15:A100,12.00,100.00,36.96,30.33	20:A100,11.10,100.00,35.59, 4.24	25:A100,12.50,100.00, 2.38,10.39	30:A100,11.20,100.00,12.35,22.21	35:A100, 9.00,100.00, 1.83, 1.83	40:A100,13.10,100.00,55.17,32.07	45:A100, 9.50,100.00,28.22, 7.96	
0:A100,17.30,100.00,47.16,22.35	5:A100,10.90,100.00,16.60,27.67	10:A100,10.40,100.00, 3.10,29.20	15:A100,12.50,100.00,36.96,30.33	20:A100,11.60,100.00,35.59, 4.24	25:A100,13.00,100.00, 2.38,10.39	30:A100,11.70,100.00,12.35,22.21	35:A100, 9.50,100.00, 1.83, 1.83	40:A100,13.60,100.00,55.17,32.07	45:A100,10.00,100.00,28.22, 7.96	
0:A100,17.80,100.00,47.16,22.35	5:A100,11.40,100.00,16.60,27.67	10:A100,10.90,100.00, 3.10,29.20	15:A100,13.00,100.00,36.96,30.33	20:A100,12.10,100.00,35.59, 4.24	25:A100,13.50,100.00, 2.38,10.39	30:A100,12.20,100.00,12.35,22.21	35:A100,10.00,100.00, 1.83, 1.83	40:A100,14.10,100.00,55.17,32.07	45:A100,10.50,100.00,28.22, 7.96	
0:A100,18.30,100.00,47.16,22.35	5:A100,11.90,100.00,16.60,27.67	10:B220,12.00,100.00,181.83,29.20	15:A100,13.50,100.00,36.96,30.33	20:A100,12.60,100.00,35.59, 4.24	25:A100,14.00,100.00, 2.38,10.39	30:A100,12.70,100.00,12.35,22.21	35:A100,10.50,100.00, 1.83, 1.83	40:B000,14.10,100.00,17.70,32.07	45:A100,11.00,100.00,28.22, 7.96	
0:A100,18.80,100.00,47.16,22.35	5:A100,12.40,100.00,16.60,27.67	10:B000,12.00,100.00,32.00,29.20	15:A100,14.00,100.00,36.96,30.33	20:A100,13.10,100.00,35.59, 4.24	25:A100,14.50,100.00, 2.38,10.39	30:A100,13.20,100.00,12.35,22.21	35:A100,11.00,100.00, 1.83, 1.83	40:A100,14.60,100.00,17.70,32.07	45:A100,11.50,100.00,28.22, 7.96	
0:A100,19.30,100.00,47.16,22.35	5:A100,12.90,100.00,16.60,27.67	10:A100,12.50,100.00,32.00,29.20	15:A100,14.50,100.00,36.96,30.33	20:A100,13.60,100.00,35.59, 4.24	25:A100,15.00,100.00, 2.38,10.39	30:A100,13.70,100.00,12.35,22.21	35:A100,11.50,100.00, 1.83, 1.83	40:A100,15.10,100.00,17.70,32.07	45:A100,12.00,100.00,28.22, 7.96	
0:A100,19.80,100.00,47.16,22.35	5:A100,13.40,100.00,16.60,27.67	10:A100,13.00,100.00,32.00,29.20	15:A100,15.00,100.00,36.96,30.33	20:A100,14.10,100.00,35.59, 4.24	25:A100,15.50,100.00, 2.38,10.39	30:A100,14.20,100.00,12.35,22.21	35:A100,12.00,100.00, 1.83, 1.83	40:A100,15.60,100.00,17.70,32.07	45:A100,12.50,100.00,28.22, 7.96	
0:A100,20.30,100.00,47.16,22.35	5:A100,13.90,100.00,16.60,27.67	10:A100,13.50,100.00,32.00,29.20	15:A100,15.50,100.00,36.96,30.33	20:A100,14.60,100.00,35.59, 4.24	25:A100,16.00,100.00, 2.38,10.39	30:A100,14.70,100.00,12.35,22.21	35:A100,12.50,100.00, 1.83, 1.83	40:A100,16.10,100.00,17.70,32.07	45:A100,13.00,100.00,28.22, 7.96	
0:A100,20.80,100.00,47.16,22.35	5:A100,14.40,100.00,16.60,27.67	10:A100,14.00,100.00,32.00,29.20	15:A100,16.00,100.00,36.96,30.33	20:A100,15.10,100.00,35.59, 4.24	25:A100,16.50,100.00, 2.38,10.39	30:A100,15.20,100.00,12.35,22.21	35:A100,13.00,100.00, 1.83, 1.83	40:A100,16.60,100.00,17.70,32.07	45:C000,13.00,100.00,28.22, 2.25	
0:B220,21.90,100.00,181.38,22.35	5:A100,14.90,100.00,16.60,27.67	10:B220,15.10,100.00,186.92,29.20	15:A100,16.50,100.00,36.96,30.33	20:A100,15.60,100.00,35.59, 4.24	25:A100,17.00,100.00, 2.38,10.39	30:A100,15.70,100.00,12.35,22.21	35:A100,13.50,100.00, 1.83, 1.83	40:A100,17.10,100.00,17.70,32.07	45:A100,13.50,100.00,28.22, 2.25	
0:B220,23.00,100.00,211.37,22.35	5:A100,15.40,100.00,16.60,27.67	10:B000,15.10,100.00,32.89,29.20	15:A100,17.00,100.00,36.96,30.33	20:A100,16.10,100.00,35.59, 4.24	25:A100,17.50,100.00, 2.38,10.39	30:A100,16.20,100.00,12.35,22.21	35:A100,14.00,100.00, 1.83, 1.83	40:A100,17.60,100.00,17.70,32.07	45:A100,14.00,100.00,28.22, 2.25	
0:B220,24.10,100.00,218.07,22.35	5:A100,15.90,100.00,16.60,27.67	10:A100,15.60,100.00,32.89,29.20	15:A100,17.50,100.00,36.96,30.33	20:A100,16.60,100.00,35.59, 4.24	25:A100,18.00,100.00, 2.38,10.39	30:A100,16.70,100.00,12.35,22.21	35:A100,14.50,100.00, 1.83, 1.83	40:A100,18.10,100.00,17.70,32.07	45:A100,14.50,100.00,28.22, 2.25	
0:B000,24.10,100.00,48.73,22.35	5:A100,16.40,100.00,16.60,27.67	10:B000,15.60,100.00, 5.79,29.20	15:A100,18.00,100.00,36.96,30.33	20:A100,17.10,100.00,35.59, 4.24	25:A100,18.50,100.00, 2.38,10.39	30:A100,17.20,100.00,12.35,22.21	35:A100,15.00,100.00, 1.83, 1.83	40:A100,18.60,100.00,17.70,32.07	45:A100,15.00,100.00,28.22, 2.25	
0:A100,24.60,100.00,48.73,22.35	5:A100,16.90,100.00,16.60,27.67	10:A100,16.10,100.00, 5.79,29.20	15:A100,18.50,100.00,36.96,30.33	20:A100,17.60,100.00,35.59, 4.24	25:A100,19.00,100.00, 2.38,10.39	30:A100,17.70,100.00,12.35,22.21	35:A100,15.50,100.00, 1.83, 1.83	40:A100,19.10,100.00,17.70,32.07	45:A100,15.50,100.00,28.22, 2.25	
0:A100,25.10,100.00,48.73,22.35	5:A100,17.40,100.00,16.60,27.67	10:A100,16.60,100.00, 5.79,29.20	15:A100,19.00,100.00,36.96,30.33	20:A100,18.10,100.00,35.59, 4.24	25:A100,19.50,100.00, 2.38,10.39	30:A100,18.20,100.00,12.35,22.21	35:A100,16.00,100.00, 1.83, 1.83	40:A100,19.60,100.00,17.70,32.07	45:A100,16.00,100.00,28.22, 2.25	
0:A100,25.60,100.00,48.73,22.35	5:A100,17.90,100.00,16.60,27.67	10:A100,17.10,100.00, 5.79,29.20	15:A100,19.50,100.00,36.96,30.33	20:A100,18.60,100.00,35.59, 4.24	25:A100,20.00,100.00, 2.38,10.39	30:A100,18.70,100.00,12.35,22.21	35:A100,16.50,100.00, 1.83, 1.83	40:A100,20.10,100.00,17.70,32.07	45:A100,16.50,100.00,28.22, 2.25	
