each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,35.60,100.00,10.89,22.35	5:A100,28.40,100.00,16.60,27.67	10:A100,27.90,100.00, 5.79,30.85	15:A100,29.60,100.00,32.23, 5.18	20:A100,28.60,100.00, 5.89, 4.24	25:A100,30.50,100.00, 2.38,10.39	30:A100,28.70,100.00, 1.53,22.21	35:A100,26.50,100.00, 0.25, 1.83	40:A100,30.60,100.00,17.70,32.07	45:A100,26.50,100.00, 7.96, 2.25	
0:A100,36.10,100.00,10.89,22.35	5:A100,28.90,100.00,16.60,27.67	10:A100,28.40,100.00, 5.79,30.85	15:A100,30.10,100.00,32.23, 5.18	20:A100,29.10,100.00, 5.89, 4.24	25:A100,31.00,100.00, 2.38,10.39	30:A100,29.20,100.00, 1.53,22.21	35:A100,27.00,100.00, 0.25, 1.83	40:A100,31.10,100.00,17.70,32.07	45:A100,27.00,100.00, 7.96, 2.25	
0:A100,36.60,100.00,10.89,22.35	5:A100,29.40,100.00,16.60,27.67	10:A100,28.90,100.00, 5.79,30.85	15:A100,30.60,100.00,32.23, 5.18	20:A100,29.60,100.00, 5.89, 4.24	25:A100,31.50,100.00, 2.38,10.39	30:A100,29.70,100.00, 1.53,22.21	35:A100,27.50,100.00, 0.25, 1.83	40:A100,31.60,100.00,17.70,32.07	45:A100,27.50,100.00, 7.96, 2.25	
0:A100,37.10,100.00,10.89,22.35	5:A100,29.90,100.00,16.60,27.67	10:A100,29.40,100.00, 5.79,30.85	15:A100,31.10,100.00,32.23, 5.18	20:A100,30.10,100.00, 5.89, 4.24	25:A100,32.00,100.00, 2.38,10.39	30:A100,30.20,100.00, 1.53,22.21	35:A100,28.00,100.00, 0.25, 1.83	40:A100,32.10,100.00,17.70,32.07	45:A100,28.00,100.00, 7.96, 2.25	
0:A100,37.60,100.00,10.89,22.35	5:A100,30.40,100.00,16.60,27.67	10:A100,29.90,100.00, 5.79,30.85	15:A100,31.60,100.00,32.23, 5.18	20:A100,30.60,100.00, 5.89, 4.24	25:A100,32.50,100.00, 2.38,10.39	30:A100,30.70,100.00, 1.53,22.21	35:A100,28.50,100.00, 0.25, 1.83	40:A100,32.60,100.00,17.70,32.07	45:A100,28.50,100.00, 7.96, 2.25	
0:A100,38.10,100.00,10.89,22.35	5:A100,30.90,100.00,16.60,27.67	10:A100,30.40,100.00, 5.79,30.85	15:B220,32.70,100.00,187.94, 5.18	20:A100,31.10,100.00, 5.89, 4.24	25:A100,33.00,100.00, 2.38,10.39	30:A100,31.20,100.00, 1.53,22.21	35:A100,29.00,100.00, 0.25, 1.83	40:A100,33.10,100.00,17.70,32.07	45:A100,29.00,100.00, 7.96, 2.25	
0:A100,38.60,100.00,10.89,22.35	5:A100,31.40,100.00,16.60,27.67	10:A100,30.90,100.00, 5.79,30.85	15:B000,32.70,100.00,32.09, 5.18	20:A100,31.60,100.00, 5.89, 4.24	25:A100,33.50,100.00, 2.38,10.39	30:A100,31.70,100.00, 1.53,22.21	35:A100,29.50,100.00, 0.25, 1.83	40:A100,33.60,100.00,17.70,32.07	45:A100,29.50,100.00, 7.96, 2.25	
0:A100,39.10,100.00,10.89,22.35	5:A100,31.90,100.00,16.60,27.67	10:A100,31.40,100.00, 5.79,30.85	15:A100,33.20,100.00,32.09, 5.18	20:A100,32.10,100.00, 5.89, 4.24	25:A100,34.00,100.00, 2.38,10.39	30:A100,32.20,100.00, 1.53,22.21	35:A100,30.00,100.00, 0.25, 1.83	40:A100,34.10,100.00,17.70,32.07	45:C000,29.50,100.00, 7.96, 0.63	
0:A100,39.60,100.00,10.89,22.35	5:A100,32.40,100.00,16.60,27.67	10:A100,31.90,100.00, 5.79,30.85	15:A100,33.70,100.00,32.09, 5.18	20:A100,32.60,100.00, 5.89, 4.24	25:A100,34.50,100.00, 2.38,10.39	30:A100,32.70,100.00, 1.53,22.21	35:A100,30.50,100.00, 0.25, 1.83	40:A100,34.60,100.00,17.70,32.07	45:A100,30.00,100.00, 7.96, 0.63	
0:A100,40.10,100.00,10.89,22.35	5:A100,32.90,100.00,16.60,27.67	10:A100,32.40,100.00, 5.79,30.85	15:A100,34.20,100.00,32.09, 5.18	20:A100,33.10,100.00, 5.89, 4.24	25:A100,35.00,100.00, 2.38,10.39	30:A100,33.20,100.00, 1.53,22.21	35:A100,31.00,100.00, 0.25, 1.83	40:A100,35.10,100.00,17.70,32.07	45:A100,30.50,100.00, 7.96, 0.63	
0:A100,40.60,100.00,10.89,22.35	5:A100,33.40,100.00,16.60,27.67	10:A100,32.90,100.00, 5.79,30.85	15:A100,34.70,100.00,32.09, 5.18	20:A100,33.60,100.00, 5.89, 4.24	25:A100,35.50,100.00, 2.38,10.39	30:A100,33.70,100.00, 1.53,22.21	35:A100,31.50,100.00, 0.25, 1.83	40:A100,35.60,100.00,17.70,32.07	45:A100,31.00,100.00, 7.96, 0.63	
0:A100,41.10,100.00,10.89,22.35	5:C000,33.40,100.00,16.60, 4.59	10:A100,33.40,100.00, 5.79,30.85	15:A100,35.20,100.00,32.09, 5.18	20:A100,34.10,100.00, 5.89, 4.24	25:A100,36.00,100.00, 2.38,10.39	30:A100,34.20,100.00, 1.53,22.21	35:A100,32.00,100.00, 0.25, 1.83	40:A100,36.10,100.00,17.70,32.07	45:A100,31.50,100.00, 7.96, 0.63	
0:A100,41.60,100.00,10.89,22.35	5:A100,33.90,100.00,16.60, 4.59	10:A100,33.90,100.00, 5.79,30.85	15:A100,35.70,100.00,32.09, 5.18	20:A100,34.60,100.00, 5.89, 4.24	25:A100,36.50,100.00, 2.38,10.39	30:A100,34.70,100.00, 1.53,22.21	35:A100,32.50,100.00, 0.25, 1.83	40:A100,36.60,100.00,17.70,32.07	45:A100,32.00,100.00, 7.96, 0.63	
0:A100,42.10,100.00,10.89,22.35	5:A100,34.40,100.00,16.60, 4.59	10:A100,34.40,100.00, 5.79,30.85	15:A100,36.20,100.00,32.09, 5.18	20:A100,35.10,100.00, 5.89, 4.24	25:A100,37.00,100.00, 2.38,10.39	30:A100,35.20,100.00, 1.53,22.21	35:A100,33.00,100.00, 0.25, 1.83	40:A100,37.10,100.00,17.70,32.07	45:A100,32.50,100.00, 7.96, 0.63	
0:A100,42.60,100.00,10.89,22.35	5:A100,34.90,100.00,16.60, 4.59	10:A100,34.90,100.00, 5.79,30.85	15:A100,36.70,100.00,32.09, 5.18	20:A100,35.60,100.00, 5.89, 4.24	25:A100,37.50,100.00, 2.38,10.39	30:A100,35.70,100.00, 1.53,22.21	35:A100,33.50,100.00, 0.25, 1.83	40:A100,37.60,100.00,17.70,32.07	45:A100,33.00,100.00, 7.96, 0.63	
0:A100,43.10,100.00,10.89,22.35	5:A100,35.40,100.00,16.60, 4.59	10:A100,35.40,100.00, 5.79,30.85	15:A100,37.20,100.00,32.09, 5.18	20:A100,36.10,100.00, 5.89, 4.24	25:A100,38.00,100.00, 2.38,10.39	30:A100,36.20,100.00, 1.53,22.21	35:A100,34.00,100.00, 0.25, 1.83	40:A100,38.10,100.00,17.70,32.07	45:A100,33.50,100.00, 7.96, 0.63	
0:A100,43.60,100.00,10.89,22.35	5:A100,35.90,100.00,16.60, 4.59	10:A100,35.90,100.00, 5.79,30.85	15:A100,37.70,100.00,32.09, 5.18	20:A100,36.60,100.00, 5.89, 4.24	25:A100,38.50,100.00, 2.38,10.39	30:A100,36.70,100.00, 1.53,22.21	35:A100,34.50,100.00, 0.25, 1.83	40:A100,38.60,100.00,17.70,32.07	45:A100,34.00,100.00, 7.96, 0.63	
0:A100,44.10,100.00,10.89,22.35	5:A100,36.40,100.00,16.60, 4.59	10:A100,36.40,100.00, 5.79,30.85	15:A100,38.20,100.00,32.09, 5.18	20:A100,37.10,100.00, 5.89, 4.24	25:A100,39.00,100.00, 2.38,10.39	30:A100,37.20,100.00, 1.53,22.21	35:A100,35.00,100.00, 0.25, 1.83	40:A100,39.10,100.00,17.70,32.07	45:A100,34.50,100.00, 7.96, 0.63	
0:A100,44.60,100.00,10.89,22.35	5:A100,36.90,100.00,16.60, 4.59	10:A100,36.90,100.00, 5.79,30.85	15:A100,38.70,100.00,32.09, 5.18	20:A100,37.60,100.00, 5.89, 4.24	25:A100,39.50,100.00, 2.38,10.39	30:A100,37.70,100.00, 1.53,22.21	35:C000,35.00,100.00, 0.25, 0.25	40:A100,39.60,100.00,17.70,32.07	45:A100,35.00,100.00, 7.96, 0.63	
0:A100,45.10,100.00,10.89,22.35	5:A100,37.40,100.00,16.60, 4.59	10:A100,37.40,100.00, 5.79,30.85	15:A100,39.20,100.00,32.09, 5.18	20:A100,38.10,100.00, 5.89, 4.24	25:A100,40.00,100.00, 2.38,10.39	30:A100,38.20,100.00, 1.53,22.21	35:A100,35.50,100.00, 0.25, 0.25	40:A100,40.10,100.00,17.70,32.07	45:A100,35.50,100.00, 7.96, 0.63	
0:A100,45.60,100.00,10.89,22.35	5:A100,37.90,100.00,16.60, 4.59	10:A100,37.90,100.00, 5.79,30.85	15:A100,39.70,100.00,32.09, 5.18	20:A100,38.60,100.00, 5.89, 4.24	25:A100,40.50,100.00, 2.38,10.39	30:A100,38.70,100.00, 1.53,22.21	35:A100,36.00,100.00, 0.25, 0.25	40:A100,40.60,100.00,17.70,32.07	45:A100,36.00,100.00, 7.96, 0.63	
0:A100,46.10,100.00,10.89,22.35	5:A100,38.40,100.00,16.60, 4.59	10:A100,38.40,100.00, 5.79,30.85	15:A100,40.20,100.00,32.09, 5.18	20:A100,39.10,100.00, 5.89, 4.24	25:A100,41.00,100.00, 2.38,10.39	30:A100,39.20,100.00, 1.53,22.21	35:A100,36.50,100.00, 0.25, 0.25	40:A100,41.10,100.00,17.70,32.07	45:A100,36.50,100.00, 7.96, 0.63	
0:A100,46.60,100.00,10.89,22.35	5:A100,38.90,100.00,16.60, 4.59	10:A100,38.90,100.00, 5.79,30.85	15:A100,40.70,100.00,32.09, 5.18	20:A100,39.60,100.00, 5.89, 4.24	25:A100,41.50,100.00, 2.38,10.39	30:A100,39.70,100.00, 1.53,22.21	35:A100,37.00,100.00, 0.25, 0.25	40:A100,41.60,100.00,17.70,32.07	45:A100,37.00,100.00, 7.96, 0.63	
0:A100,47.10,100.00,10.89,22.35	5:A100,39.40,100.00,16.60, 4.59	10:A100,39.40,100.00, 5.79,30.85	15:A100,41.20,100.00,32.09, 5.18	20:A100,40.10,100.00, 5.89, 4.24	25:A100,42.00,100.00, 2.38,10.39	30:A100,40.20,100.00, 1.53,22.21	35:A100,37.50,100.00, 0.25, 0.25	40:A100,42.10,100.00,17.70,32.07	45:A100,37.50,100.00, 7.96, 0.63	
0:A100,47.60,100.00,10.89,22.35	5:A100,39.90,100.00,16.60, 4.59	10:A100,39.90,100.00, 5.79,30.85	15:A100,41.70,100.00,32.09, 5.18	20:A100,40.60,100.00, 5.89, 4.24	25:A100,42.50,100.00, 2.38,10.39	30:A100,40.70,100.00, 1.53,22.21	35:C000,37.50,100.00, 0.25, 0.03	40:A100,42.60,100.00,17.70,32.07	45:A100,38.00,100.00, 7.96, 0.63	
0:A100,48.10,100.00,10.89,22.35	5:A100,40.40,100.00,16.60, 4.59	10:A100,40.40,100.00, 5.79,30.85	15:A100,42.20,100.00,32.09, 5.18	20:A100,41.10,100.00, 5.89, 4.24	25:A100,43.00,100.00, 2.38,10.39	30:A100,41.20,100.00, 1.53,22.21	35:A100,38.00,100.00, 0.25, 0.03	40:A100,43.10,100.00,17.70,32.07	45:A100,38.50,100.00, 7.96, 0.63	
0:A100,48.60,100.00,10.89,22.35	5:A100,40.90,100.00,16.60, 4.59	10:A100,40.90,100.00, 5.79,30.85	15:A100,42.70,100.00,32.09, 5.18	20:A100,41.60,100.00, 5.89, 4.24	25:A100,43.50,100.00, 2.38,10.39	30:A100,41.70,100.00, 1.53,22.21	35:A100,38.50,100.00, 0.25, 0.03	40:A100,43.60,100.00,17.70,32.07	45:A100,39.00,100.00, 7.96, 0.63	
0:A100,49.10,100.00,10.89,22.35	5:A100,41.40,100.00,16.60, 4.59	10:A100,41.40,100.00, 5.79,30.85	15:A100,43.20,100.00,32.09, 5.18	20:A100,42.10,100.00, 5.89, 4.24	25:A100,44.00,100.00, 2.38,10.39	30:A100,42.20,100.00, 1.53,22.21	35:A100,39.00,100.00, 0.25, 0.03	40:A100,44.10,100.00,17.70,32.07	45:A100,39.50,100.00, 7.96, 0.63	
0:A100,49.60,100.00,10.89,22.35	5:A100,41.90,100.00,16.60, 4.59	10:A100,41.90,100.00, 5.79,30.85	15:A100,43.70,100.00,32.09, 5.18	20:A100,42.60,100.00, 5.89, 4.24	25:A100,44.50,100.00, 2.38,10.39	30:A100,42.70,100.00, 1.53,22.21	35:A100,39.50,100.00, 0.25, 0.03	40:A100,44.60,100.00,17.70,32.07	45:A100,40.00,100.00, 7.96, 0.63	
0:A100,50.10,100.00,10.89,22.35	5:A100,42.40,100.00,16.60, 4.59	10:A100,42.40,100.00, 5.79,30.85	15:A100,44.20,100.00,32.09, 5.18	20:A100,43.10,100.00, 5.89, 4.24	25:A100,45.00,100.00, 2.38,10.39	30:A100,43.20,100.00, 1.53,22.21	35:A100,40.00,100.00, 0.25, 0.03	40:A100,45.10,100.00,17.70,32.07	45:A100,40.50,100.00, 7.96, 0.63	
0:A100,50.60,100.00,10.89,22.35	5:A100,42.90,100.00,16.60, 4.59	10:A100,42.90,100.00, 5.79,30.85	15:A100,44.70,100.00,32.09, 5.18	20:A100,43.60,100.00, 5.89, 4.24	25:A100,45.50,100.00, 2.38,10.39	30:A100,43.70,100.00, 1.53,22.21	35:A100,40.50,100.00, 0.25, 0.03	40:A100,45.60,100.00,17.70,32.07	45:A100,41.00,100.00, 7.96, 0.63	
0:A100,51.10,100.00,10.89,22.35	5:A100,43.40,100.00,16.60, 4.59	10:A100,43.40,100.00, 5.79,30.85	15:A100,45.20,100.00,32.09, 5.18	20:A100,44.10,100.00, 5.89, 4.24	25:A100,46.00,100.00, 2.38,10.39	30:A100,44.20,100.00, 1.53,22.21	35:A100,41.00,100.00, 0.25, 0.03	40:A100,46.10,100.00,17.70,32.07	45:A100,41.50,100.00, 7.96, 0.63	
0:A100,51.60,100.00,10.89,22.35	5:A100,43.90,100.00,16.60, 4.59	10:A100,43.90,100.00, 5.79,30.85	15:A100,45.70,100.00,32.09, 5.18	20:A100,44.60,100.00, 5.89, 4.24	25:A100,46.50,100.00, 2.38,10.39	30:A100,44.70,100.00, 1.53,22.21	35:A100,41.50,100.00, 0.25, 0.03	40:A100,46.60,100.00,17.70,32.07	45:A100,42.00,100.00, 7.96, 0.63	
0:A100,52.10,100.00,10.89,22.35	5:A100,44.40,100.00,16.60, 4.59	10:A100,44.40,100.00, 5.79,30.85	15:A100,46.20,100.00,32.09, 5.18	20:A100,45.10,100.00, 5.89, 4.24	25:A100,47.00,100.00, 2.38,10.39	30:A100,45.20,100.00, 1.53,22.21	35:A100,42.00,100.00, 0.25, 0.03	40:A100,47.10,100.00,17.70,32.07	45:A100,42.50,100.00, 7.96, 0.63	
0:A100,52.60,100.00,10.89,22.35	5:A100,44.90,100.00,16.60, 4.59	10:B000,44.40,100.00, 1.02,30.85	15:A100,46.70,100.00,32.09, 5.18	20:A100,45.60,100.00, 5.89, 4.24	25:A100,47.50,100.00, 2.38,10.39	30:A100,45.70,100.00, 1.53,22.21	35:A100,42.50,100.00, 0.25, 0.03	40:A100,47.60,100.00,17.70,32.07	45:C180,43.40,100.00, 7.96,129.38	
0:A100,53.10,100.00,10.89,22.35	5:A100,45.40,100.00,16.60, 4.59	10:A100,44.90,100.00, 1.02,30.85	15:A100,47.20,100.00,32.09, 5.18	20:A100,46.10,100.00, 5.89, 4.24	25:A100,48.00,100.00, 2.38,10.39	30:A100,46.20,100.00, 1.53,22.21	35:A100,43.00,100.00, 0.25, 0.03	40:A100,48.10,100.00,17.70,32.07	45:A100,43.90,100.00, 7.96,129.38	
0:A100,53.60,100.00,10.89,22.35	5:A100,45.90,100.00,16.60, 4.59	10:A100,45.40,100.00, 1.02,30.85	15:A100,47.70,100.00,32.09, 5.18	20:A100,46.60,100.00, 5.89, 4.24	25:A100,48.50,100.00, 2.38,10.39	30:A100,46.70,100.00, 1.53,22.21	35:A100,43.50,100.00, 0.25, 0.03	40:A100,48.60,100.00,17.70,32.07	45:A100,44.40,100.00, 7.96,129.38	
0:C180,54.50,100.00,10.89,144.77	5:A100,46.40,100.00,16.60, 4.59	10:A100,45.90,100.00, 1.02,30.85	15:A100,48.20,100.00,32.09, 5.18	20:A100,47.10,100.00, 5.89, 4.24	25:A100,49.00,100.00, 2.38,10.39	30:A100,47.20,100.00, 1.53,22.21	35:A100,44.00,100.00, 0.25, 0.03	40:A100,49.10,100.00,17.70,32.07	45:C180,45.30,100.00, 7.96,165.72	
0:C180,55.40,100.00,10.89,172.13	5:A100,46.90,100.00,16.60, 4.59	10:A100,46.40,100.00, 1.02,30.85	15:A100,48.70,100.00,32.09, 5.18	20:A100,47.60,100.00, 5.89, 4.24	25:A100,49.50,100.00, 2.38,10.39	30:A100,47.70,100.00, 1.53,22.21	35:A100,44.50,100.00, 0.25, 0.03	40:A100,49.60,100.00,17.70,32.07	45:C180,46.20,100.00, 7.96,175.97	
0:C180,56.30,100.00,10.89,178.24	5:A100,47.40,100.00,16.60, 4.59	10:A100,46.90,100.00, 1.02,30.85	15:A100,49.20,100.00,32.09, 5.18	20:A100,48.10,100.00, 5.89, 4.24	25:A100,50.00,100.00, 2.38,10.39	30:A100,48.20,100.00, 1.53,22.21	35:A100,45.00,100.00, 0.25, 0.03	40:A100,50.10,100.00,17.70,32.07	45:C000,46.20,100.00, 7.96,49.66	
0:C000,56.30,100.00,10.89,39.83	5:A100,47.90,100.00,16.60, 4.59	10:A100,47.40,100.00, 1.02,30.85	15:A100,49.70,100.00,32.09, 5.18	20:A100,48.60,100.00, 5.89, 4.24	25:A100,50.50,100.00, 2.38,10.39	30:A100,48.70,100.00, 1.53,22.21	35:A100,45.50,100.00, 0.25, 0.03	40:A100,50.60,100.00,17.70,32.07	45:A100,46.70,100.00, 7.96,49.66	
0:A100,56.80,100.00,10.89,39.83	5:A100,48.40,100.00,16.60, 4.59	10:A100,47.90,100.00, 1.02,30.85	15:A100,50.20,100.00,32.09, 5.18	20:A100,49.10,100.00, 5.89, 4.24	25:A100,51.00,100.00, 2.38,10.39	30:A100,49.20,100.00, 1.53,22.21	35:A100,46.00,100.00, 0.25, 0.03	40:A100,51.10,100.00,17.70,32.07	45:A100,47.20,100.00, 7.96,49.66	
0:A100,57.30,100.00,10.89,39.83	5:A100,48.90,100.00,16.60, 4.59	10:A100,48.40,100.00, 1.02,30.85	15:A100,50.70,100.00,32.09, 5.18	20:A100,49.60,100.00, 5.89, 4.24	25:A100,51.50,100.00, 2.38,10.39	30:A100,49.70,100.00, 1.53,22.21	35:A100,46.50,100.00, 0.25, 0.03	40:A100,51.60,100.00,17.70,32.07	45:A100,47.70,100.00, 7.96,49.66	
0:A100,57.80,100.00,10.89,39.83	5:A100,49.40,100.00,16.60, 4.59	10:A100,48.90,100.00, 1.02,30.85	15:A100,51.20,100.00,32.09, 5.18	20:A100,50.10,100.00, 5.89, 4.24	25:A100,52.00,100.00, 2.38,10.39	30:A100,50.20,100.00, 1.53,22.21	35:A100,47.00,100.00, 0.25, 0.03	40:A100,52.10,100.00,17.70,32.07	45:A100,48.20,100.00, 7.96,49.66	
0:A100,58.30,100.00,10.89,39.83	5:A100,49.90,100.00,16.60, 4.59	10:A100,49.40,100.00, 1.02,30.85	15:A100,51.70,100.00,32.09, 5.18	20:A100,50.60,100.00, 5.89, 4.24	25:A100,52.50,100.00, 2.38,10.39	30:A100,50.70,100.00, 1.53,22.21	35:A100,47.50,100.00, 0.25, 0.03	40:A100,52.60,100.00,17.70,32.07	45:C000,48.20,100.00, 7.96,14.01	
0:A100,58.80,100.00,10.89,39.83	5:A100,50.40,100.00,16.60, 4.59	10:A100,49.90,100.00, 1.02,30.85	15:A100,52.20,100.00,32.09, 5.18	20:A100,51.10,100.00, 5.89, 4.24	25:A100,53.00,100.00, 2.38,10.39	30:A100,51.20,100.00, 1.53,22.21	35:A100,48.00,100.00, 0.25, 0.03	40:A100,53.10,100.00,17.70,32.07	45:A100,48.70,100.00, 7.96,14.01	
0:A100,59.30,100.00,10.89,39.83	5:A100,50.90,100.00,16.60, 4.59	10:A100,50.40,100.00, 1.02,30.85	15:A100,52.70,100.00,32.09, 5.18	20:A100,51.60,100.00, 5.89, 4.24	25:A100,53.50,100.00, 2.38,10.39	30:A100,51.70,100.00, 1.53,22.21	35:A100,48.50,100.00, 0.25, 0.03	40:A100,53.60,100.00,17.70,32.07	45:A100,49.20,100.00, 7.96,14.01	
0:A100,59.80,100.00,10.89,39.83	5:A100,51.40,100.00,16.60, 4.59	10:A100,50.90,100.00, 1.02,30.85	15:A100,53.20,100.00,32.09, 5.18	20:A100,52.10,100.00, 5.89, 4.24	25:A100,54.00,100.00, 2.38,10.39	30:A100,52.20,100.00, 1.53,22.21	35:A100,49.00,100.00, 0.25, 0.03	40:A100,54.10,100.00,17.70,32.07	45:A100,49.70,100.00, 7.96,14.01	
0:A100,60.30,100.00,10.89,39.83	5:A100,51.90,100.00,16.60, 4.59	10:A100,51.40,100.00, 1.02,30.85	15:A100,53.70,100.00,32.09, 5.18	20:A100,52.60,100.00, 5.89, 4.24	25:A100,54.50,100.00, 2.38,10.39	30:A100,52.70,100.00, 1.53,22.21	35:A100,49.50,100.00, 0.25, 0.03	40:A100,54.60,100.00,17.70,32.07	45:A100,50.20,100.00, 7.96,14.01	
0:A100,60.80,100.00,10.89,39.83	5:A100,52.40,100.00,16.60, 4.59	10:A100,51.90,100.00, 1.02,30.85	15:A100,54.20,100.00,32.09, 5.18	20:A100,53.10,100.00, 5.89, 4.24	25:A100,55.00,100.00, 2.38,10.39	30:A100,53.20,100.00, 1.53,22.21	35:A100,50.00,100.00, 0.25, 0.03	40:A100,55.10,100.00,17.70,32.07	45:A100,50.70,100.00, 7.96,14.01	
0:C000,60.80,100.00,10.89, 8.90	5:A100,52.90,100.00,16.60, 4.59	10:A100,52.40,100.00, 1.02,30.85	15:A100,54.70,100.00,32.09, 5.18	20:A100,53.60,100.00, 5.89, 4.24	25:A100,55.50,100.00, 2.38,10.39	30:A100,53.70,100.00, 1.53,22.21	35:A100,50.50,100.00, 0.25, 0.03	40:A100,55.60,100.00,17.70,32.07	45:A100,51.20,100.00, 7.96,14.01	
0:A100,61.30,100.00,10.89, 8.90	5:A100,53.40,100.00,16.60, 4.59	10:A100,52.90,100.00, 1.02,30.85	15:A100,55.20,100.00,32.09, 5.18	20:A100,54.10,100.00, 5.89, 4.24	25:A100,56.00,100.00, 2.38,10.39	30:A100,54.20,100.00, 1.53,22.21	35:A100,51.00,100.00, 0.25, 0.03	40:A100,56.10,100.00,17.70,32.07	45:A100,51.70,100.00, 7.96,14.01	
0:A100,61.80,100.00,10.89, 8.90	5:A100,53.90,100.00,16.60, 4.59	10:A100,53.40,100.00, 1.02,30.85	15:A100,55.70,100.00,32.09, 5.18	20:A100,54.60,100.00, 5.89, 4.24	25:A100,56.50,100.00, 2.38,10.39	30:A100,54.70,100.00, 1.53,22.21	35:A100,51.50,100.00, 0.25, 0.03	40:A100,56.60,100.00,17.70,32.07	45:A100,52.20,100.00, 7.96,14.01	
0:A100,62.30,100.00,10.89, 8.90	5:A100,54.40,100.00,16.60, 4.59	10:A100,53.90,100.00, 1.02,30.85	15:A100,56.20,100.00,32.09, 5.18	20:A100,55.10,100.00, 5.89, 4.24	25:A100,57.00,100.00, 2.38,10.39	30:A100,55.20,100.00, 1.53,22.21	35:A100,52.00,100.00, 0.25, 0.03	40:A100,57.10,100.00,17.70,32.07	45:A100,52.70,100.00, 7.96,14.01	
0:C000,62.30,100.00,10.89, 1.99	5:A100,54.90,100.00,16.60, 4.59	10:A100,54.40,100.00, 1.02,30.85	15:C180,57.10,100.00,32.09,150.15	20:A100,55.60,100.00, 5.89, 4.24	25:A100,57.50,100.00, 2.38,10.39	30:A100,55.70,100.00, 1.53,22.21	35:A100,52.50,100.00, 0.25, 0.03	40:A100,57.60,100.00,17.70,32.07	45:A100,53.20,100.00, 7.96,14.01	
0:A100,62.80,100.00,10.89, 1.99	5:A100,55.40,100.00,16.60, 4.59	10:A100,54.90,100.00, 1.02,30.85	15:A100,57.60,100.00,32.09,150.15	20:A100,56.10,100.00, 5.89, 4.24	25:A100,58.00,100.00, 2.38,10.39	30:A100,56.20,100.00, 1.53,22.21	35:A100,53.00,100.00, 0.25, 0.03	40:A100,58.10,100.00,17.70,32.07	45:A100,53.70,100.00, 7.96,14.01	
0:A100,63.30,100.00,10.89, 1.99	5:A100,55.90,100.00,16.60, 4.59	10:A100,55.40,100.00, 1.02,30.85	15:C000,57.60,100.00,32.09,25.64	20:A100,56.60,100.00, 5.89, 4.24	25:A100,58.50,100.00, 2.38,10.39	30:A100,56.70,100.00, 1.53,22.21	35:A100,53.50,100.00, 0.25, 0.03	40:A100,58.60,100.00,17.70,32.07	45:A100,54.20,100.00, 7.96,14.01	
0:A100,63.80,100.00,10.89, 1.99	5:A100,56.40,100.00,16.60, 4.59	10:A100,55.90,100.00, 1.02,30.85	15:A100,58.10,100.00,32.09,25.64	20:A100,57.10,100.00, 5.89, 4.24	25:A100,59.00,100.00, 2.38,10.39	30:A100,57.20,100.00, 1.53,22.21	35:A100,54.00,100.00, 0.25, 0.03	40:A100,59.10,100.00,17.70,32.07	45:A100,54.70,100.00, 7.96,14.01	
0:A100,64.30,100.00,10.89, 1.99	5:A100,56.90,100.00,16.60, 4.59	10:A100,56.40,100.00, 1.02,30.85	15:A100,58.60,100.00,32.09,25.64	20:A100,57.60,100.00, 5.89, 4.24	25:A100,59.50,100.00, 2.38,10.39	30:A100,57.70,100.00, 1.53,22.21	35:A100,54.50,100.00, 0.25, 0.03	40:A100,59.60,100.00,17.70,32.07	45:A100,55.20,100.00, 7.96,14.01	
0:A100,64.80,100.00,10.89, 1.99	5:A100,57.40,100.00,16.60, 4.59	10:A100,56.90,100.00, 1.02,30.85	15:A100,59.10,100.00,32.09,25.64	20:A100,58.10,100.00, 5.89, 4.24	25:A100,60.00,100.00, 2.38,10.39	30:A100,58.20,100.00, 1.53,22.21	35:A100,55.00,100.00, 0.25, 0.03	40:A100,60.10,100.00,17.70,32.07	45:A100,55.70,100.00, 7.96,14.01	
0:A100,65.30,100.00,10.89, 1.99	5:A100,57.90,100.00,16.60, 4.59	10:A100,57.40,100.00, 1.02,30.85	15:A100,59.60,100.00,32.09,25.64	20:A100,58.60,100.00, 5.89, 4.24	25:A100,60.50,100.00, 2.38,10.39	30:A100,58.70,100.00, 1.53,22.21	35:A100,55.50,100.00, 0.25, 0.03	40:A100,60.60,100.00,17.70,32.07	45:A100,56.20,100.00, 7.96,14.01	
