each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,27.20,100.00,19.72, 0.12	5:A100,29.60,100.00,25.55,45.42	10:A100,28.90,100.00,15.43, 7.01	15:A100,28.20,100.00, 2.00,18.06	20:A100,26.50,100.00,63.01,36.02	25:C000,26.10,100.00,17.13, 2.86	30:A100,27.40,100.00, 2.53, 4.50	35:B000,29.60,100.00,58.12, 6.98	40:A100,26.10,100.00, 1.05, 3.02	45:A100,28.10,100.00, 2.19, 3.93	
0:A100,27.70,100.00,19.72, 0.12	5:A100,30.10,100.00,25.55,45.42	10:A100,29.40,100.00,15.43, 7.01	15:A100,28.70,100.00, 2.00,18.06	20:A100,27.00,100.00,63.01,36.02	25:A100,26.60,100.00,17.13, 2.86	30:A100,27.90,100.00, 2.53, 4.50	35:A100,30.10,100.00,58.12, 6.98	40:A100,26.60,100.00, 1.05, 3.02	45:A100,28.60,100.00, 2.19, 3.93	
0:A100,28.20,100.00,19.72, 0.12	5:C000,30.10,100.00,25.55,11.61	10:A100,29.90,100.00,15.43, 7.01	15:A100,29.20,100.00, 2.00,18.06	20:A100,27.50,100.00,63.01,36.02	25:A100,27.10,100.00,17.13, 2.86	30:A100,28.40,100.00, 2.53, 4.50	35:A100,30.60,100.00,58.12, 6.98	40:A100,27.10,100.00, 1.05, 3.02	45:A100,29.10,100.00, 2.19, 3.93	
0:A100,28.70,100.00,19.72, 0.12	5:A100,30.60,100.00,25.55,11.61	10:A100,30.40,100.00,15.43, 7.01	15:A100,29.70,100.00, 2.00,18.06	20:A100,28.00,100.00,63.01,36.02	25:A100,27.60,100.00,17.13, 2.86	30:A100,28.90,100.00, 2.53, 4.50	35:A100,31.10,100.00,58.12, 6.98	40:A100,27.60,100.00, 1.05, 3.02	45:A100,29.60,100.00, 2.19, 3.93	
0:A100,29.20,100.00,19.72, 0.12	5:A100,31.10,100.00,25.55,11.61	10:A100,30.90,100.00,15.43, 7.01	15:A100,30.20,100.00, 2.00,18.06	20:A100,28.50,100.00,63.01,36.02	25:A100,28.10,100.00,17.13, 2.86	30:B220,30.00,100.00,214.50, 4.50	35:A100,31.60,100.00,58.12, 6.98	40:A100,28.10,100.00, 1.05, 3.02	45:A100,30.10,100.00, 2.19, 3.93	
0:A100,29.70,100.00,19.72, 0.12	5:A100,31.60,100.00,25.55,11.61	10:A100,31.40,100.00,15.43, 7.01	15:A100,30.70,100.00, 2.00,18.06	20:A100,29.00,100.00,63.01,36.02	25:A100,28.60,100.00,17.13, 2.86	30:B220,31.10,100.00,219.86, 4.50	35:A100,32.10,100.00,58.12, 6.98	40:A100,28.60,100.00, 1.05, 3.02	45:A100,30.60,100.00, 2.19, 3.93	
0:A100,30.20,100.00,19.72, 0.12	5:A100,32.10,100.00,25.55,11.61	10:A100,31.90,100.00,15.43, 7.01	15:A100,31.20,100.00, 2.00,18.06	20:A100,29.50,100.00,63.01,36.02	25:A100,29.10,100.00,17.13, 2.86	30:B220,32.20,100.00,220.00, 4.50	35:A100,32.60,100.00,58.12, 6.98	40:A100,29.10,100.00, 1.05, 3.02	45:A100,31.10,100.00, 2.19, 3.93	
0:A100,30.70,100.00,19.72, 0.12	5:A100,32.60,100.00,25.55,11.61	10:A100,32.40,100.00,15.43, 7.01	15:A100,31.70,100.00, 2.00,18.06	20:A100,30.00,100.00,63.01,36.02	25:A100,29.60,100.00,17.13, 2.86	30:B220,33.30,100.00,220.00, 4.50	35:A100,33.10,100.00,58.12, 6.98	40:A100,29.60,100.00, 1.05, 3.02	45:A100,31.60,100.00, 2.19, 3.93	
0:A100,31.20,100.00,19.72, 0.12	5:A100,33.10,100.00,25.55,11.61	10:A100,32.90,100.00,15.43, 7.01	15:A100,32.20,100.00, 2.00,18.06	20:A100,30.50,100.00,63.01,36.02	25:A100,30.10,100.00,17.13, 2.86	30:B000,33.30,100.00, 5.57, 4.50	35:A100,33.60,100.00,58.12, 6.98	40:A100,30.10,100.00, 1.05, 3.02	45:A100,32.10,100.00, 2.19, 3.93	
0:A100,31.70,100.00,19.72, 0.12	5:A100,33.60,100.00,25.55,11.61	10:A100,33.40,100.00,15.43, 7.01	15:A100,32.70,100.00, 2.00,18.06	20:A100,31.00,100.00,63.01,36.02	25:A100,30.60,100.00,17.13, 2.86	30:A100,33.80,100.00, 5.57, 4.50	35:A100,34.10,100.00,58.12, 6.98	40:A100,30.60,100.00, 1.05, 3.02	45:A100,32.60,100.00, 2.19, 3.93	
0:A100,32.20,100.00,19.72, 0.12	5:A100,34.10,100.00,25.55,11.61	10:A100,33.90,100.00,15.43, 7.01	15:A100,33.20,100.00, 2.00,18.06	20:A100,31.50,100.00,63.01,36.02	25:A100,31.10,100.00,17.13, 2.86	30:A100,34.30,100.00, 5.57, 4.50	35:B220,35.20,100.00,177.22, 6.98	40:A100,31.10,100.00, 1.05, 3.02	45:A100,33.10,100.00, 2.19, 3.93	
0:A100,32.70,100.00,19.72, 0.12	5:A100,34.60,100.00,25.55,11.61	10:A100,34.40,100.00,15.43, 7.01	15:A100,33.70,100.00, 2.00,18.06	20:A100,32.00,100.00,63.01,36.02	25:A100,31.60,100.00,17.13, 2.86	30:A100,34.80,100.00, 5.57, 4.50	35:B000,35.20,100.00,46.83, 6.98	40:A100,31.60,100.00, 1.05, 3.02	45:A100,33.60,100.00, 2.19, 3.93	
0:A100,33.20,100.00,19.72, 0.12	5:A100,35.10,100.00,25.55,11.61	10:A100,34.90,100.00,15.43, 7.01	15:A100,34.20,100.00, 2.00,18.06	20:B220,33.10,100.00,142.61,36.02	25:A100,32.10,100.00,17.13, 2.86	30:A100,35.30,100.00, 5.57, 4.50	35:A100,35.70,100.00,46.83, 6.98	40:A100,32.10,100.00, 1.05, 3.02	45:A100,34.10,100.00, 2.19, 3.93	
0:A100,33.70,100.00,19.72, 0.12	5:A100,35.60,100.00,25.55,11.61	10:A100,35.40,100.00,15.43, 7.01	15:A100,34.70,100.00, 2.00,18.06	20:B000,33.10,100.00,70.30,36.02	25:A100,32.60,100.00,17.13, 2.86	30:A100,35.80,100.00, 5.57, 4.50	35:A100,36.20,100.00,46.83, 6.98	40:A100,32.60,100.00, 1.05, 3.02	45:A100,34.60,100.00, 2.19, 3.93	
0:A100,34.20,100.00,19.72, 0.12	5:A100,36.10,100.00,25.55,11.61	10:A100,35.90,100.00,15.43, 7.01	15:A100,35.20,100.00, 2.00,18.06	20:B220,34.20,100.00,146.21,36.02	25:A100,33.10,100.00,17.13, 2.86	30:A100,36.30,100.00, 5.57, 4.50	35:A100,36.70,100.00,46.83, 6.98	40:A100,33.10,100.00, 1.05, 3.02	45:A100,35.10,100.00, 2.19, 3.93	
0:A100,34.70,100.00,19.72, 0.12	5:A100,36.60,100.00,25.55,11.61	10:A100,36.40,100.00,15.43, 7.01	15:A100,35.70,100.00, 2.00,18.06	20:B220,35.30,100.00,183.62,36.02	25:A100,33.60,100.00,17.13, 2.86	30:A100,36.80,100.00, 5.57, 4.50	35:A100,37.20,100.00,46.83, 6.98	40:A100,33.60,100.00, 1.05, 3.02	45:A100,35.60,100.00, 2.19, 3.93	
0:A100,35.20,100.00,19.72, 0.12	5:A100,37.10,100.00,25.55,11.61	10:A100,36.90,100.00,15.43, 7.01	15:A100,36.20,100.00, 2.00,18.06	20:B220,36.40,100.00,202.07,36.02	25:A100,34.10,100.00,17.13, 2.86	30:A100,37.30,100.00, 5.57, 4.50	35:A100,37.70,100.00,46.83, 6.98	40:A100,34.10,100.00, 1.05, 3.02	45:A100,36.10,100.00, 2.19, 3.93	
0:A100,35.70,100.00,19.72, 0.12	5:A100,37.60,100.00,25.55,11.61	10:A100,37.40,100.00,15.43, 7.01	15:A100,36.70,100.00, 2.00,18.06	20:B000,36.40,100.00,99.61,36.02	25:A100,34.60,100.00,17.13, 2.86	30:B220,38.40,100.00,214.57, 4.50	35:A100,38.20,100.00,46.83, 6.98	40:A100,34.60,100.00, 1.05, 3.02	45:A100,36.60,100.00, 2.19, 3.93	
0:A100,36.20,100.00,19.72, 0.12	5:A100,38.10,100.00,25.55,11.61	10:A100,37.90,100.00,15.43, 7.01	15:A100,37.20,100.00, 2.00,18.06	20:A100,36.90,100.00,99.61,36.02	25:A100,35.10,100.00,17.13, 2.86	30:B000,38.40,100.00, 5.43, 4.50	35:A100,38.70,100.00,46.83, 6.98	40:A100,35.10,100.00, 1.05, 3.02	45:A100,37.10,100.00, 2.19, 3.93	
0:A100,36.70,100.00,19.72, 0.12	5:C180,39.00,100.00,25.55,136.97	10:A100,38.40,100.00,15.43, 7.01	15:A100,37.70,100.00, 2.00,18.06	20:B220,38.00,100.00,160.65,36.02	25:A100,35.60,100.00,17.13, 2.86	30:A100,38.90,100.00, 5.43, 4.50	35:A100,39.20,100.00,46.83, 6.98	40:A100,35.60,100.00, 1.05, 3.02	45:A100,37.60,100.00, 2.19, 3.93	
0:A100,37.20,100.00,19.72, 0.12	5:C180,39.90,100.00,25.55,169.00	10:B000,38.40,100.00, 1.08, 7.01	15:A100,38.20,100.00, 2.00,18.06	20:B000,38.00,100.00,79.19,36.02	25:A100,36.10,100.00,17.13, 2.86	30:A100,39.40,100.00, 5.43, 4.50	35:A100,39.70,100.00,46.83, 6.98	40:A100,36.10,100.00, 1.05, 3.02	45:A100,38.10,100.00, 2.19, 3.93	
0:A100,37.70,100.00,19.72, 0.12	5:C180,40.80,100.00,25.55,177.19	10:A100,38.90,100.00, 1.08, 7.01	15:A100,38.70,100.00, 2.00,18.06	20:A100,38.50,100.00,79.19,36.02	25:A100,36.60,100.00,17.13, 2.86	30:A100,39.90,100.00, 5.43, 4.50	35:A100,40.20,100.00,46.83, 6.98	40:A100,36.60,100.00, 1.05, 3.02	45:A100,38.60,100.00, 2.19, 3.93	
0:A100,38.20,100.00,19.72, 0.12	5:C180,41.70,100.00,25.55,179.28	10:A100,39.40,100.00, 1.08, 7.01	15:A100,39.20,100.00, 2.00,18.06	20:B000,38.50,100.00,39.04,36.02	25:A100,37.10,100.00,17.13, 2.86	30:A100,40.40,100.00, 5.43, 4.50	35:A100,40.70,100.00,46.83, 6.98	40:A100,37.10,100.00, 1.05, 3.02	45:A100,39.10,100.00, 2.19, 3.93	
0:A100,38.70,100.00,19.72, 0.12	5:C000,41.70,100.00,25.55,45.81	10:A100,39.90,100.00, 1.08, 7.01	15:C180,40.10,100.00, 2.00,163.75	20:A100,39.00,100.00,39.04,36.02	25:A100,37.60,100.00,17.13, 2.86	30:A100,40.90,100.00, 5.43, 4.50	35:A100,41.20,100.00,46.83, 6.98	40:A100,37.60,100.00, 1.05, 3.02	45:A100,39.60,100.00, 2.19, 3.93	
0:A100,39.20,100.00,19.72, 0.12	5:A100,42.20,100.00,25.55,45.81	10:A100,40.40,100.00, 1.08, 7.01	15:C180,41.00,100.00, 2.00,178.37	20:A100,39.50,100.00,39.04,36.02	25:A100,38.10,100.00,17.13, 2.86	30:A100,41.40,100.00, 5.43, 4.50	35:A100,41.70,100.00,46.83, 6.98	40:A100,38.10,100.00, 1.05, 3.02	45:A100,40.10,100.00, 2.19, 3.93	
0:A100,39.70,100.00,19.72, 0.12	5:B220,43.30,100.00,170.31,45.81	10:A100,40.90,100.00, 1.08, 7.01	15:C000,41.00,100.00, 2.00,17.89	20:A100,40.00,100.00,39.04,36.02	25:A100,38.60,100.00,17.13, 2.86	30:A100,41.90,100.00, 5.43, 4.50	35:A100,42.20,100.00,46.83, 6.98	40:A100,38.60,100.00, 1.05, 3.02	45:A100,40.60,100.00, 2.19, 3.93	
0:A100,40.20,100.00,19.72, 0.12	5:A100,43.80,100.00,170.31,45.81	10:A100,41.40,100.00, 1.08, 7.01	15:A100,41.50,100.00, 2.00,17.89	20:A100,40.50,100.00,39.04,36.02	25:A100,39.10,100.00,17.13, 2.86	30:A100,42.40,100.00, 5.43, 4.50	35:A100,42.70,100.00,46.83, 6.98	40:A100,39.10,100.00, 1.05, 3.02	45:A100,41.10,100.00, 2.19, 3.93	
0:A100,40.70,100.00,19.72, 0.12	5:B220,44.90,100.00,207.30,45.81	10:A100,41.90,100.00, 1.08, 7.01	15:A100,42.00,100.00, 2.00,17.89	20:A100,41.00,100.00,39.04,36.02	25:A100,39.60,100.00,17.13, 2.86	30:A100,42.90,100.00, 5.43, 4.50	35:A100,43.20,100.00,46.83, 6.98	40:A100,39.60,100.00, 1.05, 3.02	45:A100,41.60,100.00, 2.19, 3.93	
0:A100,41.20,100.00,19.72, 0.12	5:B220,46.00,100.00,216.76,45.81	10:A100,42.40,100.00, 1.08, 7.01	15:A100,42.50,100.00, 2.00,17.89	20:A100,41.50,100.00,39.04,36.02	25:A100,40.10,100.00,17.13, 2.86	30:A100,43.40,100.00, 5.43, 4.50	35:A100,43.70,100.00,46.83, 6.98	40:A100,40.10,100.00, 1.05, 3.02	45:A100,42.10,100.00, 2.19, 3.93	
0:A100,41.70,100.00,19.72, 0.12	5:B000,46.00,100.00,55.39,45.81	10:A100,42.90,100.00, 1.08, 7.01	15:A100,43.00,100.00, 2.00,17.89	20:A100,42.00,100.00,39.04,36.02	25:A100,40.60,100.00,17.13, 2.86	30:A100,43.90,100.00, 5.43, 4.50	35:A100,44.20,100.00,46.83, 6.98	40:A100,40.60,100.00, 1.05, 3.02	45:A100,42.60,100.00, 2.19, 3.93	
0:A100,42.20,100.00,19.72, 0.12	5:A100,46.50,100.00,55.39,45.81	10:A100,43.40,100.00, 1.08, 7.01	15:A100,43.50,100.00, 2.00,17.89	20:A100,42.50,100.00,39.04,36.02	25:A100,41.10,100.00,17.13, 2.86	30:A100,44.40,100.00, 5.43, 4.50	35:A100,44.70,100.00,46.83, 6.98	40:A100,41.10,100.00, 1.05, 3.02	45:B220,43.70,100.00,215.24, 3.93	
0:A100,42.70,100.00,19.72, 0.12	5:A100,47.00,100.00,55.39,45.81	10:C000,43.40,100.00, 1.08, 0.49	15:A100,44.00,100.00, 2.00,17.89	20:A100,43.00,100.00,39.04,36.02	25:A100,41.60,100.00,17.13, 2.86	30:A100,44.90,100.00, 5.43, 4.50	35:A100,45.20,100.00,46.83, 6.98	40:A100,41.60,100.00, 1.05, 3.02	45:B220,44.80,100.00,219.90, 3.93	
0:A100,43.20,100.00,19.72, 0.12	5:A100,47.50,100.00,55.39,45.81	10:A100,43.90,100.00, 1.08, 0.49	15:A100,44.50,100.00, 2.00,17.89	20:A100,43.50,100.00,39.04,36.02	25:A100,42.10,100.00,17.13, 2.86	30:A100,45.40,100.00, 5.43, 4.50	35:A100,45.70,100.00,46.83, 6.98	40:A100,42.10,100.00, 1.05, 3.02	45:B000,44.80,100.00, 4.81, 3.93	
0:A100,43.70,100.00,19.72, 0.12	5:A100,48.00,100.00,55.39,45.81	10:A100,44.40,100.00, 1.08, 0.49	15:A100,45.00,100.00, 2.00,17.89	20:A100,44.00,100.00,39.04,36.02	25:A100,42.60,100.00,17.13, 2.86	30:A100,45.90,100.00, 5.43, 4.50	35:A100,46.20,100.00,46.83, 6.98	40:A100,42.60,100.00, 1.05, 3.02	45:A100,45.30,100.00, 4.81, 3.93	
0:A100,44.20,100.00,19.72, 0.12	5:A100,48.50,100.00,55.39,45.81	10:A100,44.90,100.00, 1.08, 0.49	15:A100,45.50,100.00, 2.00,17.89	20:B000,44.00,100.00,19.24,36.02	25:A100,43.10,100.00,17.13, 2.86	30:A100,46.40,100.00, 5.43, 4.50	35:A100,46.70,100.00,46.83, 6.98	40:A100,43.10,100.00, 1.05, 3.02	45:A100,45.80,100.00, 4.81, 3.93	
0:C180,45.10,100.00,19.72,163.86	5:A100,49.00,100.00,55.39,45.81	10:A100,45.40,100.00, 1.08, 0.49	15:A100,46.00,100.00, 2.00,17.89	20:A100,44.50,100.00,19.24,36.02	25:A100,43.60,100.00,17.13, 2.86	30:A100,46.90,100.00, 5.43, 4.50	35:A100,47.20,100.00,46.83, 6.98	40:A100,43.60,100.00, 1.05, 3.02	45:A100,46.30,100.00, 4.81, 3.93	
0:C000,45.10,100.00,19.72,14.70	5:A100,49.50,100.00,55.39,45.81	10:A100,45.90,100.00, 1.08, 0.49	15:A100,46.50,100.00, 2.00,17.89	20:A100,45.00,100.00,19.24,36.02	25:A100,44.10,100.00,17.13, 2.86	30:A100,47.40,100.00, 5.43, 4.50	35:A100,47.70,100.00,46.83, 6.98	40:A100,44.10,100.00, 1.05, 3.02	45:A100,46.80,100.00, 4.81, 3.93	
0:A100,45.60,100.00,19.72,14.70	5:A100,50.00,100.00,55.39,45.81	10:A100,46.40,100.00, 1.08, 0.49	15:A100,47.00,100.00, 2.00,17.89	20:A100,45.50,100.00,19.24,36.02	25:A100,44.60,100.00,17.13, 2.86	30:A100,47.90,100.00, 5.43, 4.50	35:A100,48.20,100.00,46.83, 6.98	40:A100,44.60,100.00, 1.05, 3.02	45:A100,47.30,100.00, 4.81, 3.93	
0:A100,46.10,100.00,19.72,14.70	5:A100,50.50,100.00,55.39,45.81	10:A100,46.90,100.00, 1.08, 0.49	15:A100,47.50,100.00, 2.00,17.89	20:A100,46.00,100.00,19.24,36.02	25:A100,45.10,100.00,17.13, 2.86	30:A100,48.40,100.00, 5.43, 4.50	35:A100,48.70,100.00,46.83, 6.98	40:A100,45.10,100.00, 1.05, 3.02	45:A100,47.80,100.00, 4.81, 3.93	
0:A100,46.60,100.00,19.72,14.70	5:A100,51.00,100.00,55.39,45.81	10:A100,47.40,100.00, 1.08, 0.49	15:A100,48.00,100.00, 2.00,17.89	20:A100,46.50,100.00,19.24,36.02	25:A100,45.60,100.00,17.13, 2.86	30:A100,48.90,100.00, 5.43, 4.50	35:A100,49.20,100.00,46.83, 6.98	40:A100,45.60,100.00, 1.05, 3.02	45:A100,48.30,100.00, 4.81, 3.93	
0:A100,47.10,100.00,19.72,14.70	5:C000,51.00,100.00,55.39,11.71	10:A100,47.90,100.00, 1.08, 0.49	15:A100,48.50,100.00, 2.00,17.89	20:A100,47.00,100.00,19.24,36.02	25:A100,46.10,100.00,17.13, 2.86	30:A100,49.40,100.00, 5.43, 4.50	35:A100,49.70,100.00,46.83, 6.98	40:A100,46.10,100.00, 1.05, 3.02	45:A100,48.80,100.00, 4.81, 3.93	
0:A100,47.60,100.00,19.72,14.70	5:A100,51.50,100.00,55.39,11.71	10:A100,48.40,100.00, 1.08, 0.49	15:A100,49.00,100.00, 2.00,17.89	20:A100,47.50,100.00,19.24,36.02	25:A100,46.60,100.00,17.13, 2.86	30:A100,49.90,100.00, 5.43, 4.50	35:A100,50.20,100.00,46.83, 6.98	40:A100,46.60,100.00, 1.05, 3.02	45:A100,49.30,100.00, 4.81, 3.93	
0:A100,48.10,100.00,19.72,14.70	5:A100,52.00,100.00,55.39,11.71	10:C000,48.40,100.00, 1.08, 0.03	15:A100,49.50,100.00, 2.00,17.89	20:C180,48.40,100.00,19.24,109.03	25:A100,47.10,100.00,17.13, 2.86	30:A100,50.40,100.00, 5.43, 4.50	35:A100,50.70,100.00,46.83, 6.98	40:A100,47.10,100.00, 1.05, 3.02	45:A100,49.80,100.00, 4.81, 3.93	
0:A100,48.60,100.00,19.72,14.70	5:A100,52.50,100.00,55.39,11.71	10:A100,48.90,100.00, 1.08, 0.03	15:A100,50.00,100.00, 2.00,17.89	20:A100,48.90,100.00,19.24,109.03	25:A100,47.60,100.00,17.13, 2.86	30:A100,50.90,100.00, 5.43, 4.50	35:A100,51.20,100.00,46.83, 6.98	40:A100,47.60,100.00, 1.05, 3.02	45:A100,50.30,100.00, 4.81, 3.93	
0:A100,49.10,100.00,19.72,14.70	5:A100,53.00,100.00,55.39,11.71	10:A100,49.40,100.00, 1.08, 0.03	15:A100,50.50,100.00, 2.00,17.89	20:A100,49.40,100.00,19.24,109.03	25:A100,48.10,100.00,17.13, 2.86	30:A100,51.40,100.00, 5.43, 4.50	35:A100,51.70,100.00,46.83, 6.98	40:A100,48.10,100.00, 1.05, 3.02	45:A100,50.80,100.00, 4.81, 3.93	
0:A100,49.60,100.00,19.72,14.70	5:A100,53.50,100.00,55.39,11.71	10:A100,49.90,100.00, 1.08, 0.03	15:A100,51.00,100.00, 2.00,17.89	20:C000,49.40,100.00,19.24,53.74	25:A100,48.60,100.00,17.13, 2.86	30:A100,51.90,100.00, 5.43, 4.50	35:A100,52.20,100.00,46.83, 6.98	40:A100,48.60,100.00, 1.05, 3.02	45:A100,51.30,100.00, 4.81, 3.93	
0:A100,50.10,100.00,19.72,14.70	5:B220,54.60,100.00,177.94,11.71	10:A100,50.40,100.00, 1.08, 0.03	15:A100,51.50,100.00, 2.00,17.89	20:A100,49.90,100.00,19.24,53.74	25:A100,49.10,100.00,17.13, 2.86	30:A100,52.40,100.00, 5.43, 4.50	35:A100,52.70,100.00,46.83, 6.98	40:A100,49.10,100.00, 1.05, 3.02	45:A100,51.80,100.00, 4.81, 3.93	
0:A100,50.60,100.00,19.72,14.70	5:B220,55.70,100.00,209.25,11.71	10:A100,50.90,100.00, 1.08, 0.03	15:A100,52.00,100.00, 2.00,17.89	20:B000,49.90,100.00, 9.49,53.74	25:A100,49.60,100.00,17.13, 2.86	30:A100,52.90,100.00, 5.43, 4.50	35:A100,53.20,100.00,46.83, 6.98	40:A100,49.60,100.00, 1.05, 3.02	45:A100,52.30,100.00, 4.81, 3.93	
0:A100,51.10,100.00,19.72,14.70	5:B220,56.80,100.00,217.25,11.71	10:A100,51.40,100.00, 1.08, 0.03	15:A100,52.50,100.00, 2.00,17.89	20:A100,50.40,100.00, 9.49,53.74	25:A100,50.10,100.00,17.13, 2.86	30:A100,53.40,100.00, 5.43, 4.50	35:A100,53.70,100.00,46.83, 6.98	40:A100,50.10,100.00, 1.05, 3.02	45:A100,52.80,100.00, 4.81, 3.93	
0:A100,51.60,100.00,19.72,14.70	5:B000,56.80,100.00,55.51,11.71	10:A100,51.90,100.00, 1.08, 0.03	15:A100,53.00,100.00, 2.00,17.89	20:A100,50.90,100.00, 9.49,53.74	25:A100,50.60,100.00,17.13, 2.86	30:A100,53.90,100.00, 5.43, 4.50	35:A100,54.20,100.00,46.83, 6.98	40:A100,50.60,100.00, 1.05, 3.02	45:A100,53.30,100.00, 4.81, 3.93	
0:A100,52.10,100.00,19.72,14.70	5:A100,57.30,100.00,55.51,11.71	10:A100,52.40,100.00, 1.08, 0.03	15:A100,53.50,100.00, 2.00,17.89	20:A100,51.40,100.00, 9.49,53.74	25:A100,51.10,100.00,17.13, 2.86	30:A100,54.40,100.00, 5.43, 4.50	35:B000,54.20,100.00,12.38, 6.98	40:A100,51.10,100.00, 1.05, 3.02	45:A100,53.80,100.00, 4.81, 3.93	
0:A100,52.60,100.00,19.72,14.70	5:A100,57.80,100.00,55.51,11.71	10:A100,52.90,100.00, 1.08, 0.03	15:A100,54.00,100.00, 2.00,17.89	20:A100,51.90,100.00, 9.49,53.74	25:A100,51.60,100.00,17.13, 2.86	30:A100,54.90,100.00, 5.43, 4.50	35:A100,54.70,100.00,12.38, 6.98	40:A100,51.60,100.00, 1.05, 3.02	45:A100,54.30,100.00, 4.81, 3.93	
0:A100,53.10,100.00,19.72,14.70	5:A100,58.30,100.00,55.51,11.71	10:A100,53.40,100.00, 1.08, 0.03	15:A100,54.50,100.00, 2.00,17.89	20:A100,52.40,100.00, 9.49,53.74	25:A100,52.10,100.00,17.13, 2.86	30:A100,55.40,100.00, 5.43, 4.50	35:A100,55.20,100.00,12.38, 6.98	40:A100,52.10,100.00, 1.05, 3.02	45:A100,54.80,100.00, 4.81, 3.93	
0:A100,53.60,100.00,19.72,14.70	5:A100,58.80,100.00,55.51,11.71	10:A100,53.90,100.00, 1.08, 0.03	15:A100,55.00,100.00, 2.00,17.89	20:C180,53.30,100.00, 9.49,117.76	25:A100,52.60,100.00,17.13, 2.86	30:A100,55.90,100.00, 5.43, 4.50	35:A100,55.70,100.00,12.38, 6.98	40:A100,52.60,100.00, 1.05, 3.02	45:A100,55.30,100.00, 4.81, 3.93	
0:A100,54.10,100.00,19.72,14.70	5:A100,59.30,100.00,55.51,11.71	10:A100,54.40,100.00, 1.08, 0.03	15:A100,55.50,100.00, 2.00,17.89	20:C000,53.30,100.00, 9.49,58.05	25:A100,53.10,100.00,17.13, 2.86	30:A100,56.40,100.00, 5.43, 4.50	35:A100,56.20,100.00,12.38, 6.98	40:A100,53.10,100.00, 1.05, 3.02	45:A100,55.80,100.00, 4.81, 3.93	
0:B220,55.20,100.00,202.03,14.70	5:A100,59.80,100.00,55.51,11.71	10:A100,54.90,100.00, 1.08, 0.03	15:A100,56.00,100.00, 2.00,17.89	20:A100,53.80,100.00, 9.49,58.05	25:A100,53.60,100.00,17.13, 2.86	30:A100,56.90,100.00, 5.43, 4.50	35:A100,56.70,100.00,12.38, 6.98	40:A100,53.60,100.00, 1.05, 3.02	45:A100,56.30,100.00, 4.81, 3.93	
0:B220,56.30,100.00,218.39,14.70	5:B000,59.80,100.00,14.19,11.71	10:A100,55.40,100.00, 1.08, 0.03	15:A100,56.50,100.00, 2.00,17.89	20:A100,54.30,100.00, 9.49,58.05	25:A100,54.10,100.00,17.13, 2.86	30:A100,57.40,100.00, 5.43, 4.50	35:A100,57.20,100.00,12.38, 6.98	40:A100,54.10,100.00, 1.05, 3.02	45:A100,56.80,100.00, 4.81, 3.93	
0:B220,57.40,100.00,219.86,14.70	5:A100,60.30,100.00,14.19,11.71	10:A100,55.90,100.00, 1.08, 0.03	15:A100,57.00,100.00, 2.00,17.89	20:A100,54.80,100.00, 9.49,58.05	25:A100,54.60,100.00,17.13, 2.86	30:A100,57.90,100.00, 5.43, 4.50	35:A100,57.70,100.00,12.38, 6.98	40:A100,54.60,100.00, 1.05, 3.02	45:A100,57.30,100.00, 4.81, 3.93	
0:B000,57.40,100.00,19.72,14.70	5:A100,60.80,100.00,14.19,11.71	10:A100,56.40,100.00, 1.08, 0.03	15:A100,57.50,100.00, 2.00,17.89	20:A100,55.30,100.00, 9.49,58.05	25:A100,55.10,100.00,17.13, 2.86	30:A100,58.40,100.00, 5.43, 4.50	35:A100,58.20,100.00,12.38, 6.98	40:A100,55.10,100.00, 1.05, 3.02	45:A100,57.80,100.00, 4.81, 3.93	
0:A100,57.90,100.00,19.72,14.70	5:A100,61.30,100.00,14.19,11.71	10:A100,56.90,100.00, 1.08, 0.03	15:A100,58.00,100.00, 2.00,17.89	20:A100,55.80,100.00, 9.49,58.05	25:A100,55.60,100.00,17.13, 2.86	30:A100,58.90,100.00, 5.43, 4.50	35:A100,58.70,100.00,12.38, 6.98	40:A100,55.60,100.00, 1.05, 3.02	45:A100,58.30,100.00, 4.81, 3.93	
0:A100,58.40,100.00,19.72,14.70	5:A100,61.80,100.00,14.19,11.71	10:A100,57.40,100.00, 1.08, 0.03	15:A100,58.50,100.00, 2.00,17.89	20:A100,56.30,100.00, 9.49,58.05	25:A100,56.10,100.00,17.13, 2.86	30:A100,59.40,100.00, 5.43, 4.50	35:A100,59.20,100.00,12.38, 6.98	40:A100,56.10,100.00, 1.05, 3.02	45:A100,58.80,100.00, 4.81, 3.93	
