each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100, 5.40,100.00, 0.80, 1.39	5:A100, 7.90,100.00,25.55,45.96	10:A100, 6.00,100.00, 7.01, 7.01	15:A100, 7.60,100.00,10.03,18.06	20:C180, 6.90,100.00,66.97,148.24	25:A100, 6.10,100.00,17.13,30.57	30:A100, 6.40,100.00, 2.53, 4.50	35:A100, 5.50,100.00,26.43, 6.98	40:A100, 6.60,100.00,34.62,17.38	45:A100, 6.40,100.00, 2.19, 3.90	
0:A100, 5.90,100.00, 0.80, 1.39	5:A100, 8.40,100.00,25.55,45.96	10:A100, 6.50,100.00, 7.01, 7.01	15:A100, 8.10,100.00,10.03,18.06	20:C000, 6.90,100.00,66.97,73.07	25:A100, 6.60,100.00,17.13,30.57	30:A100, 6.90,100.00, 2.53, 4.50	35:A100, 6.00,100.00,26.43, 6.98	40:A100, 7.10,100.00,34.62,17.38	45:A100, 6.90,100.00, 2.19, 3.90	
0:A100, 6.40,100.00, 0.80, 1.39	5:A100, 8.90,100.00,25.55,45.96	10:A100, 7.00,100.00, 7.01, 7.01	15:A100, 8.60,100.00,10.03,18.06	20:A100, 7.40,100.00,66.97,73.07	25:A100, 7.10,100.00,17.13,30.57	30:A100, 7.40,100.00, 2.53, 4.50	35:A100, 6.50,100.00,26.43, 6.98	40:A100, 7.60,100.00,34.62,17.38	45:A100, 7.40,100.00, 2.19, 3.90	
0:A100, 6.90,100.00, 0.80, 1.39	5:A100, 9.40,100.00,25.55,45.96	10:A100, 7.50,100.00, 7.01, 7.01	15:A100, 9.10,100.00,10.03,18.06	20:A100, 7.90,100.00,66.97,73.07	25:A100, 7.60,100.00,17.13,30.57	30:A100, 7.90,100.00, 2.53, 4.50	35:A100, 7.00,100.00,26.43, 6.98	40:A100, 8.10,100.00,34.62,17.38	45:A100, 7.90,100.00, 2.19, 3.90	
0:A100, 7.40,100.00, 0.80, 1.39	5:A100, 9.90,100.00,25.55,45.96	10:A100, 8.00,100.00, 7.01, 7.01	15:A100, 9.60,100.00,10.03,18.06	20:C000, 7.90,100.00,66.97,36.02	25:C000, 7.60,100.00,17.13, 9.34	30:A100, 8.40,100.00, 2.53, 4.50	35:A100, 7.50,100.00,26.43, 6.98	40:A100, 8.60,100.00,34.62,17.38	45:A100, 8.40,100.00, 2.19, 3.90	
0:B220, 8.50,100.00,200.34, 1.39	5:A100,10.40,100.00,25.55,45.96	10:A100, 8.50,100.00, 7.01, 7.01	15:A100,10.10,100.00,10.03,18.06	20:A100, 8.40,100.00,66.97,36.02	25:A100, 8.10,100.00,17.13, 9.34	30:A100, 8.90,100.00, 2.53, 4.50	35:A100, 8.00,100.00,26.43, 6.98	40:A100, 9.10,100.00,34.62,17.38	45:A100, 8.90,100.00, 2.19, 3.90	
0:B220, 9.60,100.00,218.24, 1.39	5:A100,10.90,100.00,25.55,45.96	10:A100, 9.00,100.00, 7.01, 7.01	15:A100,10.60,100.00,10.03,18.06	20:A100, 8.90,100.00,66.97,36.02	25:A100, 8.60,100.00,17.13, 9.34	30:A100, 9.40,100.00, 2.53, 4.50	35:A100, 8.50,100.00,26.43, 6.98	40:B000, 9.10,100.00, 6.02,17.38	45:A100, 9.40,100.00, 2.19, 3.90	
0:B220,10.70,100.00,219.84, 1.39	5:A100,11.40,100.00,25.55,45.96	10:A100, 9.50,100.00, 7.01, 7.01	15:A100,11.10,100.00,10.03,18.06	20:A100, 9.40,100.00,66.97,36.02	25:A100, 9.10,100.00,17.13, 9.34	30:A100, 9.90,100.00, 2.53, 4.50	35:A100, 9.00,100.00,26.43, 6.98	40:A100, 9.60,100.00, 6.02,17.38	45:A100, 9.90,100.00, 2.19, 3.90	
0:B000,10.70,100.00,19.72, 1.39	5:A100,11.90,100.00,25.55,45.96	10:A100,10.00,100.00, 7.01, 7.01	15:A100,11.60,100.00,10.03,18.06	20:A100, 9.90,100.00,66.97,36.02	25:A100, 9.60,100.00,17.13, 9.34	30:A100,10.40,100.00, 2.53, 4.50	35:A100, 9.50,100.00,26.43, 6.98	40:A100,10.10,100.00, 6.02,17.38	45:A100,10.40,100.00, 2.19, 3.90	
0:A100,11.20,100.00,19.72, 1.39	5:A100,12.40,100.00,25.55,45.96	10:A100,10.50,100.00, 7.01, 7.01	15:A100,12.10,100.00,10.03,18.06	20:A100,10.40,100.00,66.97,36.02	25:A100,10.10,100.00,17.13, 9.34	30:A100,10.90,100.00, 2.53, 4.50	35:A100,10.00,100.00,26.43, 6.98	40:A100,10.60,100.00, 6.02,17.38	45:A100,10.90,100.00, 2.19, 3.90	
