each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:B220, 1.10,100.00,177.10,100.00	5:B000, 0.00,100.00,39.65,100.00	10:C180, 0.90,100.00,100.00,144.61	15:B000, 0.00,100.00, 8.60,100.00	20:C000, 0.00,100.00,100.00,50.37	25:C000, 0.00,100.00,100.00,25.36	30:A100, 0.50,100.00,100.00,100.00	35:C180, 0.90,100.00,100.00,153.23	40:A100, 0.50,100.00,100.00,100.00	45:C180, 0.90,100.00,100.00,155.03	
0:A100,27.50,100.00, 7.49,17.04	5:A100,28.10,100.00,15.72,63.50	10:A100,25.40,100.00,19.57,10.98	15:A100,25.00,100.00, 8.60, 0.74	20:A100,27.10,100.00,65.49,25.37	25:A100,29.90,100.00,11.47,25.36	30:A100,26.10,100.00,12.62, 5.93	35:A100,27.90,100.00,56.58,18.54	40:C000,28.60,100.00,29.45,48.13	45:A100,25.80,100.00,31.21,16.77	
0:A100,28.00,100.00, 7.49,17.04	5:A100,28.60,100.00,15.72,63.50	10:A100,25.90,100.00,19.57,10.98	15:A100,25.50,100.00, 8.60, 0.74	20:A100,27.60,100.00,65.49,25.37	25:A100,30.40,100.00,11.47,25.36	30:A100,26.60,100.00,12.62, 5.93	35:A100,28.40,100.00,56.58,18.54	40:C000,28.60,100.00,29.45,20.27	45:A100,26.30,100.00,31.21,16.77	
0:A100,28.50,100.00, 7.49,17.04	5:A100,29.10,100.00,15.72,63.50	10:A100,26.40,100.00,19.57,10.98	15:A100,26.00,100.00, 8.60, 0.74	20:A100,28.10,100.00,65.49,25.37	25:A100,30.90,100.00,11.47,25.36	30:A100,27.10,100.00,12.62, 5.93	35:A100,28.90,100.00,56.58,18.54	40:A100,29.10,100.00,29.45,20.27	45:A100,26.80,100.00,31.21,16.77	
0:A100,29.00,100.00, 7.49,17.04	5:A100,29.60,100.00,15.72,63.50	10:A100,26.90,100.00,19.57,10.98	15:A100,26.50,100.00, 8.60, 0.74	20:A100,28.60,100.00,65.49,25.37	25:A100,31.40,100.00,11.47,25.36	30:A100,27.60,100.00,12.62, 5.93	35:A100,29.40,100.00,56.58,18.54	40:A100,29.60,100.00,29.45,20.27	45:A100,27.30,100.00,31.21,16.77	
0:A100,29.50,100.00, 7.49,17.04	5:A100,30.10,100.00,15.72,63.50	10:B000,26.90,100.00, 8.66,10.98	15:A100,27.00,100.00, 8.60, 0.74	20:A100,29.10,100.00,65.49,25.37	25:A100,31.90,100.00,11.47,25.36	30:A100,28.10,100.00,12.62, 5.93	35:A100,29.90,100.00,56.58,18.54	40:A100,30.10,100.00,29.45,20.27	45:A100,27.80,100.00,31.21,16.77	
0:A100,30.00,100.00, 7.49,17.04	5:A100,30.60,100.00,15.72,63.50	10:A100,27.40,100.00, 8.66,10.98	15:A100,27.50,100.00, 8.60, 0.74	20:A100,29.60,100.00,65.49,25.37	25:A100,32.40,100.00,11.47,25.36	30:A100,28.60,100.00,12.62, 5.93	35:A100,30.40,100.00,56.58,18.54	40:A100,30.60,100.00,29.45,20.27	45:A100,28.30,100.00,31.21,16.77	
0:A100,30.50,100.00, 7.49,17.04	5:C180,31.50,100.00,15.72,133.81	10:A100,27.90,100.00, 8.66,10.98	15:A100,28.00,100.00, 8.60, 0.74	20:A100,30.10,100.00,65.49,25.37	25:A100,32.90,100.00,11.47,25.36	30:A100,29.10,100.00,12.62, 5.93	35:A100,30.90,100.00,56.58,18.54	40:A100,31.10,100.00,29.45,20.27	45:A100,28.80,100.00,31.21,16.77	
0:A100,31.00,100.00, 7.49,17.04	5:C180,32.40,100.00,15.72,161.69	10:A100,28.40,100.00, 8.66,10.98	15:A100,28.50,100.00, 8.60, 0.74	20:A100,30.60,100.00,65.49,25.37	25:A100,33.40,100.00,11.47,25.36	30:A100,29.60,100.00,12.62, 5.93	35:A100,31.40,100.00,56.58,18.54	40:B220,32.20,100.00,139.76,20.27	45:A100,29.30,100.00,31.21,16.77	
0:A100,31.50,100.00, 7.49,17.04	5:C000,32.40,100.00,15.72,64.10	10:A100,28.90,100.00, 8.66,10.98	15:A100,29.00,100.00, 8.60, 0.74	20:A100,31.10,100.00,65.49,25.37	25:A100,33.90,100.00,11.47,25.36	30:A100,30.10,100.00,12.62, 5.93	35:A100,31.90,100.00,56.58,18.54	40:B220,33.30,100.00,186.21,20.27	45:A100,29.80,100.00,31.21,16.77	
0:A100,32.00,100.00, 7.49,17.04	5:A100,32.90,100.00,15.72,64.10	10:A100,29.40,100.00, 8.66,10.98	15:A100,29.50,100.00, 8.60, 0.74	20:A100,31.60,100.00,65.49,25.37	25:A100,34.40,100.00,11.47,25.36	30:A100,30.60,100.00,12.62, 5.93	35:A100,32.40,100.00,56.58,18.54	40:B220,34.40,100.00,205.77,20.27	45:A100,30.30,100.00,31.21,16.77	
0:A100,32.50,100.00, 7.49,17.04	5:A100,33.40,100.00,15.72,64.10	10:A100,29.90,100.00, 8.66,10.98	15:A100,30.00,100.00, 8.60, 0.74	20:A100,32.10,100.00,65.49,25.37	25:A100,34.90,100.00,11.47,25.36	30:A100,31.10,100.00,12.62, 5.93	35:A100,32.90,100.00,56.58,18.54	40:B220,35.50,100.00,214.01,20.27	45:A100,30.80,100.00,31.21,16.77	
0:A100,33.00,100.00, 7.49,17.04	5:C180,34.30,100.00,15.72,134.05	10:A100,30.40,100.00, 8.66,10.98	15:B220,31.10,100.00,201.81, 0.74	20:A100,32.60,100.00,65.49,25.37	25:A100,35.40,100.00,11.47,25.36	30:A100,31.60,100.00,12.62, 5.93	35:A100,33.40,100.00,56.58,18.54	40:B000,35.50,100.00,90.12,20.27	45:A100,31.30,100.00,31.21,16.77	
0:A100,33.50,100.00, 7.49,17.04	5:A100,34.80,100.00,15.72,134.05	10:A100,30.90,100.00, 8.66,10.98	15:B220,32.20,100.00,218.44, 0.74	20:A100,33.10,100.00,65.49,25.37	25:A100,35.90,100.00,11.47,25.36	30:A100,32.10,100.00,12.62, 5.93	35:A100,33.90,100.00,56.58,18.54	40:A100,36.00,100.00,90.12,20.27	45:A100,31.80,100.00,31.21,16.77	
0:A100,34.00,100.00, 7.49,17.04	5:C180,35.70,100.00,15.72,161.78	10:A100,31.40,100.00, 8.66,10.98	15:B220,33.30,100.00,219.87, 0.74	20:A100,33.60,100.00,65.49,25.37	25:A100,36.40,100.00,11.47,25.36	30:A100,32.60,100.00,12.62, 5.93	35:A100,34.40,100.00,56.58,18.54	40:B220,37.10,100.00,165.31,20.27	45:A100,32.30,100.00,31.21,16.77	
0:A100,34.50,100.00, 7.49,17.04	5:C000,35.70,100.00,15.72,64.14	10:A100,31.90,100.00, 8.66,10.98	15:B220,34.40,100.00,219.99, 0.74	20:A100,34.10,100.00,65.49,25.37	25:A100,36.90,100.00,11.47,25.36	30:A100,33.10,100.00,12.62, 5.93	35:A100,34.90,100.00,56.58,18.54	40:B220,38.20,100.00,196.97,20.27	45:A100,32.80,100.00,31.21,16.77	
0:A100,35.00,100.00, 7.49,17.04	5:A100,36.20,100.00,15.72,64.14	10:A100,32.40,100.00, 8.66,10.98	15:B220,35.50,100.00,220.00, 0.74	20:A100,34.60,100.00,65.49,25.37	25:A100,37.40,100.00,11.47,25.36	30:A100,33.60,100.00,12.62, 5.93	35:A100,35.40,100.00,56.58,18.54	40:B220,39.30,100.00,210.30,20.27	45:A100,33.30,100.00,31.21,16.77	
0:A100,35.50,100.00, 7.49,17.04	5:A100,36.70,100.00,15.72,64.14	10:A100,32.90,100.00, 8.66,10.98	15:B220,36.60,100.00,220.00, 0.74	20:A100,35.10,100.00,65.49,25.37	25:A100,37.90,100.00,11.47,25.36	30:A100,34.10,100.00,12.62, 5.93	35:A100,35.90,100.00,56.58,18.54	40:B220,40.40,100.00,215.92,20.27	45:A100,33.80,100.00,31.21,16.77	
0:A100,36.00,100.00, 7.49,17.04	5:A100,37.20,100.00,15.72,64.14	10:A100,33.40,100.00, 8.66,10.98	15:B000,36.60,100.00,18.93, 0.74	20:A100,35.60,100.00,65.49,25.37	25:A100,38.40,100.00,11.47,25.36	30:A100,34.60,100.00,12.62, 5.93	35:A100,36.40,100.00,56.58,18.54	40:B220,41.50,100.00,218.28,20.27	45:A100,34.30,100.00,31.21,16.77	
0:A100,36.50,100.00, 7.49,17.04	5:A100,37.70,100.00,15.72,64.14	10:A100,33.90,100.00, 8.66,10.98	15:A100,37.10,100.00,18.93, 0.74	20:A100,36.10,100.00,65.49,25.37	25:A100,38.90,100.00,11.47,25.36	30:A100,35.10,100.00,12.62, 5.93	35:A100,36.90,100.00,56.58,18.54	40:B000,41.50,100.00,91.92,20.27	45:A100,34.80,100.00,31.21,16.77	
0:A100,37.00,100.00, 7.49,17.04	5:A100,38.20,100.00,15.72,64.14	10:A100,34.40,100.00, 8.66,10.98	15:A100,37.60,100.00,18.93, 0.74	20:B000,36.10,100.00,32.99,25.37	25:A100,39.40,100.00,11.47,25.36	30:A100,35.60,100.00,12.62, 5.93	35:A100,37.40,100.00,56.58,18.54	40:B000,41.50,100.00,38.71,20.27	45:A100,35.30,100.00,31.21,16.77	
0:A100,37.50,100.00, 7.49,17.04	5:A100,38.70,100.00,15.72,64.14	10:A100,34.90,100.00, 8.66,10.98	15:A100,38.10,100.00,18.93, 0.74	20:A100,36.60,100.00,32.99,25.37	25:A100,39.90,100.00,11.47,25.36	30:A100,36.10,100.00,12.62, 5.93	35:A100,37.90,100.00,56.58,18.54	40:A100,42.00,100.00,38.71,20.27	45:A100,35.80,100.00,31.21,16.77	
0:A100,38.00,100.00, 7.49,17.04	5:C180,39.60,100.00,15.72,134.07	10:A100,35.40,100.00, 8.66,10.98	15:A100,38.60,100.00,18.93, 0.74	20:A100,37.10,100.00,32.99,25.37	25:A100,40.40,100.00,11.47,25.36	30:A100,36.60,100.00,12.62, 5.93	35:A100,38.40,100.00,56.58,18.54	40:A100,42.50,100.00,38.71,20.27	45:A100,36.30,100.00,31.21,16.77	
0:A100,38.50,100.00, 7.49,17.04	5:C000,39.60,100.00,15.72,53.15	10:A100,35.90,100.00, 8.66,10.98	15:A100,39.10,100.00,18.93, 0.74	20:A100,37.60,100.00,32.99,25.37	25:A100,40.90,100.00,11.47,25.36	30:A100,37.10,100.00,12.62, 5.93	35:A100,38.90,100.00,56.58,18.54	40:A100,43.00,100.00,38.71,20.27	45:A100,36.80,100.00,31.21,16.77	
0:A100,39.00,100.00, 7.49,17.04	5:A100,40.10,100.00,15.72,53.15	10:A100,36.40,100.00, 8.66,10.98	15:A100,39.60,100.00,18.93, 0.74	20:A100,38.10,100.00,32.99,25.37	25:A100,41.40,100.00,11.47,25.36	30:A100,37.60,100.00,12.62, 5.93	35:A100,39.40,100.00,56.58,18.54	40:A100,43.50,100.00,38.71,20.27	45:A100,37.30,100.00,31.21,16.77	
0:A100,39.50,100.00, 7.49,17.04	5:C000,40.10,100.00,15.72,21.07	10:A100,36.90,100.00, 8.66,10.98	15:A100,40.10,100.00,18.93, 0.74	20:A100,38.60,100.00,32.99,25.37	25:A100,41.90,100.00,11.47,25.36	30:A100,38.10,100.00,12.62, 5.93	35:A100,39.90,100.00,56.58,18.54	40:A100,44.00,100.00,38.71,20.27	45:A100,37.80,100.00,31.21,16.77	
0:A100,40.00,100.00, 7.49,17.04	5:A100,40.60,100.00,15.72,21.07	10:A100,37.40,100.00, 8.66,10.98	15:A100,40.60,100.00,18.93, 0.74	20:A100,39.10,100.00,32.99,25.37	25:A100,42.40,100.00,11.47,25.36	30:A100,38.60,100.00,12.62, 5.93	35:B000,39.90,100.00,18.93,18.54	40:A100,44.50,100.00,38.71,20.27	45:A100,38.30,100.00,31.21,16.77	
0:A100,40.50,100.00, 7.49,17.04	5:B000,40.60,100.00, 6.23,21.07	10:A100,37.90,100.00, 8.66,10.98	15:A100,41.10,100.00,18.93, 0.74	20:A100,39.60,100.00,32.99,25.37	25:A100,42.90,100.00,11.47,25.36	30:A100,39.10,100.00,12.62, 5.93	35:A100,40.40,100.00,18.93,18.54	40:A100,45.00,100.00,38.71,20.27	45:A100,38.80,100.00,31.21,16.77	
0:A100,41.00,100.00, 7.49,17.04	5:A100,41.10,100.00, 6.23,21.07	10:A100,38.40,100.00, 8.66,10.98	15:A100,41.60,100.00,18.93, 0.74	20:A100,40.10,100.00,32.99,25.37	25:A100,43.40,100.00,11.47,25.36	30:A100,39.60,100.00,12.62, 5.93	35:A100,40.90,100.00,18.93,18.54	40:A100,45.50,100.00,38.71,20.27	45:A100,39.30,100.00,31.21,16.77	
0:A100,41.50,100.00, 7.49,17.04	5:A100,41.60,100.00, 6.23,21.07	10:A100,38.90,100.00, 8.66,10.98	15:A100,42.10,100.00,18.93, 0.74	20:A100,40.60,100.00,32.99,25.37	25:A100,43.90,100.00,11.47,25.36	30:A100,40.10,100.00,12.62, 5.93	35:A100,41.40,100.00,18.93,18.54	40:A100,46.00,100.00,38.71,20.27	45:A100,39.80,100.00,31.21,16.77	
0:A100,42.00,100.00, 7.49,17.04	5:A100,42.10,100.00, 6.23,21.07	10:A100,39.40,100.00, 8.66,10.98	15:A100,42.60,100.00,18.93, 0.74	20:A100,41.10,100.00,32.99,25.37	25:A100,44.40,100.00,11.47,25.36	30:A100,40.60,100.00,12.62, 5.93	35:A100,41.90,100.00,18.93,18.54	40:A100,46.50,100.00,38.71,20.27	45:A100,40.30,100.00,31.21,16.77	
0:B000,42.00,100.00, 2.68,17.04	5:C000,42.10,100.00, 6.23, 8.35	10:A100,39.90,100.00, 8.66,10.98	15:A100,43.10,100.00,18.93, 0.74	20:A100,41.60,100.00,32.99,25.37	25:A100,44.90,100.00,11.47,25.36	30:A100,41.10,100.00,12.62, 5.93	35:A100,42.40,100.00,18.93,18.54	40:A100,47.00,100.00,38.71,20.27	45:A100,40.80,100.00,31.21,16.77	
0:A100,42.50,100.00, 2.68,17.04	5:A100,42.60,100.00, 6.23, 8.35	10:A100,40.40,100.00, 8.66,10.98	15:A100,43.60,100.00,18.93, 0.74	20:A100,42.10,100.00,32.99,25.37	25:A100,45.40,100.00,11.47,25.36	30:A100,41.60,100.00,12.62, 5.93	35:A100,42.90,100.00,18.93,18.54	40:A100,47.50,100.00,38.71,20.27	45:A100,41.30,100.00,31.21,16.77	
0:A100,43.00,100.00, 2.68,17.04	5:A100,43.10,100.00, 6.23, 8.35	10:A100,40.90,100.00, 8.66,10.98	15:B220,44.70,100.00,202.70, 0.74	20:A100,42.60,100.00,32.99,25.37	25:A100,45.90,100.00,11.47,25.36	30:A100,42.10,100.00,12.62, 5.93	35:A100,43.40,100.00,18.93,18.54	40:A100,48.00,100.00,38.71,20.27	45:B000,41.30,100.00, 9.74,16.77	
0:A100,43.50,100.00, 2.68,17.04	5:A100,43.60,100.00, 6.23, 8.35	10:A100,41.40,100.00, 8.66,10.98	15:B000,44.70,100.00,17.44, 0.74	20:A100,43.10,100.00,32.99,25.37	25:A100,46.40,100.00,11.47,25.36	30:A100,42.60,100.00,12.62, 5.93	35:A100,43.90,100.00,18.93,18.54	40:A100,48.50,100.00,38.71,20.27	45:A100,41.80,100.00, 9.74,16.77	
0:A100,44.00,100.00, 2.68,17.04	5:A100,44.10,100.00, 6.23, 8.35	10:A100,41.90,100.00, 8.66,10.98	15:A100,45.20,100.00,17.44, 0.74	20:A100,43.60,100.00,32.99,25.37	25:A100,46.90,100.00,11.47,25.36	30:A100,43.10,100.00,12.62, 5.93	35:A100,44.40,100.00,18.93,18.54	40:A100,49.00,100.00,38.71,20.27	45:A100,42.30,100.00, 9.74,16.77	
0:A100,44.50,100.00, 2.68,17.04	5:A100,44.60,100.00, 6.23, 8.35	10:A100,42.40,100.00, 8.66,10.98	15:A100,45.70,100.00,17.44, 0.74	20:A100,44.10,100.00,32.99,25.37	25:A100,47.40,100.00,11.47,25.36	30:A100,43.60,100.00,12.62, 5.93	35:A100,44.90,100.00,18.93,18.54	40:A100,49.50,100.00,38.71,20.27	45:A100,42.80,100.00, 9.74,16.77	
0:A100,45.00,100.00, 2.68,17.04	5:A100,45.10,100.00, 6.23, 8.35	10:A100,42.90,100.00, 8.66,10.98	15:A100,46.20,100.00,17.44, 0.74	20:A100,44.60,100.00,32.99,25.37	25:A100,47.90,100.00,11.47,25.36	30:A100,44.10,100.00,12.62, 5.93	35:A100,45.40,100.00,18.93,18.54	40:A100,50.00,100.00,38.71,20.27	45:A100,43.30,100.00, 9.74,16.77	
0:A100,45.50,100.00, 2.68,17.04	5:A100,45.60,100.00, 6.23, 8.35	10:A100,43.40,100.00, 8.66,10.98	15:A100,46.70,100.00,17.44, 0.74	20:A100,45.10,100.00,32.99,25.37	25:A100,48.40,100.00,11.47,25.36	30:A100,44.60,100.00,12.62, 5.93	35:A100,45.90,100.00,18.93,18.54	40:A100,50.50,100.00,38.71,20.27	45:A100,43.80,100.00, 9.74,16.77	
0:A100,46.00,100.00, 2.68,17.04	5:A100,46.10,100.00, 6.23, 8.35	10:A100,43.90,100.00, 8.66,10.98	15:A100,47.20,100.00,17.44, 0.74	20:A100,45.60,100.00,32.99,25.37	25:A100,48.90,100.00,11.47,25.36	30:A100,45.10,100.00,12.62, 5.93	35:A100,46.40,100.00,18.93,18.54	40:A100,51.00,100.00,38.71,20.27	45:A100,44.30,100.00, 9.74,16.77	
0:A100,46.50,100.00, 2.68,17.04	5:A100,46.60,100.00, 6.23, 8.35	10:A100,44.40,100.00, 8.66,10.98	15:A100,47.70,100.00,17.44, 0.74	20:A100,46.10,100.00,32.99,25.37	25:A100,49.40,100.00,11.47,25.36	30:A100,45.60,100.00,12.62, 5.93	35:A100,46.90,100.00,18.93,18.54	40:A100,51.50,100.00,38.71,20.27	45:A100,44.80,100.00, 9.74,16.77	
0:A100,47.00,100.00, 2.68,17.04	5:B000,46.60,100.00, 2.47, 8.35	10:A100,44.90,100.00, 8.66,10.98	15:A100,48.20,100.00,17.44, 0.74	20:C000,46.10,100.00,32.99,12.78	25:A100,49.90,100.00,11.47,25.36	30:A100,46.10,100.00,12.62, 5.93	35:A100,47.40,100.00,18.93,18.54	40:A100,52.00,100.00,38.71,20.27	45:A100,45.30,100.00, 9.74,16.77	
0:A100,47.50,100.00, 2.68,17.04	5:A100,47.10,100.00, 2.47, 8.35	10:A100,45.40,100.00, 8.66,10.98	15:A100,48.70,100.00,17.44, 0.74	20:A100,46.60,100.00,32.99,12.78	25:A100,50.40,100.00,11.47,25.36	30:A100,46.60,100.00,12.62, 5.93	35:A100,47.90,100.00,18.93,18.54	40:A100,52.50,100.00,38.71,20.27	45:A100,45.80,100.00, 9.74,16.77	
0:A100,48.00,100.00, 2.68,17.04	5:A100,47.60,100.00, 2.47, 8.35	10:A100,45.90,100.00, 8.66,10.98	15:A100,49.20,100.00,17.44, 0.74	20:A100,47.10,100.00,32.99,12.78	25:A100,50.90,100.00,11.47,25.36	30:A100,47.10,100.00,12.62, 5.93	35:A100,48.40,100.00,18.93,18.54	40:A100,53.00,100.00,38.71,20.27	45:A100,46.30,100.00, 9.74,16.77	
0:A100,48.50,100.00, 2.68,17.04	5:A100,48.10,100.00, 2.47, 8.35	10:A100,46.40,100.00, 8.66,10.98	15:A100,49.70,100.00,17.44, 0.74	20:A100,47.60,100.00,32.99,12.78	25:A100,51.40,100.00,11.47,25.36	30:A100,47.60,100.00,12.62, 5.93	35:A100,48.90,100.00,18.93,18.54	40:A100,53.50,100.00,38.71,20.27	45:A100,46.80,100.00, 9.74,16.77	
0:A100,49.00,100.00, 2.68,17.04	5:A100,48.60,100.00, 2.47, 8.35	10:A100,46.90,100.00, 8.66,10.98	15:A100,50.20,100.00,17.44, 0.74	20:A100,48.10,100.00,32.99,12.78	25:A100,51.90,100.00,11.47,25.36	30:A100,48.10,100.00,12.62, 5.93	35:A100,49.40,100.00,18.93,18.54	40:A100,54.00,100.00,38.71,20.27	45:A100,47.30,100.00, 9.74,16.77	
0:A100,49.50,100.00, 2.68,17.04	5:A100,49.10,100.00, 2.47, 8.35	10:A100,47.40,100.00, 8.66,10.98	15:A100,50.70,100.00,17.44, 0.74	20:A100,48.60,100.00,32.99,12.78	25:A100,52.40,100.00,11.47,25.36	30:C000,48.10,100.00,12.62, 0.35	35:A100,49.90,100.00,18.93,18.54	40:A100,54.50,100.00,38.71,20.27	45:A100,47.80,100.00, 9.74,16.77	
0:A100,50.00,100.00, 2.68,17.04	5:A100,49.60,100.00, 2.47, 8.35	10:A100,47.90,100.00, 8.66,10.98	15:A100,51.20,100.00,17.44, 0.74	20:A100,49.10,100.00,32.99,12.78	25:A100,52.90,100.00,11.47,25.36	30:A100,48.60,100.00,12.62, 0.35	35:A100,50.40,100.00,18.93,18.54	40:A100,55.00,100.00,38.71,20.27	45:A100,48.30,100.00, 9.74,16.77	
0:A100,50.50,100.00, 2.68,17.04	5:A100,50.10,100.00, 2.47, 8.35	10:A100,48.40,100.00, 8.66,10.98	15:A100,51.70,100.00,17.44, 0.74	20:A100,49.60,100.00,32.99,12.78	25:A100,53.40,100.00,11.47,25.36	30:A100,49.10,100.00,12.62, 0.35	35:A100,50.90,100.00,18.93,18.54	40:A100,55.50,100.00,38.71,20.27	45:A100,48.80,100.00, 9.74,16.77	
0:A100,51.00,100.00, 2.68,17.04	5:A100,50.60,100.00, 2.47, 8.35	10:C180,49.30,100.00, 8.66,105.22	15:A100,52.20,100.00,17.44, 0.74	20:A100,50.10,100.00,32.99,12.78	25:A100,53.90,100.00,11.47,25.36	30:A100,49.60,100.00,12.62, 0.35	35:A100,51.40,100.00,18.93,18.54	40:A100,56.00,100.00,38.71,20.27	45:A100,49.30,100.00, 9.74,16.77	
0:A100,51.50,100.00, 2.68,17.04	5:A100,51.10,100.00, 2.47, 8.35	10:A100,49.80,100.00, 8.66,105.22	15:A100,52.70,100.00,17.44, 0.74	20:A100,50.60,100.00,32.99,12.78	25:A100,54.40,100.00,11.47,25.36	30:A100,50.10,100.00,12.62, 0.35	35:A100,51.90,100.00,18.93,18.54	40:A100,56.50,100.00,38.71,20.27	45:A100,49.80,100.00, 9.74,16.77	
0:C180,52.40,100.00, 2.68,121.74	5:A100,51.60,100.00, 2.47, 8.35	10:C000,49.80,100.00, 8.66,46.55	15:A100,53.20,100.00,17.44, 0.74	20:B000,50.60,100.00,16.62,12.78	25:A100,54.90,100.00,11.47,25.36	30:A100,50.60,100.00,12.62, 0.35	35:A100,52.40,100.00,18.93,18.54	40:A100,57.00,100.00,38.71,20.27	45:A100,50.30,100.00, 9.74,16.77	
0:C000,52.40,100.00, 2.68,43.52	5:A100,52.10,100.00, 2.47, 8.35	10:A100,50.30,100.00, 8.66,46.55	15:A100,53.70,100.00,17.44, 0.74	20:A100,51.10,100.00,16.62,12.78	25:A100,55.40,100.00,11.47,25.36	30:A100,51.10,100.00,12.62, 0.35	35:A100,52.90,100.00,18.93,18.54	40:A100,57.50,100.00,38.71,20.27	45:A100,50.80,100.00, 9.74,16.77	
0:A100,52.90,100.00, 2.68,43.52	5:A100,52.60,100.00, 2.47, 8.35	10:A100,50.80,100.00, 8.66,46.55	15:A100,54.20,100.00,17.44, 0.74	20:A100,51.60,100.00,16.62,12.78	25:A100,55.90,100.00,11.47,25.36	30:A100,51.60,100.00,12.62, 0.35	35:A100,53.40,100.00,18.93,18.54	40:A100,58.00,100.00,38.71,20.27	45:A100,51.30,100.00, 9.74,16.77	
0:A100,53.40,100.00, 2.68,43.52	5:A100,53.10,100.00, 2.47, 8.35	10:A100,51.30,100.00, 8.66,46.55	15:A100,54.70,100.00,17.44, 0.74	20:A100,52.10,100.00,16.62,12.78	25:A100,56.40,100.00,11.47,25.36	30:A100,52.10,100.00,12.62, 0.35	35:A100,53.90,100.00,18.93,18.54	40:A100,58.50,100.00,38.71,20.27	45:A100,51.80,100.00, 9.74,16.77	
0:A100,53.90,100.00, 2.68,43.52	5:A100,53.60,100.00, 2.47, 8.35	10:A100,51.80,100.00, 8.66,46.55	15:A100,55.20,100.00,17.44, 0.74	20:A100,52.60,100.00,16.62,12.78	25:A100,56.90,100.00,11.47,25.36	30:A100,52.60,100.00,12.62, 0.35	35:A100,54.40,100.00,18.93,18.54	40:A100,59.00,100.00,38.71,20.27	45:A100,52.30,100.00, 9.74,16.77	
0:A100,54.40,100.00, 2.68,43.52	5:A100,54.10,100.00, 2.47, 8.35	10:A100,52.30,100.00, 8.66,46.55	15:A100,55.70,100.00,17.44, 0.74	20:A100,53.10,100.00,16.62,12.78	25:A100,57.40,100.00,11.47,25.36	30:A100,53.10,100.00,12.62, 0.35	35:A100,54.90,100.00,18.93,18.54	40:A100,59.50,100.00,38.71,20.27	45:A100,52.80,100.00, 9.74,16.77	
0:A100,54.90,100.00, 2.68,43.52	5:A100,54.60,100.00, 2.47, 8.35	10:A100,52.80,100.00, 8.66,46.55	15:A100,56.20,100.00,17.44, 0.74	20:A100,53.60,100.00,16.62,12.78	25:A100,57.90,100.00,11.47,25.36	30:A100,53.60,100.00,12.62, 0.35	35:A100,55.40,100.00,18.93,18.54	40:A100,60.00,100.00,38.71,20.27	45:A100,53.30,100.00, 9.74,16.77	
0:A100,55.40,100.00, 2.68,43.52	5:A100,55.10,100.00, 2.47, 8.35	10:A100,53.30,100.00, 8.66,46.55	15:A100,56.70,100.00,17.44, 0.74	20:A100,54.10,100.00,16.62,12.78	25:A100,58.40,100.00,11.47,25.36	30:A100,54.10,100.00,12.62, 0.35	35:A100,55.90,100.00,18.93,18.54	40:A100,60.50,100.00,38.71,20.27	45:A100,53.80,100.00, 9.74,16.77	
0:A100,55.90,100.00, 2.68,43.52	5:A100,55.60,100.00, 2.47, 8.35	10:A100,53.80,100.00, 8.66,46.55	15:A100,57.20,100.00,17.44, 0.74	20:A100,54.60,100.00,16.62,12.78	25:C000,58.40,100.00,11.47, 6.43	30:A100,54.60,100.00,12.62, 0.35	35:A100,56.40,100.00,18.93,18.54	40:A100,61.00,100.00,38.71,20.27	45:A100,54.30,100.00, 9.74,16.77	
0:A100,56.40,100.00, 2.68,43.52	5:A100,56.10,100.00, 2.47, 8.35	10:A100,54.30,100.00, 8.66,46.55	15:A100,57.70,100.00,17.44, 0.74	20:A100,55.10,100.00,16.62,12.78	25:A100,58.90,100.00,11.47, 6.43	30:A100,55.10,100.00,12.62, 0.35	35:A100,56.90,100.00,18.93,18.54	40:B000,61.00,100.00,16.30,20.27	45:A100,54.80,100.00, 9.74,16.77	
0:A100,56.90,100.00, 2.68,43.52	5:A100,56.60,100.00, 2.47, 8.35	10:A100,54.80,100.00, 8.66,46.55	15:A100,58.20,100.00,17.44, 0.74	20:A100,55.60,100.00,16.62,12.78	25:A100,59.40,100.00,11.47, 6.43	30:A100,55.60,100.00,12.62, 0.35	35:A100,57.40,100.00,18.93,18.54	40:A100,61.50,100.00,16.30,20.27	45:A100,55.30,100.00, 9.74,16.77	
0:A100,57.40,100.00, 2.68,43.52	5:A100,57.10,100.00, 2.47, 8.35	10:A100,55.30,100.00, 8.66,46.55	15:A100,58.70,100.00,17.44, 0.74	20:A100,56.10,100.00,16.62,12.78	25:A100,59.90,100.00,11.47, 6.43	30:A100,56.10,100.00,12.62, 0.35	35:A100,57.90,100.00,18.93,18.54	40:A100,62.00,100.00,16.30,20.27	45:A100,55.80,100.00, 9.74,16.77	
0:A100,57.90,100.00, 2.68,43.52	5:A100,57.60,100.00, 2.47, 8.35	10:A100,55.80,100.00, 8.66,46.55	15:A100,59.20,100.00,17.44, 0.74	20:A100,56.60,100.00,16.62,12.78	25:A100,60.40,100.00,11.47, 6.43	30:A100,56.60,100.00,12.62, 0.35	35:A100,58.40,100.00,18.93,18.54	40:C180,62.90,100.00,16.30,112.74	45:A100,56.30,100.00, 9.74,16.77	
