each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:B220, 1.10,100.00,177.10,100.00	5:B000, 0.00,100.00,39.65,100.00	10:C180, 0.90,100.00,100.00,144.61	15:B000, 0.00,100.00, 8.60,100.00	20:C000, 0.00,100.00,100.00,50.37	25:C000, 0.00,100.00,100.00,25.36	30:A100, 0.50,100.00,100.00,100.00	35:C180, 0.90,100.00,100.00,153.23	40:A100, 0.50,100.00,100.00,100.00	45:C180, 0.90,100.00,100.00,155.03	
0:A100, 8.30,100.00,58.62,63.88	5:A100, 6.20,100.00,15.72,53.50	10:A100, 7.00,100.00,19.57,59.72	15:A100, 5.50,100.00, 8.60, 0.74	20:C000, 8.00,100.00,82.13,25.37	25:B220,11.30,100.00,220.00,25.36	30:A100, 6.60,100.00,12.62, 5.93	35:A100, 6.70,100.00,33.46,55.40	40:A100,10.20,100.00,91.97,73.28	45:A100, 6.30,100.00,31.21,16.77	
0:A100, 8.80,100.00,58.62,63.88	5:A100, 6.70,100.00,15.72,53.50	10:A100, 7.50,100.00,19.57,59.72	15:A100, 6.00,100.00, 8.60, 0.74	20:A100, 8.50,100.00,82.13,25.37	25:B000,11.30,100.00,55.79,25.36	30:A100, 7.10,100.00,12.62, 5.93	35:A100, 7.20,100.00,33.46,55.40	40:A100,10.70,100.00,91.97,73.28	45:A100, 6.80,100.00,31.21,16.77	
0:A100, 9.30,100.00,58.62,63.88	5:A100, 7.20,100.00,15.72,53.50	10:A100, 8.00,100.00,19.57,59.72	15:A100, 6.50,100.00, 8.60, 0.74	20:A100, 9.00,100.00,82.13,25.37	25:A100,11.80,100.00,55.79,25.36	30:A100, 7.60,100.00,12.62, 5.93	35:A100, 7.70,100.00,33.46,55.40	40:A100,11.20,100.00,91.97,73.28	45:A100, 7.30,100.00,31.21,16.77	
0:B000, 9.30,100.00,20.96,63.88	5:A100, 7.70,100.00,15.72,53.50	10:A100, 8.50,100.00,19.57,59.72	15:A100, 7.00,100.00, 8.60, 0.74	20:B000, 9.00,100.00,41.37,25.37	25:A100,12.30,100.00,55.79,25.36	30:A100, 8.10,100.00,12.62, 5.93	35:A100, 8.20,100.00,33.46,55.40	40:A100,11.70,100.00,91.97,73.28	45:A100, 7.80,100.00,31.21,16.77	
0:A100, 9.80,100.00,20.96,63.88	5:A100, 8.20,100.00,15.72,53.50	10:A100, 9.00,100.00,19.57,59.72	15:A100, 7.50,100.00, 8.60, 0.74	20:A100, 9.50,100.00,41.37,25.37	25:B220,13.40,100.00,178.36,25.36	30:A100, 8.60,100.00,12.62, 5.93	35:A100, 8.70,100.00,33.46,55.40	40:B220,12.80,100.00,166.09,73.28	45:A100, 8.30,100.00,31.21,16.77	
0:A100,10.30,100.00,20.96,63.88	5:A100, 8.70,100.00,15.72,53.50	10:A100, 9.50,100.00,19.57,59.72	15:A100, 8.00,100.00, 8.60, 0.74	20:A100,10.00,100.00,41.37,25.37	25:B000,13.40,100.00,45.23,25.36	30:A100, 9.10,100.00,12.62, 5.93	35:B220, 9.80,100.00,157.59,55.40	40:B000,12.80,100.00,69.94,73.28	45:A100, 8.80,100.00,31.21,16.77	
0:A100,10.80,100.00,20.96,63.88	5:A100, 9.20,100.00,15.72,53.50	10:A100,10.00,100.00,19.57,59.72	15:A100, 8.50,100.00, 8.60, 0.74	20:A100,10.50,100.00,41.37,25.37	25:B000,13.40,100.00,11.47,25.36	30:A100, 9.60,100.00,12.62, 5.93	35:B220,10.90,100.00,199.12,55.40	40:A100,13.30,100.00,69.94,73.28	45:A100, 9.30,100.00,31.21,16.77	
0:C180,11.70,100.00,20.96,138.49	5:A100, 9.70,100.00,15.72,53.50	10:A100,10.50,100.00,19.57,59.72	15:A100, 9.00,100.00, 8.60, 0.74	20:A100,11.00,100.00,41.37,25.37	25:A100,13.90,100.00,11.47,25.36	30:A100,10.10,100.00,12.62, 5.93	35:B000,10.90,100.00,66.62,55.40	40:C180,14.20,100.00,69.94,135.06	45:A100, 9.80,100.00,31.21,16.77	
0:C180,12.60,100.00,20.96,165.16	5:A100,10.20,100.00,15.72,53.50	10:A100,11.00,100.00,19.57,59.72	15:A100, 9.50,100.00, 8.60, 0.74	20:A100,11.50,100.00,41.37,25.37	25:A100,14.40,100.00,11.47,25.36	30:A100,10.60,100.00,12.62, 5.93	35:B220,12.00,100.00,168.68,55.40	40:C000,14.20,100.00,69.94,56.88	45:A100,10.30,100.00,31.21,16.77	
0:C000,12.60,100.00,20.96,59.04	5:A100,10.70,100.00,15.72,53.50	10:A100,11.50,100.00,19.57,59.72	15:A100,10.00,100.00, 8.60, 0.74	20:A100,12.00,100.00,41.37,25.37	25:A100,14.90,100.00,11.47,25.36	30:A100,11.10,100.00,12.62, 5.93	35:B220,13.10,100.00,202.83,55.40	40:A100,14.70,100.00,69.94,56.88	45:A100,10.80,100.00,31.21,16.77	
0:C180,13.50,100.00,20.96,136.76	5:A100,11.20,100.00,15.72,53.50	10:A100,12.00,100.00,19.57,59.72	15:A100,10.50,100.00, 8.60, 0.74	20:A100,12.50,100.00,41.37,25.37	25:A100,15.40,100.00,11.47,25.36	30:A100,11.60,100.00,12.62, 5.93	35:B000,13.10,100.00,67.86,55.40	40:A100,15.20,100.00,69.94,56.88	45:A100,11.30,100.00,31.21,16.77	
0:C180,14.40,100.00,20.96,164.54	5:A100,11.70,100.00,15.72,53.50	10:A100,12.50,100.00,19.57,59.72	15:A100,11.00,100.00, 8.60, 0.74	20:A100,13.00,100.00,41.37,25.37	25:A100,15.90,100.00,11.47,25.36	30:A100,12.10,100.00,12.62, 5.93	35:A100,13.60,100.00,67.86,55.40	40:A100,15.70,100.00,69.94,56.88	45:A100,11.80,100.00,31.21,16.77	
0:C180,15.30,100.00,20.96,174.47	5:A100,12.20,100.00,15.72,53.50	10:A100,13.00,100.00,19.57,59.72	15:A100,11.50,100.00, 8.60, 0.74	20:A100,13.50,100.00,41.37,25.37	25:A100,16.40,100.00,11.47,25.36	30:A100,12.60,100.00,12.62, 5.93	35:C000,13.60,100.00,67.86,18.54	40:A100,16.20,100.00,69.94,56.88	45:A100,12.30,100.00,31.21,16.77	
0:C180,16.20,100.00,20.96,178.02	5:A100,12.70,100.00,15.72,53.50	10:A100,13.50,100.00,19.57,59.72	15:A100,12.00,100.00, 8.60, 0.74	20:A100,14.00,100.00,41.37,25.37	25:A100,16.90,100.00,11.47,25.36	30:A100,13.10,100.00,12.62, 5.93	35:A100,14.10,100.00,67.86,18.54	40:A100,16.70,100.00,69.94,56.88	45:A100,12.80,100.00,31.21,16.77	
0:C000,16.20,100.00,20.96,63.64	5:C180,13.60,100.00,15.72,129.85	10:A100,14.00,100.00,19.57,59.72	15:A100,12.50,100.00, 8.60, 0.74	20:A100,14.50,100.00,41.37,25.37	25:A100,17.40,100.00,11.47,25.36	30:A100,13.60,100.00,12.62, 5.93	35:A100,14.60,100.00,67.86,18.54	40:A100,17.20,100.00,69.94,56.88	45:A100,13.30,100.00,31.21,16.77	
0:A100,16.70,100.00,20.96,63.64	5:C180,14.50,100.00,15.72,160.12	10:A100,14.50,100.00,19.57,59.72	15:A100,13.00,100.00, 8.60, 0.74	20:A100,15.00,100.00,41.37,25.37	25:A100,17.90,100.00,11.47,25.36	30:A100,14.10,100.00,12.62, 5.93	35:A100,15.10,100.00,67.86,18.54	40:B000,17.20,100.00,29.45,56.88	45:A100,13.80,100.00,31.21,16.77	
0:B000,16.70,100.00, 7.49,63.64	5:C180,15.40,100.00,15.72,172.12	10:A100,15.00,100.00,19.57,59.72	15:A100,13.50,100.00, 8.60, 0.74	20:A100,15.50,100.00,41.37,25.37	25:A100,18.40,100.00,11.47,25.36	30:A100,14.60,100.00,12.62, 5.93	35:A100,15.60,100.00,67.86,18.54	40:A100,17.70,100.00,29.45,56.88	45:A100,14.30,100.00,31.21,16.77	
0:C180,17.60,100.00, 7.49,138.40	5:C180,16.30,100.00,15.72,176.88	10:A100,15.50,100.00,19.57,59.72	15:A100,14.00,100.00, 8.60, 0.74	20:A100,16.00,100.00,41.37,25.37	25:A100,18.90,100.00,11.47,25.36	30:A100,15.10,100.00,12.62, 5.93	35:A100,16.10,100.00,67.86,18.54	40:A100,18.20,100.00,29.45,56.88	45:A100,14.80,100.00,31.21,16.77	
0:C000,17.60,100.00, 7.49,49.48	5:C180,17.20,100.00,15.72,178.76	10:A100,16.00,100.00,19.57,59.72	15:A100,14.50,100.00, 8.60, 0.74	20:A100,16.50,100.00,41.37,25.37	25:A100,19.40,100.00,11.47,25.36	30:A100,15.60,100.00,12.62, 5.93	35:B220,17.20,100.00,169.10,18.54	40:A100,18.70,100.00,29.45,56.88	45:A100,15.30,100.00,31.21,16.77	
0:A100,18.10,100.00, 7.49,49.48	5:C000,17.20,100.00,15.72,70.87	10:A100,16.50,100.00,19.57,59.72	15:A100,15.00,100.00, 8.60, 0.74	20:A100,17.00,100.00,41.37,25.37	25:A100,19.90,100.00,11.47,25.36	30:A100,16.10,100.00,12.62, 5.93	35:B220,18.30,100.00,202.97,18.54	40:A100,19.20,100.00,29.45,56.88	45:A100,15.80,100.00,31.21,16.77	
0:A100,18.60,100.00, 7.49,49.48	5:A100,17.70,100.00,15.72,70.87	10:C180,17.40,100.00,19.57,126.79	15:A100,15.50,100.00, 8.60, 0.74	20:A100,17.50,100.00,41.37,25.37	25:A100,20.40,100.00,11.47,25.36	30:A100,16.60,100.00,12.62, 5.93	35:B000,18.30,100.00,67.91,18.54	40:A100,19.70,100.00,29.45,56.88	45:A100,16.30,100.00,31.21,16.77	
0:A100,19.10,100.00, 7.49,49.48	5:A100,18.20,100.00,15.72,70.87	10:C000,17.40,100.00,19.57,56.09	15:A100,16.00,100.00, 8.60, 0.74	20:A100,18.00,100.00,41.37,25.37	25:A100,20.90,100.00,11.47,25.36	30:A100,17.10,100.00,12.62, 5.93	35:A100,18.80,100.00,67.91,18.54	40:C000,19.70,100.00,29.45,23.95	45:A100,16.80,100.00,31.21,16.77	
0:A100,19.60,100.00, 7.49,49.48	5:A100,18.70,100.00,15.72,70.87	10:A100,17.90,100.00,19.57,56.09	15:A100,16.50,100.00, 8.60, 0.74	20:A100,18.50,100.00,41.37,25.37	25:A100,21.40,100.00,11.47,25.36	30:A100,17.60,100.00,12.62, 5.93	35:A100,19.30,100.00,67.91,18.54	40:A100,20.20,100.00,29.45,23.95	45:A100,17.30,100.00,31.21,16.77	
0:A100,20.10,100.00, 7.49,49.48	5:A100,19.20,100.00,15.72,70.87	10:A100,18.40,100.00,19.57,56.09	15:A100,17.00,100.00, 8.60, 0.74	20:A100,19.00,100.00,41.37,25.37	25:A100,21.90,100.00,11.47,25.36	30:A100,18.10,100.00,12.62, 5.93	35:A100,19.80,100.00,67.91,18.54	40:A100,20.70,100.00,29.45,23.95	45:A100,17.80,100.00,31.21,16.77	
0:A100,20.60,100.00, 7.49,49.48	5:A100,19.70,100.00,15.72,70.87	10:A100,18.90,100.00,19.57,56.09	15:A100,17.50,100.00, 8.60, 0.74	20:A100,19.50,100.00,41.37,25.37	25:A100,22.40,100.00,11.47,25.36	30:A100,18.60,100.00,12.62, 5.93	35:A100,20.30,100.00,67.91,18.54	40:A100,21.20,100.00,29.45,23.95	45:A100,18.30,100.00,31.21,16.77	
0:A100,21.10,100.00, 7.49,49.48	5:C180,20.60,100.00,15.72,136.74	10:A100,19.40,100.00,19.57,56.09	15:A100,18.00,100.00, 8.60, 0.74	20:B220,20.60,100.00,130.02,25.37	25:A100,22.90,100.00,11.47,25.36	30:A100,19.10,100.00,12.62, 5.93	35:A100,20.80,100.00,67.91,18.54	40:A100,21.70,100.00,29.45,23.95	45:A100,18.80,100.00,31.21,16.77	
0:A100,21.60,100.00, 7.49,49.48	5:C180,21.50,100.00,15.72,162.85	10:C000,19.40,100.00,19.57,24.82	15:A100,18.50,100.00, 8.60, 0.74	20:B000,20.60,100.00,65.49,25.37	25:A100,23.40,100.00,11.47,25.36	30:A100,19.60,100.00,12.62, 5.93	35:A100,21.30,100.00,67.91,18.54	40:A100,22.20,100.00,29.45,23.95	45:A100,19.30,100.00,31.21,16.77	
0:A100,22.10,100.00, 7.49,49.48	5:C180,22.40,100.00,15.72,173.20	10:C000,19.40,100.00,19.57,10.98	15:A100,19.00,100.00, 8.60, 0.74	20:A100,21.10,100.00,65.49,25.37	25:A100,23.90,100.00,11.47,25.36	30:A100,20.10,100.00,12.62, 5.93	35:A100,21.80,100.00,67.91,18.54	40:A100,22.70,100.00,29.45,23.95	45:A100,19.80,100.00,31.21,16.77	
0:A100,22.60,100.00, 7.49,49.48	5:C000,22.40,100.00,15.72,68.67	10:A100,19.90,100.00,19.57,10.98	15:A100,19.50,100.00, 8.60, 0.74	20:A100,21.60,100.00,65.49,25.37	25:A100,24.40,100.00,11.47,25.36	30:A100,20.60,100.00,12.62, 5.93	35:B220,22.90,100.00,169.11,18.54	40:A100,23.20,100.00,29.45,23.95	45:A100,20.30,100.00,31.21,16.77	
0:A100,23.10,100.00, 7.49,49.48	5:C180,23.30,100.00,15.72,135.86	10:A100,20.40,100.00,19.57,10.98	15:A100,20.00,100.00, 8.60, 0.74	20:A100,22.10,100.00,65.49,25.37	25:A100,24.90,100.00,11.47,25.36	30:A100,21.10,100.00,12.62, 5.93	35:B000,22.90,100.00,56.58,18.54	40:A100,23.70,100.00,29.45,23.95	45:A100,20.80,100.00,31.21,16.77	
0:C180,24.00,100.00, 7.49,133.34	5:C000,23.30,100.00,15.72,53.86	10:A100,20.90,100.00,19.57,10.98	15:A100,20.50,100.00, 8.60, 0.74	20:A100,22.60,100.00,65.49,25.37	25:A100,25.40,100.00,11.47,25.36	30:A100,21.60,100.00,12.62, 5.93	35:A100,23.40,100.00,56.58,18.54	40:A100,24.20,100.00,29.45,23.95	45:A100,21.30,100.00,31.21,16.77	
0:A100,24.50,100.00, 7.49,133.34	5:A100,23.80,100.00,15.72,53.86	10:A100,21.40,100.00,19.57,10.98	15:A100,21.00,100.00, 8.60, 0.74	20:A100,23.10,100.00,65.49,25.37	25:A100,25.90,100.00,11.47,25.36	30:A100,22.10,100.00,12.62, 5.93	35:A100,23.90,100.00,56.58,18.54	40:A100,24.70,100.00,29.45,23.95	45:A100,21.80,100.00,31.21,16.77	
0:C000,24.50,100.00, 7.49,47.67	5:A100,24.30,100.00,15.72,53.86	10:A100,21.90,100.00,19.57,10.98	15:A100,21.50,100.00, 8.60, 0.74	20:A100,23.60,100.00,65.49,25.37	25:A100,26.40,100.00,11.47,25.36	30:A100,22.60,100.00,12.62, 5.93	35:A100,24.40,100.00,56.58,18.54	40:A100,25.20,100.00,29.45,23.95	45:A100,22.30,100.00,31.21,16.77	
0:A100,25.00,100.00, 7.49,47.67	5:C180,25.20,100.00,15.72,129.99	10:A100,22.40,100.00,19.57,10.98	15:A100,22.00,100.00, 8.60, 0.74	20:A100,24.10,100.00,65.49,25.37	25:A100,26.90,100.00,11.47,25.36	30:A100,23.10,100.00,12.62, 5.93	35:A100,24.90,100.00,56.58,18.54	40:A100,25.70,100.00,29.45,23.95	45:A100,22.80,100.00,31.21,16.77	
0:A100,25.50,100.00, 7.49,47.67	5:C180,26.10,100.00,15.72,160.17	10:A100,22.90,100.00,19.57,10.98	15:A100,22.50,100.00, 8.60, 0.74	20:A100,24.60,100.00,65.49,25.37	25:A100,27.40,100.00,11.47,25.36	30:A100,23.60,100.00,12.62, 5.93	35:A100,25.40,100.00,56.58,18.54	40:A100,26.20,100.00,29.45,23.95	45:A100,23.30,100.00,31.21,16.77	
0:A100,26.00,100.00, 7.49,47.67	5:C000,26.10,100.00,15.72,63.50	10:A100,23.40,100.00,19.57,10.98	15:A100,23.00,100.00, 8.60, 0.74	20:A100,25.10,100.00,65.49,25.37	25:A100,27.90,100.00,11.47,25.36	30:A100,24.10,100.00,12.62, 5.93	35:A100,25.90,100.00,56.58,18.54	40:A100,26.70,100.00,29.45,23.95	45:A100,23.80,100.00,31.21,16.77	
0:A100,26.50,100.00, 7.49,47.67	5:A100,26.60,100.00,15.72,63.50	10:A100,23.90,100.00,19.57,10.98	15:A100,23.50,100.00, 8.60, 0.74	20:A100,25.60,100.00,65.49,25.37	25:A100,28.40,100.00,11.47,25.36	30:A100,24.60,100.00,12.62, 5.93	35:A100,26.40,100.00,56.58,18.54	40:A100,27.20,100.00,29.45,23.95	45:A100,24.30,100.00,31.21,16.77	
0:A100,27.00,100.00, 7.49,47.67	5:A100,27.10,100.00,15.72,63.50	10:A100,24.40,100.00,19.57,10.98	15:A100,24.00,100.00, 8.60, 0.74	20:A100,26.10,100.00,65.49,25.37	25:A100,28.90,100.00,11.47,25.36	30:A100,25.10,100.00,12.62, 5.93	35:A100,26.90,100.00,56.58,18.54	40:A100,27.70,100.00,29.45,23.95	45:A100,24.80,100.00,31.21,16.77	
0:C000,27.00,100.00, 7.49,17.04	5:A100,27.60,100.00,15.72,63.50	10:A100,24.90,100.00,19.57,10.98	15:A100,24.50,100.00, 8.60, 0.74	20:A100,26.60,100.00,65.49,25.37	25:A100,29.40,100.00,11.47,25.36	30:A100,25.60,100.00,12.62, 5.93	35:A100,27.40,100.00,56.58,18.54	40:C180,28.60,100.00,29.45,114.29	45:A100,25.30,100.00,31.21,16.77	
