each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 250

0(0.26996307377190604):B220,000.00,[100.00,143.85,073.00]	5(0.642830467967244):B000,000.00,[100.00,078.33,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,096.42,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):C000,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):A100,000.00,[100.00,092.82,095.87]	45(0.8742484786605949):A100,000.00,[100.00,012.58,022.32]	
0(0.26996307377190604):B220,000.00,[100.00,164.41,073.00]	5(0.642830467967244):A100,000.00,[100.00,078.33,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.42,103.20]	20(0.25632136120506804):A100,000.00,[100.00,074.37,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):B220,000.00,[100.00,098.08,095.87]	45(0.8742484786605949):A100,000.00,[100.00,012.58,022.32]	
0(0.26996307377190604):B000,000.00,[100.00,120.02,073.00]	5(0.642830467967244):B000,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C180,000.00,[100.00,096.42,104.76]	20(0.25632136120506804):A100,000.00,[100.00,074.37,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):C000,000.00,[100.00,098.08,091.90]	45(0.8742484786605949):A100,000.00,[100.00,012.58,022.32]	
0(0.26996307377190604):B220,000.00,[100.00,147.01,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.42,104.76]	20(0.25632136120506804):A100,000.00,[100.00,074.37,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,014.98]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):B000,000.00,[100.00,094.02,091.90]	45(0.8742484786605949):C180,000.00,[100.00,012.58,160.17]	
0(0.26996307377190604):B220,000.00,[100.00,166.72,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C180,000.00,[100.00,096.42,106.28]	20(0.25632136120506804):B220,000.00,[100.00,111.70,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):C000,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):B220,000.00,[100.00,099.23,091.90]	45(0.8742484786605949):C000,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B220,000.00,[100.00,181.10,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.42,106.28]	20(0.25632136120506804):B220,000.00,[100.00,139.46,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):B000,000.00,[100.00,095.13,091.90]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B220,000.00,[100.00,191.60,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.42,106.28]	20(0.25632136120506804):B000,000.00,[100.00,103.71,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,091.83,064.28]	40(0.041329442377927475):A100,000.00,[100.00,095.13,091.90]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B000,000.00,[100.00,139.88,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B220,000.00,[100.00,098.92,106.28]	20(0.25632136120506804):B000,000.00,[100.00,077.13,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):C000,000.00,[100.00,091.83,051.54]	40(0.041329442377927475):C000,000.00,[100.00,095.13,088.11]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B000,000.00,[100.00,102.12,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,098.92,104.13]	20(0.25632136120506804):A100,000.00,[100.00,077.13,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B220,000.00,[100.00,117.24,051.54]	40(0.041329442377927475):A100,000.00,[100.00,095.13,088.11]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,102.12,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,035.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,096.92,104.13]	20(0.25632136120506804):A100,000.00,[100.00,077.13,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B000,000.00,[100.00,094.00,051.54]	40(0.041329442377927475):C180,000.00,[100.00,095.13,091.90]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
